# index, as_id, _pos
0,7959,"array([ 5.49807747, -6.95585243])"
1,1,"array([ 5.70325948, -6.89066398])"
2,5503,"array([ 5.50813442, -6.69587238])"
3,3,"array([ 5.83006034, -6.66603298])"
4,7960,"array([ 5.71778375, -6.9941393 ])"
5,5505,"array([ 5.60514868, -6.40680198])"
6,6,"array([ 5.82120622, -6.74263566])"
7,7,"array([ 5.28406217, -7.00450024])"
8,5506,"array([ 5.16281043, -6.50296592])"
9,9,"array([ 5.84401401, -7.77299858])"
10,5507,"array([ 5.56289263, -6.4146761 ])"
11,7137,"array([ 5.09205318, -6.57449087])"
12,5509,"array([ 4.94634115, -6.8826761 ])"
13,13,"array([ 5.89312365, -6.72284834])"
14,5510,"array([ 5.40083866, -6.54179681])"
15,5511,"array([ 5.27636164, -6.96226394])"
16,16,"array([ 6.07087132, -7.16083547])"
17,17,"array([ 5.86660857, -7.08990013])"
18,5512,"array([ 5.6023779 , -6.27045009])"
19,5513,"array([ 5.51115812, -6.31095785])"
20,7138,"array([ 5.53942405, -6.80726402])"
21,7139,"array([ 5.77409907, -6.98883148])"
22,22,"array([ 5.96138639, -6.66297615])"
23,5516,"array([ 4.85380478, -6.5617461 ])"
24,5517,"array([ 5.32037493, -6.66192431])"
25,25,"array([ 5.83152323, -7.81804943])"
26,26,"array([ 5.86712057, -6.59916377])"
27,27,"array([ 5.63591314, -6.69799181])"
28,5518,"array([ 4.91188112, -6.90825144])"
29,5519,"array([ 5.3039198 , -6.69485884])"
30,5520,"array([ 5.16138852, -6.40646764])"
31,31,"array([ 6.08054108, -7.36243733])"
32,32,"array([ 5.73897762, -6.65596324])"
33,33,"array([ 5.50252804, -6.97780413])"
34,34,"array([ 5.60091584, -6.83894343])"
35,35,"array([ 6.04918142, -6.53982437])"
36,5521,"array([ 5.33797531, -6.38436479])"
37,5522,"array([ 5.52036437, -6.87630085])"
38,38,"array([ 5.97919613, -7.35446279])"
39,7140,"array([ 5.70000771, -7.1286532 ])"
40,10368,"array([ 5.45732774, -7.03141016])"
41,41,"array([ 5.97092286, -7.1371319 ])"
42,7962,"array([ 5.11489638, -6.94124293])"
43,43,"array([ 5.93515995, -6.9230207 ])"
44,7143,"array([ 5.95932892, -7.0046546 ])"
45,45,"array([ 6.04177663, -7.11877915])"
46,46,"array([ 5.73734153, -6.87672388])"
47,7144,"array([ 5.72442399, -7.24019186])"
48,48,"array([ 5.83717458, -6.79710624])"
49,49,"array([ 5.88098424, -6.76136362])"
50,50,"array([ 6.09268067, -7.1165828 ])"
51,10603,"array([ 5.48238527, -6.90405136])"
52,52,"array([ 5.56835832, -7.49631029])"
53,7964,"array([ 5.2344134 , -7.08214003])"
54,7147,"array([ 5.49779425, -7.15793974])"
55,55,"array([ 5.46855965, -7.97723187])"
56,7148,"array([ 5.43506619, -6.87071252])"
57,5532,"array([ 5.63887075, -6.33795682])"
58,5533,"array([ 5.43929758, -6.75880902])"
59,7965,"array([ 4.99841985, -7.22336179])"
60,5535,"array([ 5.39973403, -6.38028545])"
61,5536,"array([ 5.42922929, -7.39439599])"
62,5537,"array([ 4.77828223, -7.00492229])"
63,7966,"array([ 5.87820795, -7.18034677])"
64,5539,"array([ 5.27254753, -6.37597028])"
65,3053,"array([ 5.2730883, -7.6454378])"
66,5540,"array([ 5.43713108, -6.7973078 ])"
67,7151,"array([ 5.41881225, -7.18322303])"
68,68,"array([ 6.05564205, -7.08910642])"
69,3056,"array([ 5.46086251, -7.48195297])"
70,70,"array([ 5.86344542, -6.67120593])"
71,71,"array([ 5.43469241, -6.84549235])"
72,72,"array([ 4.95197001, -6.64152201])"
73,73,"array([ 5.29681119, -7.3618925 ])"
74,74,"array([ 6.26485901, -7.05813626])"
75,7152,"array([ 5.65789633, -6.76609229])"
76,3058,"array([ 5.11300817, -6.3663066 ])"
77,77,"array([ 5.67824892, -6.72237237])"
78,5543,"array([ 4.72978471, -6.58461393])"
79,7153,"array([ 5.54276848, -7.44010546])"
80,80,"array([ 5.95663747, -6.76357831])"
81,81,"array([ 5.43283344, -7.11903278])"
82,8440,"array([ 5.00618422, -6.43795402])"
83,83,"array([ 5.84558788, -6.74714242])"
84,8441,"array([ 5.29555887, -6.33966328])"
85,5547,"array([ 4.98960447, -6.41305461])"
86,3064,"array([ 5.5052191 , -7.17570308])"
87,87,"array([ 6.04634993, -7.45291345])"
88,88,"array([ 5.71430883, -6.813629  ])"
89,5548,"array([ 4.77281118, -6.65896219])"
90,90,"array([ 5.6988863 , -7.07553654])"
91,3066,"array([ 5.88818868, -7.07694083])"
