# prop_name, value
name,Paenibacillus sp. Y412MC10
description,"Protein-protein iteraction networks (\"interactome\") for 1,840 species. An interactome captures all physical protein-protein interactions within one species, from direct biophysical protein-protein interactions to regulatory protein-DNA and metabolic interactions. "
citation,"['Marinka Zitnik, Rok Sosic, Marcus W Feldman, and Jure Leskovec. \"Evolution of resilience in protein interactomes across the tree of life\", Proceedings of the National Academy of Sciences (PNAS), 2019, 116 (10) 4426-4433., https://doi.org/10.1073/pnas.1818013116']"
url,http://snap.stanford.edu/tree-of-life/data.html
tags,"['Biological', 'Protein interactions']"
long_name,Paenibacillus sp. Y412MC10
pub_count,3
evo_time,2.4735910280764637
domain,Bacteria
taxonomy_level2,Bacteria_Terrabacteria group
taxonomy,"['cellular organisms', 'Bacteria', 'Terrabacteria group', 'Firmicutes', 'Bacilli', 'Bacillales', 'Paenibacillaceae', 'Paenibacillus']"
