# index, name, _pos
0,XP_003678554.1,"array([11.84048324,  8.83954638])"
1,XP_003680107.1,"array([11.49641298,  8.91742316])"
2,XP_003681448.1,"array([11.66366452,  9.26642541])"
3,XP_003683054.1,"array([10.52306242,  8.54351321])"
4,XP_003683100.1,"array([12.09911805,  8.45505876])"
5,XP_003680486.1,"array([12.50687702,  9.2602196 ])"
6,XP_003682030.1,"array([10.55007822,  8.25356219])"
7,XP_003681471.1,"array([10.98098672,  8.8595837 ])"
8,XP_003678569.1,"array([-11.89714127,  -6.56289402])"
9,XP_003683336.1,"array([-12.39480906,  -6.01488263])"
10,XP_003681323.1,"array([-11.37990747,  -7.04115768])"
11,XP_003678571.1,"array([-9.37499826, 18.18856017])"
12,XP_003682076.1,"array([-9.48980089, 17.5191203 ])"
13,XP_003678579.1,"array([ 0.77387319, 11.02961397])"
14,XP_003680061.1,"array([2.29050677, 9.85198059])"
15,XP_003683263.1,"array([ 1.04967676, 10.56256666])"
16,XP_003678582.1,"array([18.0188139 , -1.95879103])"
17,XP_003682019.1,"array([17.45178546, -2.3804125 ])"
18,XP_003678587.1,"array([16.17783006,  8.28398546])"
19,XP_003678954.1,"array([15.04889706,  7.92314026])"
20,XP_003682976.1,"array([15.88865631,  7.8514345 ])"
21,XP_003680092.1,"array([16.23336005,  7.94608038])"
22,XP_003681508.1,"array([15.5582368 ,  7.68704202])"
23,XP_003682457.1,"array([15.53750045,  8.41940097])"
24,XP_003680428.1,"array([15.54067462,  8.05259565])"
25,XP_003679793.1,"array([15.12237901,  8.20815568])"
26,XP_003680012.1,"array([15.79690845,  7.45444472])"
27,XP_003682201.1,"array([15.16773957,  7.64670581])"
28,XP_003680658.1,"array([15.86921977,  8.17236548])"
29,XP_003682549.1,"array([16.11919123,  7.61277196])"
30,XP_003681762.1,"array([15.87601483,  8.51318327])"
31,XP_003678588.1,"array([8.80055708, 8.88445683])"
32,XP_003680770.1,"array([8.35055107, 8.24960641])"
33,XP_003680497.1,"array([8.78675477, 8.49549902])"
34,XP_003681444.1,"array([8.30073619, 8.4634444 ])"
35,XP_003681599.1,"array([7.89184713, 8.62122764])"
36,XP_003679261.1,"array([7.6298483 , 8.67382121])"
37,XP_003682687.1,"array([7.85519897, 8.33916638])"
38,XP_003683380.1,"array([7.90494759, 9.1302814 ])"
39,XP_003678590.1,"array([  1.30921608, -13.21251312])"
40,XP_003679250.1,"array([  1.99635799, -13.45688161])"
41,XP_003681711.1,"array([  1.35951886, -13.53861234])"
42,XP_003682320.1,"array([  0.4308758 , -12.54539773])"
43,XP_003683283.1,"array([  1.36010451, -12.67041449])"
44,XP_003680463.1,"array([  3.02580514, -13.35853638])"
45,XP_003682327.1,"array([  0.98023205, -14.93748238])"
46,XP_003680425.1,"array([  1.94621589, -12.83891784])"
47,XP_003680194.1,"array([  1.67980187, -13.71385302])"
48,XP_003680128.1,"array([  0.69383748, -12.89613024])"
49,XP_003683218.1,"array([  1.63480546, -13.23198083])"
50,XP_003678591.1,"array([0.92403945, 9.0362265 ])"
51,XP_003679083.1,"array([0.60796761, 8.9960703 ])"
52,XP_003680591.1,"array([-0.63517605,  9.82516114])"
53,XP_003682112.1,"array([1.35005634, 8.97118579])"
54,XP_003678737.1,"array([2.71758083, 8.1234092 ])"
55,XP_003681374.1,"array([0.58360337, 9.56851533])"
56,XP_003678794.1,"array([2.75704055, 8.27509952])"
57,XP_003680509.1,"array([1.14042137, 7.68641572])"
58,XP_003678595.1,"array([-6.0963719 , 26.49725581])"
59,XP_003682247.1,"array([-5.67246961, 27.02220892])"
60,XP_003678608.1,"array([27.9784574 ,  5.66416911])"
61,XP_003681340.1,"array([28.41836926,  5.7417068 ])"
62,XP_003679023.1,"array([28.01734382,  6.4879405 ])"
63,XP_003683402.1,"array([28.74966867,  5.44317882])"
64,XP_003681078.1,"array([28.3676094,  6.1470763])"
65,XP_003679374.1,"array([29.02447747,  5.79565851])"
66,XP_003682499.1,"array([27.74284261,  6.13728154])"
67,XP_003679080.1,"array([28.09815401,  5.98874165])"
68,XP_003681748.1,"array([28.68966193,  5.94456983])"
69,XP_003679787.1,"array([28.46583369,  6.46662069])"
70,XP_003681009.1,"array([28.7940502 ,  6.27951837])"
71,XP_003683462.1,"array([28.27932929,  5.46199661])"
