# index, name, nodeLabel, _pos
0,soc-2,soc-2,"array([15.23047433, 12.69810863])"
1,W07G4.5,W07G4.5,"array([14.64289137, 11.66223785])"
2,let-60,let-60,"array([15.97839992, 12.4044322 ])"
3,gna-1,gna-1,"array([14.66078506,  9.76147003])"
4,B0365.1,B0365.1,"array([13.45708782,  8.99731075])"
5,dlg-1,dlg-1,"array([15.09340432, 10.27090762])"
6,pal-1,pal-1,"array([14.95989589, 11.41239017])"
7,W02G9.3,W02G9.3,"array([15.08532403,  9.30726712])"
8,crm-1,crm-1,"array([14.14624813,  8.72755542])"
9,B0507.1,B0507.1,"array([15.40358258,  8.44378734])"
10,tyr-1,tyr-1,"array([13.72603152, 10.32453174])"
11,tyr-4,tyr-4,"array([14.75328372,  8.68365084])"
12,ppn-1,ppn-1,"array([14.44998522,  9.33083596])"
13,C54D2.2,C54D2.2,"array([13.44305869,  7.12231402])"
14,adt-2,adt-2,"array([13.27504567,  8.90398229])"
15,F16B4.5,F16B4.5,"array([13.80388057,  7.17208844])"
16,F23B12.4,F23B12.4,"array([13.41692092,  7.34470403])"
17,F29G6.3,F29G6.3,"array([14.88228206,  9.17153321])"
18,F30H5.3,F30H5.3,"array([14.68191861,  9.09295076])"
19,elo-6,elo-6,"array([13.3517302 ,  7.23254012])"
20,F42D1.2,F42D1.2,"array([13.8269904,  9.4552983])"
21,lon-1,lon-1,"array([15.46643922,  9.36284237])"
22,F53A9.1,F53A9.1,"array([13.51084885,  7.4400432 ])"
23,F53A9.2,F53A9.2,"array([13.28818263,  7.39707048])"
24,F54A3.1,F54A3.1,"array([13.23309462,  7.52833207])"
25,F54B11.7,F54B11.7,"array([13.24529517, 10.02472056])"
26,F56B3.2,F56B3.2,"array([14.03911895,  8.8388737 ])"
27,F58E6.3,F58E6.3,"array([14.6122827 ,  8.17483151])"
28,K07C11.7,K07C11.7,"array([13.71341972,  7.37156746])"
29,K08E7.5,K08E7.5,"array([14.02341961, 10.3334856 ])"
30,R02F11.1,R02F11.1,"array([15.53807703,  8.19451508])"
31,R05G6.7,R05G6.7,"array([13.98224384,  7.91167756])"
32,T01B7.8,T01B7.8,"array([13.09383341,  9.49586867])"
33,act-1,act-1,"array([14.6526544 ,  9.42261911])"
34,T21B6.3,T21B6.3,"array([13.74096053,  9.65335046])"
35,T21D12.11,T21D12.11,"array([14.09666565,  7.74971836])"
36,T22F7.3,T22F7.3,"array([13.58852563,  7.33743813])"
37,scrm-1,scrm-1,"array([14.50963109,  9.5775744 ])"
38,W03G1.5,W03G1.5,"array([14.93990411,  8.9512169 ])"
39,Y39B6A.1,Y39B6A.1,"array([14.5168824 ,  9.24378984])"
40,Y64G10A.7,Y64G10A.7,"array([14.86078143, 10.66152501])"
41,Y69H2.10,Y69H2.10,"array([13.37977837,  7.50345497])"
42,Y69H2.3,Y69H2.3,"array([14.55983994,  9.18279509])"
43,rps-7,rps-7,"array([14.44050046,  8.54913183])"
44,pqn-95,pqn-95,"array([14.83271937,  8.69611266])"
45,ZK849.1,ZK849.1,"array([13.93372128,  9.84261703])"
46,casy-1,casy-1,"array([17.39260373,  7.24116157])"
47,C17F4.7,C17F4.7,"array([18.09763584,  6.2419169 ])"
48,sgt-1,sgt-1,"array([16.23486635,  8.73121364])"
