# index, label, _pos
0,10552_i,"array([-1.88500734, -5.44094158])"
1,22528_w,"array([-2.00817665, -5.15593159])"
2,470629_w,"array([-2.35213836, -5.90157502])"
3,480864_w,"array([-2.28099569, -5.83261183])"
4,525365_w,"array([-1.12565191, -4.97008067])"
5,11165_i,"array([-2.8533977 , -7.41106821])"
6,280588_w,"array([-2.31653811, -6.45553293])"
7,4404_w,"array([-3.08434815, -7.74724802])"
8,465770_w,"array([-2.40016621, -7.54356696])"
9,476022_w,"array([-3.23443777, -7.73078471])"
10,491007_w,"array([-2.99075008, -7.8819511 ])"
11,620178_w,"array([-3.14592079, -7.86561055])"
12,11455_i,"array([-1.68880612,  0.83767323])"
13,330456_w,"array([-1.51548059,  0.80760266])"
14,11747_i,"array([-2.91562568, -5.74032871])"
15,14064_w,"array([-2.50808383, -5.81380208])"
16,66987_w,"array([-2.77801095, -5.57966778])"
17,1217_i,"array([ 0.15466526, -5.59966119])"
18,68608_w,"array([-0.53728452, -5.690546  ])"
19,70441_w,"array([ 0.60376892, -5.47663276])"
20,12324_i,"array([-0.74500651, -5.04270586])"
21,617612_w,"array([-1.14219034, -5.36913724])"
22,12911_i,"array([-1.35744022, -7.64254128])"
23,217152_w,"array([-1.11959867, -7.07087772])"
24,253266_w,"array([-1.65161845, -8.1890664 ])"
25,274480_w,"array([-1.51855012, -7.16606035])"
26,279348_w,"array([-1.40486692, -7.32654085])"
27,28550_w,"array([-1.59204683, -7.32048295])"
28,309307_w,"array([-1.35446688, -8.11794161])"
29,317103_w,"array([-1.33951315, -7.22066739])"
30,377652_w,"array([-1.46758636, -8.22951861])"
31,379803_w,"array([-1.56361645, -8.28659403])"
32,380668_w,"array([-1.27450202, -8.2681007 ])"
33,415720_w,"array([-0.92793739, -7.18039085])"
34,416298_w,"array([-1.17359289, -7.10883403])"
35,426420_w,"array([-1.49456322, -7.09012449])"
36,471740_w,"array([-1.25741476, -7.05762149])"
37,583089_w,"array([-1.39501627, -8.32050693])"
38,610361_w,"array([-1.47417482, -8.08141856])"
39,625370_w,"array([-1.08424074, -7.00476403])"
40,13210_i,"array([-1.30019596, -7.705046  ])"
41,14092_i,"array([-1.49150236, -4.57649181])"
42,251474_w,"array([-1.54643314, -4.62988814])"
43,25279_w,"array([-2.43071399, -5.31819756])"
44,275952_w,"array([-1.10123864, -4.15970482])"
45,309875_w,"array([-1.9803876 , -4.25239067])"
46,313150_w,"array([-1.36739536, -4.98149385])"
47,317597_w,"array([-1.17785478, -4.07802417])"
48,323288_w,"array([-1.10827978, -4.34274563])"
49,330743_w,"array([-1.15457161, -4.25627256])"
50,386564_w,"array([-1.1614871 , -4.54856387])"
51,391638_w,"array([-1.30291893, -4.55775033])"
