# index, label, _pos
0,10267_i,"array([ 6.56417395, -8.08069817])"
1,17819_w,"array([ 6.44305613, -7.5789277 ])"
2,205383_w,"array([ 6.45754581, -8.15207671])"
3,260908_w,"array([ 6.40754151, -8.91713551])"
4,272219_w,"array([ 6.02463712, -6.99796314])"
5,320240_w,"array([ 6.87356166, -8.04307591])"
6,321904_w,"array([ 6.16700694, -8.06512591])"
7,326049_w,"array([ 6.59499866, -7.75723505])"
8,330847_w,"array([ 6.67222929, -7.39478064])"
9,342424_w,"array([ 6.95515249, -8.62098717])"
10,375438_w,"array([ 7.02992686, -8.88059192])"
11,379585_w,"array([ 6.95977139, -7.71069835])"
12,426997_w,"array([ 6.7867586, -8.641232 ])"
13,523770_w,"array([ 6.5516076 , -8.96815349])"
14,584317_w,"array([ 7.10149313, -8.58258202])"
15,626177_w,"array([ 6.80451061, -8.18282458])"
16,69990_w,"array([ 6.25965478, -7.59296456])"
17,75419_w,"array([ 6.33201897, -7.46710935])"
18,76069_w,"array([ 6.55004739, -7.59567367])"
19,77395_w,"array([ 6.16074718, -7.83195146])"
20,80015_w,"array([ 6.17327255, -7.9555301 ])"
21,85535_w,"array([ 6.26415952, -7.70286067])"
22,94286_w,"array([ 6.86033104, -7.63603947])"
23,1036_i,"array([  0.15840277, -13.89308577])"
24,214448_w,"array([ -0.15879862, -13.7277107 ])"
25,298335_w,"array([  0.3171799 , -14.15768471])"
26,298410_w,"array([  0.46488729, -13.8662942 ])"
27,298484_w,"array([-1.28733772e-02, -1.41351998e+01])"
28,298557_w,"array([  0.25627742, -13.61193572])"
29,1063_i,"array([-0.26221929,  2.62557494])"
30,290381_w,"array([-0.03499915,  2.50963699])"
31,299516_w,"array([-0.48699025,  2.74701262])"
32,1090_i,"array([ 6.26254121, -8.11344836])"
33,326880_w,"array([ 6.35058911, -7.59344969])"
34,332835_w,"array([ 6.55187783, -8.39177696])"
35,89949_w,"array([ 5.83324673, -7.81028796])"
36,96395_w,"array([ 6.35017364, -7.72375018])"
37,109_i,"array([-3.41782086, -0.14850482])"
38,320321_w,"array([-3.2428368 ,  0.03817667])"
39,384289_w,"array([-3.57670766, -0.34724486])"
40,1118_i,"array([ 6.2273533 , -8.35823773])"
41,165878_w,"array([ 5.97554838, -8.50679581])"
42,500390_w,"array([ 6.55643838, -8.81364237])"
