# source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
1,2
1,140
1,4
1,7
1,9
1,11
1,13
1,142
1,17
1,19
1,24
1,241
1,31
1,32
1,33
1,34
1,242
1,38
1,243
1,43
1,44
1,161
1,244
1,52
1,53
1,245
1,246
1,247
1,248
1,249
1,250
1,62
1,251
1,252
1,64
1,65
1,69
1,253
1,254
1,74
1,255
1,256
1,80
1,83
1,84
1,257
1,258
1,259
1,260
1,261
1,262
1,93
1,263
1,264
1,265
1,107
1,266
1,267
1,268
1,269
1,270
1,271
1,272
1,273
1,117
1,123
1,274
1,275
1,131
1,276
1,277
2,0
2,1
2,16
2,278
3,0
3,140
3,7
3,31
3,279
3,280
3,281
3,282
3,283
4,139
4,4
4,317
4,318
5,0
5,139
5,2
5,3
5,4
5,10
5,18
5,145
5,319
5,29
5,31
5,320
5,37
5,321
5,322
5,161
5,323
5,324
5,325
5,197
5,201
5,210
5,326
5,327
5,301
5,114
6,0
6,2
6,3
6,4
6,5
6,7
6,8
6,11
6,142
6,19
6,143
6,328
6,152
6,329
6,330
6,331
6,156
6,332
6,333
6,334
6,171
6,73
6,335
6,336
6,337
6,338
7,4
7,5
7,6
7,13
7,149
7,154
7,339
7,183
7,340
7,341
7,342
7,343
7,344
7,345
8,0
8,139
8,5
8,148
8,319
8,348
8,349
8,154
8,322
8,350
8,50
8,351
8,309
8,352
8,340
9,0
9,4
9,5
9,13
9,25
9,148
9,349
9,353
9,228
9,229
9,230
10,4
10,30
11,4
11,154
11,322
12,41
12,47
13,0
13,2
13,3
13,4
13,5
13,7
13,11
13,142
13,19
13,29
13,386
13,258
13,89
13,341
13,387
13,388
13,303
14,0
14,3
14,4
14,5
14,6
14,8
14,11
14,284
14,148
14,398
14,31
14,154
14,399
14,167
14,389
14,194
14,201
14,206
14,400
14,105
14,401
14,231
14,232
14,235
14,238
14,402
15,0
15,307
16,306
16,308
16,310
16,315
17,8
17,11
17,142
17,234
18,4
18,5
18,144
18,422
18,158
19,7
19,13
20,4
20,5
20,6
20,7
20,8
20,11
20,429
20,176
20,430
20,179
20,86
21,4
21,5
21,16
21,152
21,354
21,355
22,6
22,8
22,11
22,436
22,184
22,392
23,2
23,4
23,5
23,7
23,31
23,48
23,96
25,5
25,8
25,9
25,145
25,443
25,30
25,37
25,446
25,164
25,168
25,447
25,207
25,448
25,212
25,449
26,0
26,8
26,11
26,452
26,453
26,189
26,227
27,8
27,12
27,368
27,369
27,370
27,371
27,454
27,375
29,5
29,457
29,263
30,4
30,5
30,8
30,10
30,14
30,418
30,431
30,145
30,25
30,164
30,168
30,207
31,0
31,1
31,140
31,305
31,7
31,15
31,17
31,461
31,462
31,279
31,286
31,463
31,280
31,281
31,282
31,272
31,278
31,315
32,0
32,2
32,3
32,17
32,31
32,467
32,89
33,16
33,473
33,417
34,8
34,11
34,66
35,2
35,4
35,5
35,7
35,9
35,31
35,243
35,48
35,480
35,238
36,4
36,10
36,348
36,154
37,4
37,25
38,8
38,11
38,12
38,363
38,195
40,4
40,18
40,154
40,350
41,319
41,511
45,5
45,459
45,58
46,8
46,11
46,196
48,4
48,5
48,23
48,35
48,537
48,92
48,96
48,231
49,4
49,5
49,49
51,4
51,147
54,3
54,17
54,31
54,461
54,462
54,286
55,443
55,546
56,36
56,560
56,561
