# index, _pos
0,"array([3.54971432, 4.65735703])"
1,"array([3.67245464, 4.55638073])"
2,"array([3.68959061, 4.53498302])"
3,"array([3.60294655, 4.46960569])"
4,"array([3.38583771, 4.47811464])"
5,"array([3.41210899, 4.544099  ])"
6,"array([3.49435836, 4.3694603 ])"
7,"array([3.64095793, 4.49357059])"
8,"array([3.3449229 , 4.58883886])"
9,"array([3.49308063, 4.59034594])"
10,"array([3.28060757, 4.42719543])"
11,"array([3.3602229 , 4.54797015])"
12,"array([3.4162702 , 4.90653466])"
13,"array([3.60983139, 4.48402204])"
14,"array([3.46820308, 4.44027379])"
15,"array([3.63254169, 4.69647632])"
16,"array([3.67882561, 4.67914005])"
17,"array([3.47869546, 4.45782569])"
18,"array([3.33548129, 4.65446445])"
19,"array([3.55899303, 4.49970735])"
20,"array([3.45615956, 4.56982213])"
21,"array([3.52699098, 4.50650732])"
22,"array([3.40489808, 4.42539593])"
23,"array([3.53900713, 4.62765014])"
24,"array([3.70656792, 4.67791674])"
25,"array([3.38357864, 4.45529811])"
26,"array([3.42413057, 4.64428248])"
27,"array([3.41785062, 4.84777606])"
28,"array([3.48389672, 4.8398208 ])"
29,"array([3.50031329, 4.56883388])"
30,"array([3.37200246, 4.47968552])"
31,"array([3.61548332, 4.53629837])"
32,"array([3.62685837, 4.64004344])"
33,"array([3.72619705, 4.62482229])"
34,"array([3.50871917, 4.61332458])"
35,"array([3.52325168, 4.5627296 ])"
36,"array([3.34556637, 4.53799238])"
37,"array([3.36761663, 4.4478956 ])"
38,"array([3.48157109, 4.69642926])"
39,"array([3.4499233 , 4.47057684])"
40,"array([3.36593513, 4.61217701])"
41,"array([3.37303141, 4.8301852 ])"
42,"array([3.41180855, 4.79960466])"
43,"array([3.69245595, 4.69673956])"
44,"array([3.56066196, 4.53615251])"
45,"array([3.47750506, 4.57805889])"
46,"array([3.35787952, 4.65718376])"
47,"array([3.39504535, 4.85093053])"
48,"array([3.44947285, 4.61103496])"
49,"array([3.41362553, 4.5997662 ])"
50,"array([3.38918763, 4.69947629])"
51,"array([3.43862623, 4.48531626])"
52,"array([3.68360458, 4.57741898])"
53,"array([3.66310729, 4.58503473])"
54,"array([3.43297955, 4.5052541 ])"
55,"array([3.37150654, 4.40811279])"
56,"array([3.26447576, 4.58273844])"
57,"array([3.43594006, 4.59572138])"
58,"array([3.52896808, 4.72077491])"
