# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
1,2
1,138
1,3
1,5
1,12
1,140
1,233
1,31
1,32
1,234
1,40
1,48
1,159
1,235
1,236
1,237
1,238
1,239
1,74
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
2,0
2,1
2,15
2,262
2,263
3,137
3,3
3,292
3,293
3,294
3,295
3,115
4,0
4,137
4,2
4,264
4,292
4,296
4,31
4,297
4,151
4,298
4,299
4,159
4,300
4,59
4,301
4,293
4,192
4,202
4,302
4,303
4,116
5,292
5,12
5,270
5,146
5,152
5,309
5,54
5,310
5,311
5,312
5,313
5,314
5,315
6,0
6,137
6,4
6,145
6,296
6,316
6,152
6,286
6,310
7,0
7,3
7,4
7,12
7,24
7,145
7,31
7,34
7,316
7,42
7,317
7,213
7,214
7,215
8,3
8,147
9,3
9,167
10,3
10,4
10,15
10,55
10,157
10,210
10,361
11,45
11,55
12,0
12,3
12,4
12,10
12,140
12,29
12,362
12,245
12,95
12,311
12,120
12,363
12,364
13,0
13,264
13,3
13,4
13,292
13,5
13,6
13,10
13,270
13,145
13,30
13,31
13,152
13,370
13,162
13,365
13,189
13,371
13,110
13,372
13,218
13,373
14,0
14,281
14,27
16,6
16,10
16,139
16,217
17,3
17,4
17,142
17,394
17,155
18,3
18,4
18,6
18,10
18,25
18,35
18,395
18,180
18,200
19,3
19,4
19,15
19,149
19,319
19,322
20,6
20,10
20,176
21,3
21,4
21,5
21,6
21,10
21,13
21,17
21,140
21,400
21,44
21,401
21,66
21,188
21,192
21,197
21,399
21,208
21,219
22,292
22,12
24,6
24,143
24,412
24,413
25,0
25,6
25,10
25,407
25,414
25,415
25,182
25,416
25,212
26,11
26,341
26,342
27,417
29,4
29,419
30,4
30,7
30,420
30,421
31,0
31,1
31,138
31,3
31,4
31,7
31,14
31,423
31,265
31,187
31,266
31,267
31,257
31,263
31,424
32,0
32,427
32,95
34,15
34,428
34,389
36,3
36,4
36,8
36,61
37,3
37,24
38,0
38,27
39,461
39,462
40,6
40,10
40,11
40,336
40,190
42,292
42,12
42,270
42,309
43,4
43,65
43,466
43,467
44,7
44,21
45,296
45,472
47,23
47,88
49,4
49,421
49,66
52,6
52,10
52,191
54,2
54,3
54,31
54,159
54,244
56,299
56,301
57,3
57,4
57,57
62,300
62,301
63,264
63,31
63,271
64,3
64,465
64,162
64,175
70,298
70,301
72,11
72,340
73,46
73,88
73,89
74,4
74,6
74,10
74,13
74,43
74,87
75,569
77,51
77,77
82,0
82,602
83,3
83,146
92,5
92,95
100,3
100,4
100,196
104,784
111,12
111,493
112,819
112,820
119,5
119,851
123,2
123,31
123,259
136,2
136,31
136,243
137,0
137,137
137,1
137,138
137,3
137,4
137,6
137,7
137,8
137,10
137,139
137,13
137,140
137,141
137,142
137,143
137,144
137,24
137,145
137,146
137,29
137,147
137,31
137,148
137,149
137,150
137,37
137,151
137,152
137,153
137,43
137,44
137,154
137,49
137,155
137,156
137,157
137,158
137,159
137,57
137,160
137,161
137,162
137,163
137,164
137,165
137,166
137,167
137,168
137,169
137,170
137,171
137,172
137,173
137,174
137,175
137,176
137,177
137,178
137,179
137,180
137,181
137,182
137,183
137,184
137,185
137,186
137,187
137,188
137,189
137,190
137,191
137,192
137,193
137,194
137,195
137,196
137,197
137,198
137,199
137,93
137,200
137,201
137,202
137,203
137,204
137,205
137,100
137,206
137,207
137,208
137,209
137,210
137,112
137,211
137,212
137,213
137,214
137,215
137,216
137,217
137,218
137,219
137,220
137,221
137,222
137,223
137,224
137,225
137,226
137,227
137,228
137,229
137,230
137,231
137,232
138,264
138,5
138,12
138,270
138,145
138,31
138,234
138,159
138,271
138,272
138,238
138,239
138,273
138,274
138,275
138,276
138,192
138,245
138,202
138,277
138,278
138,279
138,280
139,292
139,5
139,12
139,16
139,309
139,235
139,236
139,365
139,321
139,243
139,366
139,90
139,246
139,367
139,368
139,249
139,250
139,251
139,252
139,253
139,254
139,369
140,5
140,12
141,292
141,15
141,235
141,390
142,4
142,6
142,17
142,143
142,22
142,398
142,85
142,399
143,6
143,143
145,1
145,3
145,4
145,6
145,10
145,12
145,13
145,24
145,316
145,43
145,44
145,49
145,100
145,221
146,4
146,12
146,83
146,418
147,3
147,4
147,6
147,13
147,143
147,24
149,292
149,270
149,309
149,243
150,2
150,264
150,6
150,15
150,407
150,31
150,234
150,413
150,322
150,431
151,0
151,10
151,152
151,447
151,443
153,6
153,396
154,322
154,326
155,6
155,143
156,3
156,153
156,63
157,3
157,144
159,4
159,54
159,494
160,6
160,396
161,3
161,164
163,6
163,396
164,6
164,396
164,441
165,6
165,64
167,4
167,9
169,3
169,37
169,63
169,163
170,1
170,6
170,10
170,13
175,3
175,8
175,63
175,165
189,138
189,265
189,266
195,4
195,419
197,410
197,319
204,6
204,83
205,3
205,207
207,6
207,83
208,319
208,101
210,3
210,211
216,10
216,305
217,10
217,139
221,3
221,4
221,830
221,222
228,129
229,130
230,130
232,322
232,332
238,0
238,264
238,31
238,192
238,245
241,105
242,2
242,31
242,40
264,0
264,138
264,5
264,31
264,265
264,266
264,267
264,268
264,269
265,6
265,10
265,189
267,0
267,306
270,13
270,140
270,306
270,374
270,375
270,376
270,377
270,378
270,379
270,380
270,381
270,382
270,383
270,384
270,385
270,386
270,387
271,3
271,8
271,17
271,37
271,63
271,97
275,0
275,691
278,5
278,270
279,12
279,277
279,418
281,0
281,1
281,138
281,5
281,14
281,18
281,282
281,27
281,31
281,34
281,283
281,284
281,54
281,285
281,286
281,287
281,262
281,288
281,289
281,269
281,290
281,291
283,12
283,428
283,389
284,270
284,371
289,117
292,0
292,264
292,3
292,4
292,5
292,6
292,10
292,139
292,140
292,141
292,304
292,22
292,149
292,305
292,42
292,306
292,154
292,307
292,272
292,166
292,308
292,223
292,224
292,225
292,226
