# index, _pos
0,"array([-6.73008718, 11.12611355])"
1,"array([-6.19923064, 10.99446013])"
2,"array([-6.26260289, 11.24280895])"
3,"array([-7.30733306, 10.53769848])"
4,"array([-7.25002861, 10.77530844])"
5,"array([-5.87260691, 10.18790713])"
6,"array([-7.03916998,  9.89818492])"
7,"array([-7.00721532, 10.83118195])"
8,"array([-7.77095091, 11.09239211])"
9,"array([-7.42167182, 10.95603265])"
10,"array([-6.96360722,  9.9211675 ])"
11,"array([-5.39996794, 10.91371222])"
12,"array([-6.4917564 , 11.09943929])"
13,"array([-6.71393053, 10.18002223])"
14,"array([-6.27650222, 11.69551269])"
15,"array([-6.13218463, 10.59742794])"
16,"array([-6.47468371, 10.18113851])"
17,"array([-7.62555024, 10.73525673])"
18,"array([-7.09976504, 10.70733469])"
19,"array([-6.55445822, 10.43031919])"
20,"array([-6.58923859, 10.13504268])"
21,"array([-6.91322252, 10.3324276 ])"
22,"array([-6.66830484, 10.61232911])"
23,"array([-7.36528373, 11.78917003])"
24,"array([-7.26768582, 10.4457728 ])"
25,"array([-7.24364576, 10.58887628])"
26,"array([-5.63283636, 11.46836938])"
27,"array([-6.8331589 , 11.63553572])"
28,"array([-7.45420098, 11.80063845])"
29,"array([-6.93478097, 10.87418104])"
30,"array([-7.01231104, 10.39456844])"
31,"array([-6.5349393 , 11.04011795])"
32,"array([-5.90963451, 11.19353118])"
33,"array([-6.4962642, 10.9110073])"
34,"array([-6.2334163 , 11.14806249])"
35,"array([-7.34115164, 11.09219043])"
36,"array([-7.23072687, 11.10450892])"
37,"array([-7.27854108, 10.67461971])"
38,"array([-6.53829345, 11.65369437])"
39,"array([-5.98521341, 11.54054296])"
40,"array([-6.30941368, 10.51928457])"
41,"array([-7.63999957, 11.24105933])"
42,"array([-6.40963522, 10.511726  ])"
43,"array([-7.53990684, 10.80654928])"
44,"array([-6.9805243 , 10.64876261])"
45,"array([-5.88734352, 10.65092624])"
46,"array([-7.06628192, 11.93669737])"
47,"array([-7.17320874, 11.78469682])"
48,"array([-6.71987246, 11.50986716])"
49,"array([-7.018065  , 10.58073742])"
50,"array([-7.50025707, 11.7031032 ])"
51,"array([-6.92735498, 11.86843257])"
52,"array([-7.20026813, 10.31279538])"
53,"array([-6.85947404, 11.97154768])"
54,"array([-6.40848707, 10.98270324])"
55,"array([-6.25275195, 10.42940076])"
56,"array([-7.53127127, 11.24246581])"
57,"array([-7.17022897, 10.7585053 ])"
58,"array([-7.64761567, 11.08048609])"
59,"array([-7.3374214 , 11.38887252])"
60,"array([-7.09202149, 11.43070007])"
61,"array([-7.17087413, 11.61312506])"
62,"array([-7.56889975, 11.56288004])"
63,"array([-7.29780715, 10.83670496])"
