# index, _pos
0,"array([1.41927242, 4.1726863 ])"
1,"array([1.02571639, 4.04515235])"
2,"array([0.9641676 , 4.06856978])"
3,"array([0.96836668, 3.91616826])"
4,"array([0.99346902, 4.26996277])"
5,"array([1.5542034 , 3.65317294])"
6,"array([1.61458368, 3.7505596 ])"
7,"array([1.41234878, 3.56063642])"
8,"array([1.75123297, 3.36288217])"
9,"array([1.78521059, 3.67951816])"
10,"array([1.48379376, 4.14205821])"
11,"array([1.50808461, 3.45319232])"
12,"array([1.91502679, 4.05955506])"
13,"array([1.19954683, 4.59091202])"
14,"array([1.76834911, 3.64290588])"
15,"array([1.93159351, 4.31825753])"
16,"array([1.27815698, 3.72425786])"
17,"array([1.35035926, 3.73188892])"
18,"array([1.04683201, 3.55585129])"
19,"array([1.24473194, 4.42939277])"
20,"array([1.14961349, 4.291561  ])"
21,"array([1.29878667, 3.47820569])"
22,"array([1.2392659 , 3.70283945])"
23,"array([1.90014076, 3.80032145])"
24,"array([1.27537045, 3.85316872])"
25,"array([1.43050902, 3.82353014])"
26,"array([1.19860936, 3.8543685 ])"
27,"array([1.53296522, 3.56924774])"
28,"array([1.61907651, 3.94168591])"
29,"array([1.11655384, 4.66758943])"
30,"array([1.51659345, 4.14404796])"
31,"array([1.41240979, 4.48029518])"
32,"array([1.4887592 , 3.61554839])"
33,"array([1.63573942, 3.80707598])"
34,"array([2.08097723, 4.16641772])"
35,"array([1.33829897, 4.44962075])"
36,"array([1.1966745 , 3.56940681])"
37,"array([1.52360842, 3.65885927])"
38,"array([1.534033  , 3.61055839])"
39,"array([1.52930648, 3.74648283])"
40,"array([1.06273058, 4.0380846 ])"
41,"array([1.40660795, 4.00697455])"
42,"array([1.50460468, 3.70863013])"
43,"array([1.64121199, 3.97931195])"
44,"array([1.2089002 , 4.20656814])"
45,"array([1.03338688, 3.64088844])"
46,"array([0.86049325, 3.76350638])"
47,"array([1.30571369, 3.74491172])"
48,"array([1.4639127 , 3.91771315])"
49,"array([1.48365085, 3.97594936])"
50,"array([1.66338085, 3.52628364])"
51,"array([1.84152404, 3.99553287])"
52,"array([1.27424982, 3.76882518])"
53,"array([0.90945415, 3.88561251])"
54,"array([1.86234453, 3.77866485])"
55,"array([1.96407275, 4.19967752])"
56,"array([1.15451978, 3.60899164])"
57,"array([1.86581625, 4.74783929])"
58,"array([1.51621476, 4.3260496 ])"
59,"array([1.652865  , 4.04437902])"
60,"array([2.02618184, 4.13646284])"
61,"array([1.31173987, 3.9422719 ])"
62,"array([1.26871645, 3.94373232])"
63,"array([0.89861291, 4.4384307 ])"
64,"array([1.18906215, 3.74027528])"
65,"array([1.88235695, 3.90811933])"
66,"array([1.70299184, 4.13249345])"
67,"array([1.38471074, 3.82310241])"
68,"array([1.36771602, 4.78639783])"
69,"array([1.90239224, 4.54683672])"
70,"array([1.76860323, 4.21589447])"
71,"array([1.12556622, 4.24913411])"
72,"array([0.9929607 , 4.03629938])"
73,"array([1.36975845, 4.35298522])"
74,"array([1.52880894, 4.59340832])"
75,"array([1.10535949, 3.87691763])"
76,"array([1.68010294, 3.82534396])"
77,"array([1.60640025, 4.71076184])"
78,"array([1.88920723, 4.37034246])"
79,"array([1.49238516, 4.64379769])"
80,"array([0.90033537, 4.24864084])"
81,"array([1.60026265, 3.81581851])"
82,"array([0.90055813, 3.92902848])"
83,"array([1.98896804, 3.97624022])"
84,"array([1.2354278 , 3.88623713])"
85,"array([1.7900856 , 4.38357248])"
86,"array([1.66708317, 3.91123677])"
87,"array([1.33714955, 4.18556994])"
88,"array([1.68322105, 3.95259223])"
89,"array([2.16463288, 4.03834614])"
90,"array([1.31002259, 4.25247129])"
91,"array([1.15322686, 4.61079336])"
92,"array([1.65191744, 3.8570682 ])"
93,"array([1.86144604, 3.96195629])"
94,"array([1.18677188, 4.17154504])"
95,"array([1.06535201, 4.12341381])"
96,"array([1.45101858, 4.68825463])"
97,"array([1.74141911, 4.53489981])"
98,"array([1.38440865, 3.52677551])"
99,"array([1.56899443, 3.48199656])"
100,"array([1.26309633, 4.5764999 ])"
101,"array([1.83725587, 4.4100128 ])"
102,"array([1.66406336, 4.83505837])"
103,"array([1.09534777, 3.47508467])"
104,"array([1.17703417, 3.95130094])"
105,"array([0.88341801, 3.80031754])"
106,"array([1.23408351, 3.79045552])"
107,"array([1.72342574, 3.32787787])"
108,"array([1.33356012, 3.81943415])"
109,"array([1.76955925, 3.80196237])"
110,"array([1.94350981, 4.5051871 ])"
111,"array([1.71306788, 4.19801456])"
112,"array([1.80282432, 3.97496126])"
113,"array([1.98753832, 4.45869599])"
114,"array([1.83901717, 4.87916419])"
115,"array([1.75770629, 3.93974579])"
116,"array([1.17828223, 4.09392329])"
117,"array([1.14595115, 4.16804734])"
118,"array([1.69319039, 4.59135301])"
119,"array([1.98733673, 4.3091241 ])"
120,"array([1.22933833, 4.53347158])"
121,"array([1.96247845, 4.58172493])"
122,"array([1.48693993, 4.38589312])"
123,"array([1.15307321, 4.36341764])"
124,"array([1.58072032, 4.07216673])"
125,"array([1.14705303, 3.91485216])"
126,"array([1.54657004, 3.92658968])"
127,"array([1.22593196, 4.0789783 ])"
128,"array([1.85606402, 4.15442377])"
129,"array([0.98886551, 4.48217495])"
130,"array([0.93220586, 4.32634501])"
131,"array([1.77116918, 4.06969607])"
132,"array([1.15129666, 4.12751304])"
133,"array([1.76392284, 4.1206536 ])"
134,"array([1.29044627, 4.43168254])"
135,"array([1.22022918, 3.95322816])"
136,"array([1.60754476, 4.36528792])"
137,"array([1.47588542, 4.74721009])"
138,"array([1.87630791, 4.44303816])"
139,"array([1.34242559, 3.59403353])"
140,"array([0.94806791, 4.2432578 ])"
141,"array([1.94941092, 4.00877859])"
142,"array([1.35591957, 4.00868488])"
143,"array([1.84639982, 3.68022792])"
144,"array([1.64654415, 4.16445831])"
145,"array([1.69893623, 4.95025313])"
146,"array([1.34421426, 4.70344232])"
147,"array([1.93073159, 4.43204619])"
148,"array([1.587399  , 4.42367178])"
149,"array([1.69421244, 4.4247323 ])"
150,"array([0.95049672, 4.35943893])"
151,"array([0.65755199, 4.61415966])"
152,"array([1.44890772, 3.70472957])"
153,"array([1.97854858, 4.25858067])"
154,"array([1.19841492, 4.38315977])"
155,"array([1.27410706, 4.79129119])"
156,"array([1.07841342, 4.40829913])"
157,"array([1.94303899, 4.65302016])"
158,"array([1.1903696 , 3.78495868])"
159,"array([1.61547413, 4.01337992])"
160,"array([1.12452387, 4.32927799])"
161,"array([1.64762222, 4.11549052])"
162,"array([2.05138383, 4.40552156])"
163,"array([1.46509179, 4.04696335])"
164,"array([1.19978863, 3.99733997])"
165,"array([1.01417625, 3.71972343])"
166,"array([1.20322155, 4.12919023])"
167,"array([1.07209461, 4.78480521])"
168,"array([0.82971005, 3.93066868])"
169,"array([1.16293769, 4.045142  ])"
170,"array([1.17567263, 4.50479331])"
171,"array([1.56494389, 3.86720884])"
172,"array([1.86791805, 4.67509925])"
173,"array([0.95051216, 4.28610865])"
174,"array([1.70643627, 3.77257987])"
175,"array([1.87407367, 4.04524525])"
176,"array([1.46092738, 3.78969385])"
177,"array([1.88923126, 4.6078911 ])"
178,"array([1.74822432, 4.170706  ])"
179,"array([1.27395101, 3.43931639])"
180,"array([1.69427123, 4.04233025])"
181,"array([2.00972332, 4.52508545])"
182,"array([1.10075887, 4.1931626 ])"
183,"array([1.92571817, 4.25114916])"
184,"array([1.23260294, 4.16945138])"
185,"array([1.47667233, 3.65891009])"
186,"array([1.4296187 , 4.13648203])"
187,"array([1.7932276 , 4.33425015])"
188,"array([1.84280571, 4.33682533])"
189,"array([1.23389218, 4.74745399])"
190,"array([1.74165506, 4.5959336 ])"
191,"array([1.6810072 , 4.08367177])"
192,"array([1.24983832, 4.30121319])"
193,"array([1.02668153, 4.306021  ])"
194,"array([1.22055903, 4.3395291 ])"
195,"array([1.40406068, 4.31417408])"
196,"array([1.86319256, 4.26926148])"
197,"array([1.7708965 , 4.64548194])"
198,"array([1.38839558, 4.67355634])"
199,"array([1.38474771, 3.59315032])"
200,"array([1.76195289, 4.44570655])"
201,"array([1.7322208 , 4.25755525])"
202,"array([1.65291197, 4.39623164])"
203,"array([1.81007577, 4.13851648])"
204,"array([1.06379147, 3.96798899])"
205,"array([1.28446685, 3.60381699])"
206,"array([1.50663588, 4.69811087])"
207,"array([1.1305667 , 3.52598711])"
208,"array([1.33958902, 3.54354807])"
209,"array([0.92607992, 4.47275355])"
210,"array([1.77918735, 4.72086481])"
211,"array([1.73072626, 4.32647656])"
212,"array([1.28824458, 4.29855646])"
213,"array([1.28819718, 4.92909464])"
214,"array([1.81375999, 4.79076906])"
215,"array([1.01418242, 3.88811589])"
216,"array([1.75313518, 3.75880281])"
217,"array([1.36644403, 3.96006953])"
218,"array([1.62487262, 4.88211585])"
219,"array([1.92439862, 4.72148322])"
220,"array([0.93274994, 4.40293754])"
221,"array([1.42547706, 3.90640382])"
222,"array([1.55435107, 4.89986602])"
223,"array([1.36142899, 4.62370382])"
224,"array([1.83678939, 3.88343031])"
225,"array([1.43448393, 4.88903726])"
226,"array([1.20900687, 4.83337817])"
227,"array([1.05825024, 4.65807288])"
228,"array([1.72239964, 4.72195889])"
229,"array([1.1035236 , 4.59266846])"
230,"array([1.39804404, 4.21912416])"
231,"array([1.7194835 , 4.48962869])"
232,"array([1.94335111, 4.3648032 ])"
233,"array([1.59642329, 4.19074622])"
234,"array([1.55123044, 4.71884261])"
235,"array([0.97855735, 3.98117595])"
236,"array([1.30558864, 4.742669  ])"
237,"array([1.32186255, 4.39810589])"
238,"array([1.50522166, 4.81653698])"
239,"array([1.53934021, 4.5131842 ])"
240,"array([1.65803315, 4.48642695])"
241,"array([1.63988711, 4.44447046])"
242,"array([0.80941608, 3.78865957])"
243,"array([1.49682719, 4.87391742])"
244,"array([1.83275307, 4.713736  ])"
245,"array([1.62642385, 4.78381182])"
246,"array([1.5609718 , 4.78447826])"
247,"array([1.31245254, 4.8463267 ])"
248,"array([1.43635325, 4.82068666])"
249,"array([1.3743958 , 4.85802529])"
250,"array([1.41118812, 4.72708781])"
251,"array([1.67267749, 3.640088  ])"
252,"array([0.98538945, 3.84202211])"
253,"array([1.29548763, 3.38058114])"
254,"array([1.19203951, 4.29256156])"
255,"array([1.20445425, 3.35396965])"
256,"array([1.63688441, 3.23737717])"
257,"array([1.84340736, 3.9181567 ])"
258,"array([1.72553029, 3.58425993])"
259,"array([2.06000214, 3.40321632])"
260,"array([1.68117859, 3.99268019])"
261,"array([1.55364342, 3.81712432])"
262,"array([1.44806809, 3.45620034])"
263,"array([1.55875175, 3.33946646])"
264,"array([1.31039111, 3.25330142])"
265,"array([1.17779953, 3.29521479])"
266,"array([1.23435267, 3.66911109])"
267,"array([1.41293815, 3.43980412])"
268,"array([1.79651258, 3.72777462])"
269,"array([1.88346232, 3.57475349])"
270,"array([1.62103587, 3.14058073])"
271,"array([2.06176506, 3.50593212])"
272,"array([1.6848558 , 3.47986896])"
273,"array([2.0791578 , 3.26768503])"
274,"array([1.48003439, 3.57946526])"
275,"array([1.38538842, 3.91407033])"
276,"array([1.85825984, 3.5383406 ])"
277,"array([1.50006707, 3.53754091])"
