# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
1,0
1,2
1,118
1,4
1,6
1,8
1,13
1,119
1,14
1,15
1,195
1,196
1,197
1,30
1,31
1,198
1,199
1,45
1,200
1,138
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,64
1,208
1,67
1,77
1,209
1,210
1,211
1,80
1,212
1,81
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,93
1,223
1,224
1,99
1,225
1,226
1,108
1,109
1,111
1,227
1,112
1,228
1,113
1,114
1,116
2,0
2,1
2,229
3,0
3,118
3,5
3,6
3,30
3,230
3,231
3,232
3,233
4,117
4,4
4,256
4,257
4,258
5,0
5,117
5,2
5,3
5,259
5,30
5,260
5,129
5,261
5,262
5,138
5,263
5,264
5,265
5,266
5,267
5,268
5,269
5,169
5,176
5,270
5,271
5,98
6,4
6,272
6,13
6,15
6,125
6,274
6,133
6,275
6,276
6,277
6,278
6,279
7,0
7,117
7,5
7,259
7,260
7,282
7,130
7,261
7,263
7,254
7,283
8,0
8,4
8,5
8,13
8,24
8,124
8,282
8,133
8,284
8,285
8,184
8,185
8,186
9,4
9,29
10,0
10,4
10,144
10,300
11,4
11,130
11,261
12,44
12,50
13,0
13,2
13,3
13,4
13,5
13,6
13,9
13,11
13,119
13,18
13,28
13,323
13,38
13,135
13,324
13,59
13,325
13,326
13,83
13,275
13,327
14,0
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,11
14,15
14,124
14,30
14,331
14,166
14,332
14,92
14,333
14,334
14,189
14,335
15,14
15,195
15,336
15,337
15,338
15,55
15,339
15,340
15,341
15,342
15,343
15,344
15,345
15,346
15,347
17,7
17,11
17,119
17,188
18,4
18,121
18,134
19,4
19,5
19,16
19,127
19,34
19,287
19,357
19,290
20,7
20,11
20,155
21,4
21,5
21,6
21,7
21,11
21,14
21,195
21,361
21,43
21,58
21,165
21,169
21,190
22,2
22,6
22,30
24,7
24,8
24,122
24,28
24,29
24,38
25,0
25,7
25,8
25,11
25,13
25,369
25,34
25,370
25,371
25,372
25,160
25,373
25,183
26,12
26,309
26,310
28,5
28,378
28,87
29,4
29,5
29,7
29,9
29,14
29,122
29,24
29,28
30,0
30,1
30,3
30,118
30,251
30,5
30,252
30,17
30,382
30,34
30,234
30,238
30,230
30,231
30,223
30,229
30,233
30,383
31,83
33,16
33,364
33,198
33,290
33,390
34,7
34,8
34,11
34,13
34,19
34,53
34,55
34,339
34,372
34,170
35,2
35,6
35,8
35,30
35,199
35,396
36,4
36,9
36,260
36,130
37,125
37,400
38,4
38,24
40,418
40,419
42,130
42,263
42,425
42,426
43,8
43,21
44,0
44,259
44,370
44,372
44,433
45,15
45,332
47,7
47,8
47,11
47,37
47,168
49,4
49,138
50,261
50,267
51,4
51,5
51,51
53,17
53,34
54,260
54,267
55,0
55,6
55,469
56,3
56,17
56,30
56,382
56,34
56,234
57,4
57,286
57,35
57,424
57,154
60,7
60,57
61,0
61,369
61,407
62,260
62,269
64,7
64,11
64,14
64,42
75,4
75,125
86,130
86,283
87,5
87,544
94,5
94,17
94,19
94,373
95,734
95,735
96,0
96,373
99,0
99,2
99,14
99,224
99,346
103,6
103,768
105,2
105,30
105,80
115,2
115,30
115,211
117,117
117,1
117,118
117,4
117,5
117,6
117,7
117,9
117,11
117,119
117,14
117,120
117,121
117,122
117,123
117,24
117,124
117,125
117,28
117,29
117,126
117,127
117,128
117,33
117,38
117,129
117,130
117,131
117,42
117,43
117,132
117,133
117,134
117,135
117,136
117,137
117,138
117,51
117,139
117,140
117,141
117,142
117,60
117,143
117,144
117,145
117,146
117,147
117,148
117,74
117,149
117,150
117,151
117,152
117,153
117,154
117,155
117,156
117,157
117,158
117,159
117,160
117,161
117,162
117,163
117,164
117,165
117,166
117,167
117,168
117,169
117,170
117,171
117,172
117,173
117,174
117,175
117,176
117,177
117,178
117,179
117,180
117,181
117,95
117,182
117,183
117,184
117,185
117,186
117,187
117,188
117,189
117,190
117,191
117,192
117,193
117,194
118,3
118,6
118,8
118,13
118,119
118,14
118,15
118,124
118,30
118,198
118,45
118,49
118,138
118,234
118,235
118,206
118,207
118,236
118,237
118,238
118,71
118,239
118,240
118,241
118,169
118,213
118,176
118,214
118,242
118,243
118,93
118,244
118,245
118,246
118,247
118,248
118,249
118,250
118,99
119,272
119,6
119,202
119,203
119,325
119,211
119,212
119,328
119,329
119,215
119,216
119,217
119,218
119,219
119,220
119,330
120,272
120,16
120,202
120,350
121,5
121,7
121,18
121,122
121,28
121,358
122,7
122,122
124,1
124,4
124,5
124,7
124,11
124,13
124,14
124,24
124,282
124,42
124,43
124,368
125,5
125,13
125,129
125,75
125,376
125,377
126,28
126,323
127,272
127,15
127,274
127,211
129,0
129,11
129,130
129,403
129,399
129,404
129,405
131,7
131,355
131,28
131,135
132,290
132,296
133,5
133,380
133,58
134,7
134,122
135,4
135,131
135,56
136,4
136,123
138,5
138,49
138,151
139,7
139,355
139,28
139,324
140,4
140,142
141,7
141,8
141,355
141,60
142,7
142,355
142,398
144,5
144,10
146,4
146,38
146,56
146,141
147,1
147,7
147,11
147,14
149,5
149,47
154,4
154,9
154,56
154,60
166,118
166,230
166,231
172,5
172,378
178,4
178,179
181,4
181,182
187,11
187,273
188,11
188,119
194,118
194,5
194,233
195,4
195,6
195,28
199,286
199,25
199,35
199,424
199,71
201,6
201,125
201,325
206,0
206,3
206,30
206,169
206,326
209,6
209,353
213,2
213,3
213,14
213,30
214,2
214,3
214,30
214,99
227,2
227,30
227,112
228,2
228,30
228,113
230,7
230,11
230,166
233,15
233,335
234,4
234,9
234,18
234,38
234,56
234,84
240,0
240,629
243,6
243,15
251,0
251,118
251,6
251,252
251,196
251,30
251,253
251,45
251,254
251,232
251,255
253,389
253,349
258,264
258,267
259,7
259,11
259,159
260,0
260,399
271,3
271,239
272,0
272,2
272,3
272,4
272,5
272,6
272,7
272,11
272,119
272,195
272,120
272,127
272,273
272,132
272,235
272,143
273,272
273,289
273,290
273,212
273,392
273,393
273,394
273,395
280,281
286,198
286,287
286,288
