# index, _pos
0,"array([3.71468377, 1.94867467])"
1,"array([3.66891249, 2.111045  ])"
2,"array([3.7345358 , 2.11063272])"
3,"array([3.50808298, 2.05717833])"
4,"array([3.5538856 , 1.76514785])"
5,"array([3.62828275, 1.74776185])"
6,"array([3.37290537, 2.12081939])"
7,"array([3.38321462, 1.73985367])"
8,"array([3.65684003, 1.83956407])"
9,"array([3.59940587, 1.83065304])"
10,"array([3.78094767, 1.79705009])"
11,"array([3.39679414, 1.7864257 ])"
12,"array([3.87334679, 1.57051614])"
13,"array([3.51747327, 1.95741672])"
14,"array([3.45114771, 1.97788426])"
15,"array([3.38620184, 2.15224776])"
16,"array([3.6440284 , 2.18342462])"
17,"array([3.67181316, 1.8989645 ])"
18,"array([3.4970991 , 1.70174642])"
19,"array([3.68546899, 1.99478427])"
20,"array([3.46527945, 1.81254985])"
21,"array([3.45796232, 1.89388746])"
22,"array([3.6908413 , 2.12564035])"
23,"array([3.82831998, 1.74285513])"
24,"array([3.55000406, 1.80899659])"
25,"array([3.57492828, 1.82424246])"
26,"array([3.97328679, 1.72487262])"
27,"array([3.93995628, 1.85352279])"
28,"array([3.56857038, 1.78961619])"
29,"array([3.52225897, 1.80805615])"
30,"array([3.69091718, 2.06796775])"
31,"array([3.74707457, 1.92068608])"
32,"array([4.02223486, 1.85589959])"
33,"array([3.79812345, 2.02560916])"
34,"array([3.60907698, 1.91051967])"
35,"array([3.64098084, 2.05379168])"
36,"array([3.62214336, 1.83690299])"
37,"array([3.6153274 , 1.88766827])"
38,"array([3.63800498, 1.81366297])"
39,"array([3.97048362, 2.0202664 ])"
40,"array([4.02474533, 1.74805538])"
41,"array([3.7799387, 1.6650848])"
42,"array([3.52061584, 1.6470328 ])"
43,"array([3.54873848, 1.85189892])"
44,"array([3.76087628, 1.73687847])"
45,"array([3.58977583, 2.16070724])"
46,"array([3.95337769, 1.79928082])"
47,"array([3.52924678, 1.78428486])"
48,"array([3.97437625, 2.05557682])"
49,"array([3.56851667, 1.95270309])"
50,"array([3.77723356, 1.61840796])"
51,"array([3.64817438, 1.7775091 ])"
52,"array([3.62116078, 1.70185661])"
53,"array([3.73122527, 1.89277377])"
54,"array([3.73636327, 1.68016097])"
55,"array([3.48777606, 2.18049242])"
56,"array([3.66346061, 1.87130946])"
57,"array([3.67121263, 1.96893073])"
58,"array([3.53615726, 2.006809  ])"
59,"array([3.68042071, 1.92689323])"
60,"array([3.59135803, 1.79785668])"
61,"array([3.68063701, 1.85071787])"
62,"array([3.71699077, 1.65561907])"
63,"array([3.94602674, 2.08189591])"
64,"array([3.56180795, 1.88281426])"
65,"array([3.95185091, 1.9866588 ])"
66,"array([3.95074296, 1.76397513])"
67,"array([3.69629946, 2.19997087])"
68,"array([4.00273313, 1.98194029])"
69,"array([3.92129701, 1.78418442])"
70,"array([3.9656007 , 1.91752808])"
71,"array([3.69563494, 2.09255629])"
72,"array([3.92345241, 1.95939127])"
73,"array([3.89422784, 1.83069494])"
74,"array([3.66140745, 1.74565582])"
75,"array([3.5382743 , 1.88351648])"
76,"array([3.34365222, 2.02113198])"
77,"array([3.79975403, 2.0929254 ])"
78,"array([4.0099785 , 2.01454282])"
79,"array([3.82090189, 1.93606545])"
80,"array([3.76084472, 2.0293823 ])"
81,"array([3.70597213, 2.03238192])"
82,"array([4.00359476, 1.8178267 ])"
83,"array([3.60921824, 2.00758937])"
84,"array([3.7989465 , 1.87078484])"
85,"array([3.86671048, 1.98274968])"
86,"array([3.39686436, 1.90180795])"
87,"array([3.69747916, 1.87796887])"
88,"array([3.91255023, 1.89231234])"
89,"array([3.94512516, 2.12547131])"
90,"array([3.71618041, 2.17233568])"
91,"array([3.72103627, 2.13678635])"
92,"array([3.39967326, 1.9740371 ])"
93,"array([3.66856931, 2.03883269])"
94,"array([3.76004557, 1.85268751])"
95,"array([3.70206583, 1.60725282])"
96,"array([3.79568255, 1.74426064])"
97,"array([3.57532477, 2.12476956])"
98,"array([3.71075038, 1.73647925])"
99,"array([3.60246211, 2.11238877])"
100,"array([3.6387059 , 2.23141825])"
101,"array([3.93435854, 2.16254196])"
102,"array([3.96477047, 1.95378776])"
103,"array([3.37457396, 1.95804765])"
104,"array([3.96596088, 1.83962386])"
105,"array([3.77732578, 2.00091637])"
106,"array([3.92122467, 1.75008976])"
107,"array([3.86707261, 1.74371101])"
108,"array([3.82985882, 2.085938  ])"
109,"array([3.77878272, 2.05801475])"
110,"array([4.08366182, 2.08267693])"
111,"array([3.77478959, 2.11127594])"
112,"array([3.80642698, 2.06024036])"
113,"array([3.75891589, 2.08353922])"
114,"array([3.8709465 , 2.04220477])"
115,"array([3.81167712, 2.15693171])"
116,"array([3.85448918, 2.07052706])"
117,"array([3.46266143, 1.7521554 ])"
118,"array([3.4742624 , 2.07770188])"
119,"array([3.56178447, 2.15689095])"
120,"array([3.50267652, 2.08296473])"
121,"array([3.45637371, 1.65235819])"
122,"array([3.41885849, 1.70591711])"
123,"array([3.35336835, 1.54741084])"
124,"array([3.46123683, 1.86820981])"
125,"array([3.44116338, 1.92699448])"
126,"array([3.54394997, 1.65475515])"
127,"array([3.47563663, 2.10841808])"
128,"array([3.56488167, 1.50720201])"
129,"array([3.37285013, 1.81866898])"
130,"array([3.42818121, 1.80301286])"
131,"array([3.50702721, 1.67018605])"
132,"array([3.55259954, 2.04536965])"
133,"array([3.50855321, 1.85347879])"
134,"array([3.3713714 , 1.64828927])"
135,"array([3.54679669, 1.73119087])"
136,"array([3.41731155, 1.59447729])"
137,"array([3.33099885, 1.88066516])"
138,"array([3.55516602, 1.91213152])"
139,"array([3.47654719, 1.67607871])"
140,"array([3.49600846, 1.77951567])"
141,"array([3.53982116, 1.69465975])"
142,"array([3.43612562, 1.68912174])"
143,"array([3.57894686, 1.9235632 ])"
144,"array([3.68819939, 1.713767  ])"
145,"array([3.41758454, 1.46949168])"
146,"array([3.58735381, 1.70164495])"
147,"array([3.48005025, 1.84388213])"
148,"array([3.24639525, 1.59540909])"
149,"array([3.60002543, 1.7655245 ])"
150,"array([3.27203235, 1.82225162])"
151,"array([3.46281478, 1.78411576])"
152,"array([3.36708546, 1.50270998])"
153,"array([3.47387367, 1.45741384])"
154,"array([3.62101434, 1.79040303])"
155,"array([3.33050385, 1.71044525])"
156,"array([3.31915983, 1.56281042])"
157,"array([3.21230571, 1.62829834])"
158,"array([3.32979799, 1.81827532])"
159,"array([3.4576583 , 1.56362095])"
160,"array([3.39833023, 1.67841117])"
161,"array([3.28636276, 1.56791383])"
162,"array([3.34701109, 1.84289796])"
163,"array([3.40886601, 1.50138355])"
164,"array([3.19957029, 1.80997618])"
165,"array([3.31685988, 1.75832493])"
166,"array([3.41521462, 1.93144474])"
167,"array([3.42780062, 1.56090487])"
168,"array([3.36557653, 1.69264963])"
169,"array([3.50967034, 1.88612969])"
170,"array([3.43141241, 1.74202481])"
171,"array([3.21107625, 1.59570389])"
172,"array([3.57259782, 1.74421118])"
173,"array([3.2032667 , 1.77603947])"
174,"array([3.34896032, 1.7370757 ])"
175,"array([3.29186126, 1.52747943])"
176,"array([3.52307215, 1.91269542])"
177,"array([3.2515991 , 1.56291224])"
178,"array([3.47279938, 1.59199958])"
179,"array([3.39031457, 1.53260922])"
180,"array([3.38847577, 1.5644311 ])"
181,"array([3.38285222, 1.60024603])"
182,"array([3.33216124, 1.51867507])"
183,"array([3.48320372, 1.64022367])"
184,"array([3.63906262, 1.67837264])"
185,"array([3.56871303, 1.67709475])"
186,"array([3.60150526, 1.66966583])"
187,"array([3.3932825 , 2.01349783])"
188,"array([3.50146302, 1.93437026])"
189,"array([3.30316366, 1.84228038])"
190,"array([3.30439898, 1.79146204])"
191,"array([3.17869456, 1.64010401])"
192,"array([3.49672887, 1.4882414 ])"
193,"array([3.37930057, 1.46467121])"
194,"array([3.48654579, 1.8730069 ])"
195,"array([3.50841393, 2.00462901])"
196,"array([3.60718044, 2.33615732])"
197,"array([3.77150636, 2.35685002])"
198,"array([3.59752441, 2.2453164 ])"
199,"array([3.65857116, 2.06869635])"
200,"array([3.8840365 , 2.25744811])"
201,"array([3.45866144, 2.12942303])"
202,"array([3.69280484, 2.1549293 ])"
203,"array([3.73164607, 2.19882902])"
204,"array([3.86666129, 2.32703634])"
205,"array([3.73285226, 2.38611593])"
206,"array([3.56941789, 2.01563749])"
207,"array([3.57312885, 2.20021393])"
208,"array([3.91580262, 2.26820089])"
209,"array([3.52047438, 2.17183084])"
210,"array([3.87175231, 2.28808274])"
211,"array([3.62818344, 2.2073847 ])"
212,"array([3.65094385, 2.28678386])"
213,"array([3.57821086, 2.06065769])"
214,"array([3.62184349, 2.16472117])"
215,"array([3.63368011, 2.26529186])"
216,"array([3.68039159, 2.29060518])"
217,"array([3.62646964, 2.30486805])"
218,"array([3.65576828, 2.31866748])"
219,"array([3.69189171, 2.31900209])"
220,"array([3.70101972, 2.27274366])"
221,"array([3.92184065, 2.23176162])"
222,"array([3.833998 , 2.3554708])"
223,"array([3.88900205, 1.91872619])"
224,"array([3.5965372 , 2.27921004])"
225,"array([3.79651143, 2.33328862])"
226,"array([3.82377992, 2.31886737])"
227,"array([3.79664563, 2.13149661])"
228,"array([3.77527765, 2.15861006])"
229,"array([3.89406504, 2.07410084])"
230,"array([3.46803814, 1.92590407])"
231,"array([3.59172159, 1.98371486])"
232,"array([3.50237287, 2.23811314])"
233,"array([3.48584795, 2.03065345])"
234,"array([3.64742267, 1.89841308])"
235,"array([3.37035504, 2.08778649])"
236,"array([3.34349955, 2.30261573])"
237,"array([3.19548723, 2.07033325])"
238,"array([3.53547313, 2.22584009])"
239,"array([3.30645814, 2.01780232])"
240,"array([3.73809073, 2.0595474 ])"
241,"array([3.44539962, 2.02628878])"
242,"array([3.22956284, 2.10082602])"
243,"array([3.40823528, 2.19185154])"
244,"array([3.33136208, 2.23375591])"
245,"array([3.27266852, 2.17090868])"
246,"array([3.2375788 , 2.17723063])"
247,"array([3.31561268, 2.27564082])"
248,"array([3.29180926, 2.21123369])"
249,"array([3.25649759, 2.20765477])"
250,"array([3.30087395, 2.24297227])"
251,"array([3.57426523, 2.22928182])"
252,"array([3.58139542, 2.31088559])"
253,"array([3.6618109 , 2.43482695])"
254,"array([3.41213747, 2.03717111])"
255,"array([3.59548314, 2.52636123])"
256,"array([3.53318418, 1.48898716])"
257,"array([3.6576342 , 1.70803284])"
258,"array([3.58687834, 1.53116152])"
259,"array([3.58101739, 1.64202229])"
260,"array([3.60172226, 1.72954218])"
261,"array([3.63512927, 1.6105714 ])"
262,"array([3.72327376, 1.49351206])"
263,"array([3.51883769, 1.44387718])"
264,"array([3.66281937, 1.50977443])"
265,"array([3.66005918, 1.41702197])"
266,"array([3.7422231 , 1.45510836])"
267,"array([3.70637279, 1.45549721])"
268,"array([3.67224348, 1.46818855])"
269,"array([3.63487625, 1.45486518])"
270,"array([3.82406596, 1.57336568])"
271,"array([3.41847019, 1.85439523])"
272,"array([3.53345679, 2.15118685])"
273,"array([3.55581065, 2.36277739])"
274,"array([3.35206705, 2.25927266])"
275,"array([3.33545504, 2.05826467])"
276,"array([3.1055603 , 2.23683782])"
277,"array([3.14151579, 2.28106285])"
278,"array([3.1005939 , 2.18359501])"
279,"array([3.16888554, 2.37329575])"
280,"array([2.90646287, 2.40937141])"
281,"array([2.74127031, 2.51085827])"
282,"array([3.41014183, 1.82584499])"
