# index, _pos
0,"array([4.85625503, 6.63101601])"
1,"array([5.05659904, 6.48104117])"
2,"array([5.1041874 , 6.54794651])"
3,"array([5.07121316, 6.62628776])"
4,"array([5.00893336, 6.57253638])"
5,"array([5.12717146, 6.69536082])"
6,"array([4.62824306, 6.41050732])"
7,"array([4.65307214, 6.47274921])"
8,"array([4.88847551, 6.19869829])"
9,"array([4.99444771, 6.30391877])"
10,"array([5.13665773, 6.41715233])"
11,"array([4.67633   , 6.28139412])"
12,"array([4.75494452, 6.44408057])"
13,"array([4.6445578 , 6.49590407])"
14,"array([4.61378118, 6.32986023])"
15,"array([4.80754133, 6.56555693])"
16,"array([4.69551324, 6.25433367])"
17,"array([5.19566025, 6.31827818])"
18,"array([4.75656913, 6.48181124])"
19,"array([4.85472093, 6.3615774 ])"
20,"array([5.02860425, 6.24410275])"
21,"array([4.92663144, 6.73659262])"
22,"array([4.91595336, 6.59225435])"
23,"array([4.69385824, 6.7299134 ])"
24,"array([4.83651463, 6.44613622])"
25,"array([4.62867801, 6.46218777])"
26,"array([4.86430293, 6.39715757])"
27,"array([4.89824419, 6.47868834])"
28,"array([4.77161103, 6.36776643])"
29,"array([4.87519052, 6.37929424])"
30,"array([4.7482332, 6.1836372])"
31,"array([5.01388333, 6.50950437])"
32,"array([4.73859104, 6.40865733])"
33,"array([5.1616185 , 6.78994807])"
34,"array([4.76068058, 6.57548465])"
35,"array([4.50598638, 6.51648316])"
36,"array([4.85758972, 6.73582716])"
37,"array([4.85911696, 6.33312168])"
38,"array([4.58054435, 6.41849575])"
39,"array([4.72215373, 6.43816848])"
40,"array([4.90600621, 6.18025359])"
41,"array([4.90091555, 6.77152942])"
42,"array([4.52230648, 6.79472191])"
43,"array([4.65914666, 6.41765694])"
44,"array([4.80627625, 6.35702821])"
45,"array([5.07763777, 6.60682323])"
46,"array([5.01047562, 6.42111281])"
47,"array([4.67270157, 6.56975091])"
48,"array([4.86176221, 6.30529744])"
49,"array([5.00130777, 6.71535213])"
50,"array([4.59862241, 6.75356526])"
51,"array([4.76759769, 6.63150273])"
52,"array([4.90352326, 6.34513148])"
53,"array([4.7009568 , 6.67750262])"
54,"array([4.78877918, 6.40326847])"
55,"array([4.84811016, 6.38124127])"
56,"array([4.85581759, 6.43578351])"
57,"array([4.54797808, 6.44784828])"
58,"array([4.80904984, 6.32855729])"
59,"array([4.64905057, 6.44541891])"
60,"array([4.64966586, 6.67312047])"
61,"array([4.881313  , 6.63542153])"
62,"array([4.57579502, 6.48762722])"
63,"array([4.59512416, 6.62375879])"
64,"array([4.8387433 , 6.84998558])"
65,"array([4.87784871, 6.77466049])"
66,"array([4.99878242, 6.891844  ])"
67,"array([4.77300208, 6.23154005])"
68,"array([4.97131565, 6.31443879])"
69,"array([4.72501179, 6.75796143])"
70,"array([4.5484777 , 6.88866636])"
71,"array([4.55551689, 6.49626748])"
72,"array([4.78665988, 6.44317504])"
73,"array([4.912858  , 6.43458317])"
74,"array([4.64782947, 6.5586133 ])"
75,"array([4.92077395, 6.32954428])"
76,"array([4.58937709, 6.89357687])"
77,"array([4.79271648, 6.7112607 ])"
78,"array([5.19929605, 6.39935651])"
79,"array([4.86121767, 6.86536352])"
80,"array([4.9485862 , 6.36165008])"
81,"array([4.90872181, 6.82048812])"
82,"array([4.68737687, 6.42239421])"
83,"array([4.78896343, 6.87843296])"
84,"array([4.78066659, 6.82807736])"
85,"array([4.75504192, 6.35740594])"
86,"array([4.8114522 , 6.93762141])"
87,"array([4.48274173, 6.50879722])"
88,"array([4.64968227, 6.69658824])"
89,"array([4.76589067, 6.5159386 ])"
90,"array([4.84467034, 6.69374693])"
91,"array([4.54445772, 6.56460023])"
92,"array([4.73362956, 6.33603753])"
93,"array([4.59521257, 6.70368579])"
94,"array([5.03446309, 6.78651812])"
95,"array([4.70040226, 6.44625428])"
96,"array([4.52276105, 6.5345081 ])"
97,"array([5.21385654, 6.80133815])"
98,"array([4.8208818 , 6.62538361])"
99,"array([4.65127973, 6.52276325])"
100,"array([4.52731882, 6.46213064])"
101,"array([4.6386299 , 6.60733822])"
102,"array([4.94055117, 6.69526855])"
103,"array([4.90747966, 6.56278319])"
104,"array([5.08458742, 6.53412429])"
105,"array([4.99122939, 6.75568009])"
106,"array([4.77794142, 6.53680902])"
107,"array([4.62856539, 6.70614485])"
108,"array([4.87231373, 6.54711328])"
109,"array([4.921795  , 6.84746683])"
110,"array([4.7297097 , 6.95945601])"
111,"array([4.68785028, 6.62704251])"
112,"array([4.56721744, 6.62986933])"
113,"array([4.79118544, 7.03082244])"
114,"array([5.05850164, 6.27770194])"
115,"array([4.62225007, 6.56588904])"
116,"array([4.52061467, 6.56350666])"
117,"array([5.05369977, 6.66394241])"
118,"array([4.81158827, 6.384617  ])"
119,"array([4.87119956, 6.51137001])"
120,"array([4.4309192 , 6.54160286])"
121,"array([4.63691612, 6.65290187])"
122,"array([4.67232699, 6.49462484])"
123,"array([4.86621822, 6.65631111])"
124,"array([4.55556126, 6.70567738])"
125,"array([4.79083956, 6.52206191])"
126,"array([4.54290146, 6.64483373])"
127,"array([4.87800525, 6.3531545 ])"
128,"array([4.70938099, 6.60791449])"
129,"array([4.92687102, 6.61414328])"
130,"array([4.63991319, 6.42411226])"
131,"array([4.90844063, 6.97097945])"
132,"array([4.54572189, 6.67748581])"
133,"array([4.58053308, 6.5647295 ])"
134,"array([4.80814151, 6.81764289])"
135,"array([4.7129604 , 6.82505813])"
136,"array([4.5828823 , 6.60055923])"
137,"array([4.86549355, 6.83994727])"
138,"array([4.67165077, 6.46431536])"
139,"array([4.8828324 , 6.91997369])"
140,"array([4.63054164, 6.53944579])"
141,"array([4.65391707, 6.87463422])"
142,"array([4.50295033, 6.77109878])"
143,"array([5.24855261, 6.56346159])"
144,"array([4.93825839, 6.71744616])"
145,"array([4.74455379, 6.46305522])"
146,"array([4.69556763, 6.40121786])"
147,"array([4.58872288, 6.65127998])"
148,"array([4.70664459, 6.85253622])"
149,"array([5.0119018 , 6.93886147])"
150,"array([4.92404227, 6.5448394 ])"
151,"array([4.60429863, 6.82858893])"
152,"array([4.54951347, 6.81288374])"
153,"array([4.67950509, 6.8323072 ])"
154,"array([4.83804611, 6.78081905])"
155,"array([4.63846922, 7.01167818])"
156,"array([5.16254838, 6.60656116])"
157,"array([5.07630906, 6.48421698])"
158,"array([5.03641923, 6.60301671])"
159,"array([4.70239295, 6.5586557 ])"
160,"array([5.06029014, 6.30445511])"
161,"array([4.68134288, 6.35244049])"
162,"array([4.85741746, 6.76207363])"
163,"array([4.6116601 , 6.60282681])"
164,"array([4.67671082, 6.68888782])"
165,"array([5.14067586, 6.56935056])"
166,"array([4.90146919, 6.36776035])"
167,"array([4.72930391, 6.90485948])"
168,"array([4.89542971, 6.84408252])"
169,"array([4.96848515, 6.45303794])"
170,"array([4.53145024, 6.50494169])"
171,"array([5.01931443, 6.32242577])"
172,"array([4.66024721, 6.90654623])"
173,"array([4.72551338, 6.31246685])"
174,"array([4.9632768 , 6.64402239])"
175,"array([4.6028587 , 6.52665521])"
176,"array([4.78381243, 6.91098997])"
177,"array([4.81388618, 6.69586152])"
178,"array([4.64792319, 6.93503713])"
179,"array([4.68244364, 6.60007566])"
180,"array([5.15672612, 6.95182503])"
181,"array([4.9116375 , 6.90694891])"
182,"array([4.97833271, 6.43370414])"
183,"array([4.69039149, 7.04071886])"
184,"array([4.7661184 , 7.00682185])"
185,"array([4.95485798, 6.73323419])"
186,"array([4.66064021, 6.98559469])"
187,"array([5.1479968 , 6.53877132])"
188,"array([4.53238346, 6.59142062])"
189,"array([4.66193778, 6.61738282])"
190,"array([4.73703167, 6.83848559])"
191,"array([5.02770369, 6.49148497])"
192,"array([4.56658648, 6.6606799 ])"
193,"array([4.75016818, 6.9266683 ])"
194,"array([4.98169768, 6.92978445])"
195,"array([4.83133701, 6.26833491])"
196,"array([4.73877225, 6.9863666 ])"
197,"array([4.52255101, 6.6236987 ])"
198,"array([5.11614967, 6.5679497 ])"
199,"array([5.00467634, 6.97388519])"
200,"array([5.10076468, 6.58833892])"
201,"array([4.91676464, 6.49811273])"
202,"array([4.62860563, 6.84469523])"
203,"array([4.67201548, 6.65790942])"
204,"array([4.99015269, 6.55497652])"
205,"array([4.87960926, 6.45772358])"
206,"array([4.96727929, 6.51302467])"
207,"array([4.84386165, 7.03099402])"
208,"array([4.99237415, 6.27330539])"
209,"array([4.82558067, 6.24514612])"
210,"array([5.06037548, 6.45546202])"
211,"array([4.88114324, 6.40871646])"
212,"array([4.67283493, 6.7836286 ])"
213,"array([4.94064963, 6.2704187 ])"
214,"array([4.62492886, 6.95028514])"
215,"array([4.8329296 , 6.32466266])"
216,"array([4.54431006, 6.92648879])"
217,"array([4.78654562, 6.32743683])"
218,"array([4.9796306 , 6.53024046])"
219,"array([4.71833978, 6.4691633 ])"
220,"array([4.94869994, 6.32745843])"
221,"array([4.94865767, 6.94853265])"
222,"array([4.82201832, 6.96588615])"
223,"array([5.12329571, 6.58887575])"
224,"array([5.02405962, 6.72233135])"
225,"array([4.64263071, 6.39458659])"
226,"array([4.60406659, 6.45723167])"
227,"array([4.6915105 , 6.65031479])"
228,"array([4.61210047, 6.91895636])"
229,"array([4.69387993, 6.53504121])"
230,"array([4.59579827, 6.50550603])"
231,"array([4.65599844, 6.58739304])"
232,"array([4.44617123, 6.75444751])"
233,"array([4.76424732, 6.28396123])"
234,"array([4.96586147, 6.55716242])"
235,"array([4.72877997, 6.49112985])"
236,"array([4.53177413, 6.76387278])"
237,"array([4.94173579, 6.88764537])"
238,"array([4.7350061 , 6.86970663])"
239,"array([4.75876187, 6.89533522])"
240,"array([4.91561852, 6.87862543])"
241,"array([4.89019169, 6.87954833])"
242,"array([5.00672709, 6.34842726])"
243,"array([4.62363945, 6.62972269])"
244,"array([4.67394397, 6.51634136])"
245,"array([4.66209285, 6.75371816])"
246,"array([5.13679731, 6.60772728])"
247,"array([5.03434871, 6.65300664])"
248,"array([4.89030869, 6.71105286])"
249,"array([4.6152216 , 6.65735802])"
250,"array([4.6930562 , 6.80420347])"
251,"array([4.60179914, 6.55299627])"
252,"array([4.78766799, 6.98331345])"
253,"array([5.17722556, 6.54239921])"
254,"array([4.45538028, 6.60478783])"
255,"array([4.87877132, 7.06111674])"
256,"array([4.6288996 , 6.89379376])"
257,"array([4.56017202, 6.54442032])"
258,"array([4.61453988, 6.78410293])"
259,"array([4.60210379, 6.67820748])"
260,"array([4.62755893, 6.81042469])"
261,"array([4.62424758, 6.68300711])"
262,"array([5.01123161, 6.45481234])"
263,"array([5.0345218 , 6.30166368])"
264,"array([4.8121912 , 7.05359946])"
265,"array([4.6822995 , 6.91945503])"
266,"array([4.86274369, 6.89645154])"
267,"array([4.83065337, 6.75329102])"
268,"array([4.83749501, 6.30384626])"
269,"array([5.08744358, 6.29669592])"
270,"array([4.58304154, 6.93724887])"
271,"array([5.16242019, 6.65203114])"
272,"array([4.84740415, 6.9508766 ])"
273,"array([4.64418449, 6.78092741])"
274,"array([4.72188333, 7.00912388])"
275,"array([4.64957611, 6.7348429 ])"
276,"array([4.91469829, 6.64438549])"
277,"array([4.76241409, 6.86018419])"
278,"array([4.70382931, 6.38062068])"
279,"array([4.81541244, 7.01047836])"
280,"array([4.99929381, 7.00709808])"
281,"array([4.87977293, 6.9524183 ])"
282,"array([4.83611711, 6.92085595])"
283,"array([5.0830928 , 6.92065449])"
284,"array([5.05066241, 6.92288033])"
285,"array([4.96396098, 7.09176141])"
286,"array([4.9573964 , 7.01572437])"
287,"array([5.16491779, 6.5620073 ])"
288,"array([4.55059721, 6.40947913])"
289,"array([5.25130717, 6.58922058])"
