# index, _pos
0,"array([4.84639772, 0.61914198])"
1,"array([4.86690352, 0.52748054])"
2,"array([4.71298957, 0.494397  ])"
3,"array([4.93371853, 0.53758723])"
4,"array([4.82471744, 0.55986084])"
5,"array([4.90699452, 0.71942818])"
6,"array([4.93358816, 0.62496932])"
7,"array([4.29376129, 0.83949264])"
8,"array([4.35126225, 0.82978779])"
9,"array([4.78663951, 0.69741099])"
10,"array([4.73175235, 0.82740242])"
11,"array([4.72356954, 0.73148759])"
12,"array([4.83285867, 0.76759889])"
13,"array([4.85638392, 0.51026519])"
14,"array([4.70482692, 0.4195355 ])"
15,"array([4.88737042, 0.82983654])"
16,"array([4.83199355, 0.72992182])"
17,"array([4.78058326, 0.67301841])"
18,"array([5.04115385, 0.40556567])"
19,"array([4.98486114, 0.37777521])"
20,"array([4.86136107, 0.66616219])"
21,"array([4.9355732 , 0.59067699])"
22,"array([4.70914946, 0.5378805 ])"
23,"array([4.91992   , 0.75864709])"
24,"array([5.02265048, 0.56307854])"
25,"array([4.3086768 , 0.94610207])"
26,"array([4.9339966 , 0.50777674])"
27,"array([5.04397327, 0.57826017])"
28,"array([4.95214209, 0.64640746])"
29,"array([4.81669929, 0.53338203])"
30,"array([5.09144467, 0.61707249])"
31,"array([4.90240932, 0.4809263 ])"
32,"array([4.24808917, 0.98636981])"
33,"array([4.78551814, 0.72537529])"
34,"array([4.93473759, 0.77546254])"
35,"array([4.83307391, 0.35903739])"
36,"array([4.95349589, 0.72067454])"
37,"array([4.92881972, 0.69356877])"
38,"array([5.21075015, 0.72319021])"
39,"array([5.07994084, 0.76282238])"
40,"array([4.90197855, 0.42302411])"
41,"array([4.86857061, 0.6417034 ])"
42,"array([4.75246723, 0.36891075])"
43,"array([4.22272293, 0.91717121])"
44,"array([4.38249443, 0.87880174])"
45,"array([4.86130565, 0.42609086])"
46,"array([4.11847019, 0.8277091 ])"
47,"array([4.83562739, 0.48515119])"
48,"array([5.02424074, 0.90957788])"
49,"array([5.01531842, 0.853917  ])"
50,"array([5.14726886, 0.49440542])"
51,"array([5.05415662, 0.7620276 ])"
52,"array([4.99122182, 0.77057658])"
53,"array([4.71263736, 0.63619747])"
54,"array([4.95058   , 0.60597945])"
55,"array([4.98241534, 0.72877036])"
56,"array([5.0479957 , 0.72072509])"
57,"array([5.1362764 , 0.55666008])"
58,"array([4.80347393, 0.49768055])"
59,"array([4.57434201, 0.81310838])"
60,"array([4.75095115, 0.39435245])"
61,"array([5.0749328 , 0.56892118])"
62,"array([5.10350437, 0.32450446])"
63,"array([5.0982926 , 0.35541531])"
64,"array([4.7903925 , 0.42487169])"
65,"array([4.97538579, 0.58385414])"
66,"array([4.97007302, 0.65748277])"
67,"array([4.90580632, 0.37233861])"
68,"array([4.60338682, 0.17383193])"
69,"array([4.72014413, 0.17541203])"
70,"array([4.76964857, 0.31670249])"
71,"array([4.84919355, 0.33705631])"
72,"array([5.01436296, 0.52038701])"
73,"array([4.83520454, 0.39352265])"
74,"array([4.99669823, 0.56720073])"
75,"array([4.94750735, 0.75108551])"
76,"array([4.72741185, 0.36802353])"
77,"array([4.99720596, 0.79948492])"
78,"array([5.12586954, 0.70709222])"
79,"array([5.15576012, 0.62764911])"
80,"array([4.78022652, 0.37008339])"
81,"array([5.03353834, 0.53279066])"
82,"array([4.89532303, 0.32940776])"
83,"array([4.86584863, 0.4838553 ])"
84,"array([4.88630718, 0.70431056])"
85,"array([4.66761171, 0.36375556])"
86,"array([5.06171466, 0.52338633])"
87,"array([4.7248767 , 0.78796108])"
88,"array([4.62633948, 0.14884573])"
89,"array([4.73298812, 0.52514067])"
90,"array([4.91190647, 0.51599502])"
91,"array([4.68130402, 0.44699278])"
92,"array([4.65053878, 0.49080329])"
93,"array([5.02129617, 0.88562935])"
94,"array([4.9957778 , 0.91202939])"
95,"array([5.06387979, 0.3897013 ])"
96,"array([4.57356231, 0.4644064 ])"
97,"array([4.78955732, 0.32734221])"
98,"array([4.83441904, 0.63443817])"
99,"array([4.75213675, 0.44307698])"
100,"array([4.6068369 , 0.48350618])"
101,"array([4.86676038, 0.23317445])"
102,"array([4.77611592, 0.21962695])"
103,"array([4.91383105, 0.32156391])"
104,"array([4.99604101, 0.87248105])"
105,"array([5.13689549, 0.79706387])"
106,"array([4.96025819, 0.84255679])"
107,"array([5.01456651, 0.65715632])"
108,"array([5.05082106, 0.5537583 ])"
109,"array([4.93948859, 0.67250893])"
110,"array([4.97819951, 0.39950087])"
111,"array([4.77006959, 0.64366803])"
112,"array([4.6998752 , 0.47026841])"
113,"array([5.10823085, 0.59682605])"
114,"array([5.22190547, 0.45720104])"
115,"array([4.5520299 , 0.85600985])"
116,"array([4.81536535, 0.65458049])"
117,"array([5.00506704, 0.62866493])"
118,"array([4.77812477, 0.89219883])"
119,"array([4.68531403, 0.34378274])"
120,"array([4.75490257, 0.5845249 ])"
121,"array([5.10541898, 0.85503741])"
122,"array([5.08355906, 0.44153761])"
123,"array([4.85792321, 0.37399504])"
124,"array([4.72390879, 0.45014444])"
125,"array([4.51339963, 0.7353702 ])"
126,"array([4.98437228, 0.5268452 ])"
127,"array([5.1316159 , 0.83359522])"
128,"array([4.76073443, 0.53386656])"
129,"array([4.85787599, 0.87630306])"
130,"array([5.09163065, 0.83398783])"
131,"array([5.00978714, 0.59229265])"
132,"array([4.69548586, 0.56254264])"
133,"array([4.27794525, 0.97371208])"
134,"array([5.03645621, 0.64390741])"
135,"array([5.08332787, 0.64118103])"
136,"array([5.00306517, 1.22574929])"
137,"array([4.96201733, 1.2291512 ])"
138,"array([5.02079675, 0.80961274])"
139,"array([5.03168963, 0.67609059])"
140,"array([4.87689123, 0.36789918])"
141,"array([5.06246989, 0.41676182])"
142,"array([4.43094698, 0.92769596])"
143,"array([4.59832702, 0.63235372])"
144,"array([5.19392705, 0.47720049])"
145,"array([4.86516878, 0.688748  ])"
146,"array([4.81561544, 0.8493582 ])"
147,"array([5.01842713, 0.36275324])"
148,"array([5.15719739, 0.24210044])"
149,"array([4.96869767, 0.62805213])"
150,"array([4.88486598, 0.2620689 ])"
151,"array([5.00694781, 0.94202163])"
152,"array([4.76950508, 0.50520738])"
153,"array([4.83784304, 0.30805388])"
154,"array([4.76614507, 0.41028119])"
155,"array([4.29701963, 1.00790235])"
156,"array([5.04344764, 0.86488026])"
157,"array([4.64079358, 0.90338782])"
158,"array([4.67711902, 0.94570906])"
159,"array([5.08197287, 0.68260302])"
160,"array([4.85230907, 0.54658193])"
161,"array([4.75286373, 0.90515347])"
162,"array([4.76646058, 0.98809769])"
163,"array([4.86753931, 0.77596407])"
164,"array([4.98947622, 0.84223658])"
165,"array([4.79383575, 0.56003993])"
166,"array([4.76003141, 0.6897745 ])"
167,"array([5.02196358, 0.4965315 ])"
168,"array([4.79485561, 0.39838306])"
169,"array([5.02829268, 0.83633436])"
170,"array([5.23500585, 1.05119862])"
171,"array([4.83399411, 0.82867766])"
172,"array([4.96933689, 1.02153017])"
173,"array([5.14364327, 0.53039359])"
174,"array([5.34643572, 0.64962578])"
175,"array([4.9450526 , 0.41141233])"
176,"array([5.12578019, 0.40313061])"
177,"array([5.04955899, 0.50102324])"
178,"array([5.21352388, 1.20244314])"
179,"array([5.05793711, 0.6819394 ])"
180,"array([4.2076834 , 0.97713559])"
181,"array([4.4036426 , 1.00574589])"
182,"array([5.06768734, 0.47852288])"
183,"array([4.96304052, 0.36565775])"
184,"array([4.89436594, 0.11874933])"
185,"array([4.99875229, 0.22152812])"
186,"array([4.79563565, 0.25747349])"
187,"array([5.01426506, 0.41578936])"
188,"array([4.474587  , 0.93330903])"
189,"array([4.99771265, 0.67612944])"
190,"array([4.78961089, 1.00104615])"
191,"array([4.71405172, 0.29042178])"
192,"array([4.86926098, 0.15605597])"
193,"array([4.41459167, 0.89292275])"
194,"array([5.20601469, 0.66978187])"
195,"array([4.62772329, 0.61351325])"
196,"array([4.14141138, 0.67740699])"
197,"array([4.40271931, 0.71273564])"
198,"array([5.24815553, 0.7845071 ])"
199,"array([5.05492381, 0.44816349])"
200,"array([4.83022817, 0.93223304])"
201,"array([3.91152121, 0.82935759])"
202,"array([4.90977244, 0.97830211])"
203,"array([4.66623967, 0.81740754])"
204,"array([4.91482652, 0.40558871])"
205,"array([4.89847777, 0.55831015])"
206,"array([4.76783279, 0.47226292])"
207,"array([5.14573876, 0.6643737 ])"
208,"array([5.07927054, 0.27946782])"
209,"array([5.30571717, 0.56943717])"
210,"array([4.92302021, 0.65400614])"
211,"array([5.09683558, 0.5191878 ])"
212,"array([5.06405173, 0.60130446])"
213,"array([4.85741473, 0.45745457])"
214,"array([5.03999601, 0.47406572])"
215,"array([4.94543163, 0.56505066])"
216,"array([5.03282897, 0.43957486])"
217,"array([4.80935266, 0.37422192])"
218,"array([5.00693381, 0.54267327])"
219,"array([4.47909696, 0.78675355])"
220,"array([4.90373807, 0.5873889 ])"
221,"array([4.87740955, 0.80576787])"
222,"array([5.36307336, 0.72741921])"
223,"array([4.98692591, 0.41860343])"
224,"array([4.92586009, 0.45620204])"
225,"array([5.31650896, 0.35175647])"
226,"array([5.24989236, 1.19269071])"
227,"array([5.11960168, 1.28084707])"
228,"array([4.6735026, 0.6164327])"
229,"array([5.03419033, 0.70139869])"
230,"array([4.66411873, 0.223225  ])"
231,"array([4.88452044, 0.30003766])"
232,"array([5.13551838, 0.91765329])"
233,"array([5.10935133, 0.78166658])"
234,"array([4.74232473, 0.87733583])"
235,"array([5.27621639, 0.33614707])"
236,"array([4.60017041, 0.29941503])"
237,"array([4.86156908, 0.28073634])"
238,"array([4.97090779, 0.98887562])"
239,"array([4.61429794, 0.66936831])"
240,"array([4.59318048, 0.73948297])"
241,"array([5.19353865, 0.86965583])"
242,"array([5.05802027, 0.23384766])"
243,"array([5.01304604, 0.77620123])"
244,"array([4.78148572, 0.92706031])"
245,"array([4.88926448, 0.38874285])"
246,"array([5.09966573, 0.66204338])"
247,"array([5.01497557, 0.74716527])"
248,"array([5.12075156, 0.62045417])"
249,"array([4.96795909, 0.55287937])"
250,"array([4.88141732, 0.43529856])"
251,"array([5.26422729, 0.64889834])"
252,"array([4.24096186, 1.05672993])"
253,"array([4.81726332, 0.32267901])"
254,"array([5.01508757, 0.28594709])"
255,"array([4.88997416, 0.89227156])"
256,"array([4.79773958, 0.63819988])"
257,"array([4.21836723, 1.02760477])"
258,"array([4.61126956, 0.51698734])"
259,"array([4.9461545 , 0.24026864])"
260,"array([4.79080087, 0.52803772])"
261,"array([5.08863425, 0.4938693 ])"
262,"array([5.29556903, 0.70338544])"
263,"array([5.22342078, 0.74749846])"
264,"array([5.26965638, 0.95491567])"
265,"array([4.94075662, 0.21461537])"
266,"array([4.72997762, 0.61450674])"
267,"array([4.87478893, 0.60504635])"
268,"array([4.8185748 , 0.58530205])"
269,"array([4.34595968, 1.00787333])"
270,"array([4.20470437, 0.63770688])"
271,"array([4.28734689, 0.72599231])"
272,"array([5.16268995, 0.59436331])"
273,"array([4.6131248 , 0.86822033])"
274,"array([5.07927794, 0.71517366])"
275,"array([4.86910605, 0.90452314])"
276,"array([4.80861054, 0.91771527])"
277,"array([4.94818055, 0.80233047])"
278,"array([5.00579268, 0.72163764])"
279,"array([5.06033265, 0.65978678])"
280,"array([4.93844799, 0.83179665])"
281,"array([4.61753411, 0.2106766 ])"
282,"array([4.84901599, 0.75286704])"
283,"array([4.65090995, 0.60409991])"
284,"array([5.19859998, 0.54783715])"
285,"array([5.28196161, 1.00783718])"
286,"array([5.08797697, 0.46340793])"
287,"array([5.13550037, 0.19176418])"
288,"array([4.8202526 , 0.24723123])"
289,"array([4.35733536, 0.44400539])"
290,"array([5.06094394, 1.37162787])"
291,"array([4.96313228, 0.27248887])"
292,"array([5.04445423, 0.36849251])"
293,"array([5.07712941, 0.33792865])"
294,"array([4.9389499 , 0.12783795])"
295,"array([5.17603431, 0.67997106])"
296,"array([5.0024081 , 1.01474081])"
297,"array([4.1193522 , 0.78675039])"
298,"array([4.71807797, 0.8633837 ])"
299,"array([5.11566493, 1.03144857])"
300,"array([4.89218425, 0.78554834])"
301,"array([4.94164501, 0.96059344])"
302,"array([4.91212362, 0.79263327])"
303,"array([5.37164732, 0.35808296])"
304,"array([4.60927642, 0.93437455])"
305,"array([4.81424904, 0.61136511])"
306,"array([4.78869747, 0.58787801])"
307,"array([4.88624069, 0.50494599])"
308,"array([4.45961551, 0.67901912])"
309,"array([4.43019794, 0.72058336])"
310,"array([5.0522274 , 0.28721151])"
311,"array([4.56997664, 0.43000528])"
312,"array([4.79524929, 0.79494707])"
313,"array([5.16462487, 0.4792191 ])"
314,"array([4.99480583, 0.49660603])"
315,"array([4.07810382, 0.98607071])"
316,"array([4.14118132, 0.90703667])"
317,"array([5.04847472, 0.8900719 ])"
318,"array([4.65281501, 0.57916156])"
