# source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
1,0
1,2
1,144
1,4
1,7
1,11
1,13
1,14
1,147
1,30
1,241
1,242
1,40
1,45
1,49
1,165
1,243
1,244
1,245
1,246
1,66
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,93
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,119
1,266
1,267
3,0
3,144
3,7
3,30
3,268
3,269
3,270
3,271
3,272
3,273
4,143
4,4
5,0
5,143
5,2
5,3
5,4
5,6
5,10
5,17
5,149
5,303
5,154
5,30
5,36
5,304
5,164
5,165
5,65
5,305
5,195
5,200
5,204
5,212
5,306
5,307
5,291
5,118
6,0
6,4
6,5
6,8
6,11
6,146
6,147
6,308
6,309
6,157
6,310
6,311
6,312
6,313
6,314
6,174
6,315
6,316
6,317
6,318
6,319
7,4
7,5
7,6
7,13
7,274
7,153
7,320
7,185
7,321
7,322
7,323
7,324
7,325
8,0
8,143
8,4
8,5
8,152
8,303
8,328
8,329
8,158
8,42
8,330
8,331
8,301
8,332
8,175
8,333
9,0
9,4
9,5
9,13
9,25
9,152
9,30
9,33
9,329
9,38
9,334
9,228
9,229
9,230
10,4
10,29
11,4
11,158
11,42
12,42
12,88
13,0
13,4
13,5
13,7
13,10
13,17
13,147
13,154
13,364
13,36
13,162
13,365
13,167
13,366
13,254
13,89
13,321
13,367
13,368
13,294
14,0
14,3
14,4
14,5
14,7
14,8
14,11
14,274
14,152
14,30
14,158
14,375
14,376
14,170
14,197
14,204
14,209
14,377
14,110
14,378
14,231
14,232
14,235
14,238
14,379
16,4
16,8
16,11
16,146
16,164
16,234
17,4
17,148
17,161
18,4
18,5
18,6
18,8
18,11
18,26
18,34
18,397
18,189
18,210
18,398
18,399
19,4
19,5
19,6
19,7
19,8
19,11
19,401
19,179
19,402
19,182
19,85
20,4
20,5
20,15
20,157
20,335
20,337
21,6
21,8
21,11
21,186
21,370
22,4
22,5
22,7
22,8
22,9
22,11
22,14
22,17
22,147
22,409
22,335
22,60
22,196
22,200
22,206
22,408
22,219
22,236
23,2
23,4
23,5
23,7
23,30
23,51
23,101
25,8
25,9
25,149
25,154
25,29
25,36
25,414
25,415
25,416
25,417
25,418
25,419
26,0
26,6
26,8
26,9
26,11
26,13
26,422
26,423
26,424
26,369
26,425
26,191
26,426
26,227
27,8
27,12
27,349
27,351
27,352
27,427
27,356
29,4
29,5
29,8
29,10
29,14
29,395
29,403
29,149
29,25
29,154
30,0
30,144
30,296
30,297
30,16
30,434
30,435
30,268
30,43
30,269
30,277
30,270
30,271
30,272
31,0
31,438
31,89
32,14
32,439
32,440
32,420
33,15
33,38
33,394
34,4
34,5
34,51
34,238
35,328
35,158
36,4
36,25
38,0
38,299
39,0
39,392
40,8
40,11
40,12
40,346
40,198
41,4
41,17
41,158
41,330
43,303
43,473
46,5
46,432
46,60
49,2
49,13
49,30
50,8
50,9
50,11
50,241
50,199
51,4
51,5
51,23
51,34
51,500
51,95
51,101
51,231
52,4
52,5
52,52
53,4
53,151
55,511
56,16
56,435
56,43
57,3
57,16
57,30
57,434
57,435
57,43
57,277
59,35
59,520
59,521
59,522
64,12
64,350
66,8
66,11
66,14
66,158
66,41
66,332
67,566
69,2
69,30
