# index, _pos
0,"array([-8.6886115 ,  5.03534608])"
1,"array([-9.45997856,  4.89420878])"
2,"array([-9.48003384,  4.75619552])"
3,"array([-9.38829784,  4.71012438])"
4,"array([-9.07625232,  5.61953327])"
5,"array([-8.98904651,  5.41847389])"
6,"array([-9.74108668,  5.82448577])"
7,"array([-9.53151745,  5.09594855])"
8,"array([-8.9984634 ,  5.92591504])"
9,"array([-8.96129905,  5.01986404])"
10,"array([-8.85707168,  5.50091499])"
11,"array([-9.14606174,  5.8733749 ])"
12,"array([-7.7261843 ,  5.59462248])"
13,"array([-8.97148527,  4.80825521])"
14,"array([-9.38359773,  5.32079114])"
15,"array([-9.26946918,  4.82901524])"
16,"array([-9.24159626,  5.44042268])"
17,"array([-8.82316733,  5.43093389])"
18,"array([-9.14937026,  6.04645778])"
19,"array([-8.9977087 ,  5.66455919])"
20,"array([-9.4670296,  5.30409  ])"
21,"array([-9.39799564,  5.70286552])"
22,"array([-9.10791196,  5.48773001])"
23,"array([-8.85701376,  5.04174721])"
24,"array([-8.41528375,  4.29591871])"
25,"array([-9.30760652,  5.61063988])"
26,"array([-9.38289797,  5.43141275])"
27,"array([-8.15547116,  5.89915759])"
28,"array([-8.16211553,  4.98950192])"
29,"array([-9.17324655,  5.45246052])"
30,"array([-9.2359599 ,  4.77420487])"
31,"array([-8.46604817,  4.79463832])"
32,"array([-8.75665053,  4.45388998])"
33,"array([-8.9404685 ,  4.46911056])"
34,"array([-9.14205001,  5.40244889])"
35,"array([-8.58244468,  5.60257766])"
36,"array([-8.95369608,  5.282301  ])"
37,"array([-7.95596971,  5.00229177])"
38,"array([-8.84468475,  4.51738228])"
39,"array([-8.17483868,  4.47873971])"
40,"array([-8.63770476,  5.37858562])"
41,"array([-8.78488317,  5.76991106])"
42,"array([-8.349626  ,  5.63400473])"
43,"array([-8.5944496 ,  5.08021329])"
44,"array([-9.07247485,  4.36620325])"
45,"array([-9.16987575,  4.72795866])"
