# index, _pos
0,"array([-12.04119267,   8.78007332])"
1,"array([-12.04359039,   9.01161465])"
2,"array([-11.96702482,   9.1129468 ])"
3,"array([-12.1444589,   9.1703351])"
4,"array([-12.10682027,   9.26832358])"
5,"array([-12.34909957,   8.47159031])"
6,"array([-12.24196498,   8.4981806 ])"
7,"array([-12.52245913,   9.03404404])"
8,"array([-12.53303356,   9.0658303 ])"
9,"array([-12.63749901,   8.49403449])"
10,"array([-12.21296862,   8.43176604])"
11,"array([-11.96129276,   8.43174735])"
12,"array([-12.46719587,   8.39611311])"
13,"array([-12.6328503 ,   8.57566085])"
14,"array([-12.80013298,   8.89495557])"
15,"array([-12.34331815,   8.80982444])"
16,"array([-12.3502423 ,   8.73561588])"
17,"array([-12.02948547,   9.14446448])"
18,"array([-12.26255062,   9.10967847])"
19,"array([-12.0997951 ,   8.31390435])"
20,"array([-12.40128556,   8.68223783])"
21,"array([-12.24889635,   8.45339322])"
22,"array([-12.37053998,   8.86786835])"
23,"array([-12.3318996 ,   8.89423964])"
24,"array([-12.62792555,   8.72893312])"
25,"array([-12.47481724,   8.56386271])"
26,"array([-11.43388082,   9.01435534])"
27,"array([-12.31713568,   8.20987698])"
28,"array([-12.08558463,   8.42928511])"
29,"array([-12.02882794,   8.9791234 ])"
30,"array([-11.81590654,   8.55260475])"
31,"array([-12.37711994,   8.29085658])"
32,"array([-12.47970653,   8.72869515])"
33,"array([-12.77961375,   8.61390237])"
34,"array([-12.10432041,   8.93470939])"
35,"array([-11.67687579,   8.44793107])"
36,"array([-12.42962676,   8.71700678])"
37,"array([-12.01811295,   9.11396051])"
38,"array([-12.33939102,   8.93662694])"
39,"array([-12.37648074,   8.60345178])"
40,"array([-12.1068684 ,   8.74332599])"
41,"array([-12.15230589,   8.53207099])"
42,"array([-12.35849956,   8.67110883])"
43,"array([-12.14572511,   8.77272005])"
44,"array([-12.21902442,   8.77982901])"
45,"array([-12.28361389,   8.41976262])"
46,"array([-11.97043769,   8.75204786])"
47,"array([-12.30930044,   8.46004926])"
48,"array([-12.30984353,   8.6735861 ])"
49,"array([-12.08654792,   8.86195827])"
50,"array([-12.52929106,   8.55072835])"
51,"array([-12.01506252,   8.26662571])"
52,"array([-12.2119277 ,   8.70481275])"
53,"array([-11.85375988,   8.71359887])"
54,"array([-12.09725726,   8.26125411])"
55,"array([-12.08272783,   8.34175734])"
56,"array([-12.31185465,   8.39701079])"
57,"array([-12.05526683,   8.24456405])"
58,"array([-11.81746491,   8.66610585])"
59,"array([-12.44565866,   8.76077132])"
60,"array([-12.20659669,   8.4732626 ])"
61,"array([-11.83412733,   8.59610014])"
62,"array([-12.0206629,   8.3220984])"
63,"array([-11.59898589,   8.50591876])"
64,"array([-12.35405814,   8.55763385])"
65,"array([-11.61634199,   8.43063683])"
66,"array([-12.06149756,   8.73540529])"
67,"array([-12.1687151 ,   8.36846435])"
68,"array([-11.64886798,   8.82489101])"
69,"array([-12.10253607,   8.53106625])"
70,"array([-12.1161853 ,   8.80835452])"
71,"array([-12.46333323,   8.60797789])"
72,"array([-11.93804677,   8.6099265 ])"
73,"array([-11.75370943,   8.38799648])"
74,"array([-11.82282421,   8.31030534])"
75,"array([-11.66698895,   8.63897362])"
76,"array([-11.96838056,   8.54202876])"
77,"array([-12.34863565,   8.63688069])"
78,"array([-12.5014028 ,   9.41746048])"
79,"array([-12.27782731,   8.71890045])"
80,"array([-11.90839128,   8.34701349])"
81,"array([-12.45530629,   8.7997924 ])"
82,"array([-11.87125168,   8.30597277])"
83,"array([-12.27374371,   8.53594739])"
84,"array([-12.17632837,   8.62917456])"
85,"array([-11.5038576 ,   9.00002549])"
86,"array([-11.9502082 ,   8.92994588])"
87,"array([-11.98470536,   8.31485374])"
88,"array([-12.15596145,   8.48976248])"
89,"array([-12.01814799,   8.70390339])"
90,"array([-12.00092075,   8.51220749])"
91,"array([-12.17128316,   8.45360864])"
92,"array([-12.49816242,   8.91599129])"
93,"array([-12.33077075,   8.69949701])"
94,"array([-12.38918275,   8.90509514])"
95,"array([-12.05656955,   8.2963995 ])"
96,"array([-12.14557886,   8.94318832])"
97,"array([-12.02210301,   8.61579478])"
98,"array([-12.28780413,   9.01449354])"
99,"array([-12.41210471,   8.60077674])"
100,"array([-12.30514652,   8.49818682])"
101,"array([-12.13375461,   8.56123994])"
102,"array([-12.19672388,   8.50842148])"
103,"array([-11.9468432 ,   8.89267151])"
104,"array([-11.90585044,   8.43799618])"
105,"array([-12.03352866,   8.66818192])"
106,"array([-12.08885714,   8.37964191])"
107,"array([-12.31547926,   8.5393826 ])"
108,"array([-11.71428021,   8.41854764])"
109,"array([-12.22323203,   8.63549802])"
110,"array([-11.8057244 ,   8.44733843])"
111,"array([-12.19236845,   8.40488441])"
112,"array([-12.42517366,   8.42254607])"
113,"array([-11.9449915 ,   8.50530456])"
114,"array([-11.91717911,   8.53921081])"
115,"array([-12.48815834,   8.78331807])"
116,"array([-12.20822274,   8.36358555])"
117,"array([-11.72071131,   8.3308409 ])"
118,"array([-12.51869113,   8.50074449])"
119,"array([-12.32131278,   8.35093705])"
120,"array([-11.75803366,   8.79934675])"
121,"array([-12.10555556,   8.4736806 ])"
122,"array([-12.30406944,   8.61793346])"
123,"array([-11.71520056,   8.67659791])"
124,"array([-11.98482685,   8.47227591])"
125,"array([-11.6973383 ,   8.53531583])"
126,"array([-11.64493407,   8.94106049])"
127,"array([-11.79466078,   9.03129255])"
128,"array([-11.69802663,   8.87870795])"
129,"array([-12.30246615,   8.74482862])"
130,"array([-12.28757656,   8.29268232])"
131,"array([-11.91321571,   8.98322623])"
132,"array([-12.02335528,   8.43314234])"
133,"array([-11.69049164,   9.00742789])"
134,"array([-11.92539737,   8.84586524])"
135,"array([-12.13266513,   8.6405907 ])"
136,"array([-11.55274503,   8.4537432 ])"
137,"array([-11.65822729,   8.68859584])"
138,"array([-12.32292127,   9.08760036])"
139,"array([-11.84829696,   8.53557908])"
140,"array([-11.94470552,   8.46604039])"
141,"array([-11.64129111,   8.48885783])"
142,"array([-12.28382973,   8.33223625])"
143,"array([-11.94553339,   8.39411461])"
144,"array([-12.04899363,   8.39949032])"
145,"array([-11.75965862,   8.65055111])"
146,"array([-11.78050002,   9.26766443])"
147,"array([-11.92970772,   8.77200349])"
148,"array([-11.51499304,   8.70400249])"
149,"array([-11.70890237,   8.63503909])"
150,"array([-11.71982575,   9.03356175])"
151,"array([-12.13338691,   8.28855224])"
152,"array([-12.07444832,   8.49828951])"
153,"array([-11.89860872,   8.39810591])"
154,"array([-11.77550897,   8.57945471])"
155,"array([-11.85464262,   8.62790678])"
156,"array([-11.52405396,   8.50220227])"
157,"array([-11.95729759,   9.02343714])"
158,"array([-12.12807734,   8.4384054 ])"
159,"array([-11.51990621,   8.80647413])"
160,"array([-11.67364893,   8.74293699])"
161,"array([-11.72881495,   8.99104623])"
162,"array([-11.48456421,   8.86545366])"
163,"array([-11.68160875,   8.92291233])"
164,"array([-12.03578231,   8.36184106])"
165,"array([-11.7215552 ,   8.91478272])"
166,"array([-12.30008028,   8.88325085])"
167,"array([-12.12106004,   8.90307354])"
168,"array([-11.65736287,   8.58596151])"
169,"array([-12.61551245,   8.68115792])"
170,"array([-11.99594213,   8.40403553])"
171,"array([-12.5283227,   9.1039537])"
172,"array([-12.0441815 ,   8.87613889])"
173,"array([-11.77547115,   8.48600584])"
174,"array([-11.77918684,   8.52839098])"
175,"array([-12.13087856,   8.97670871])"
176,"array([-11.72873897,   8.48578115])"
177,"array([-11.74087438,   8.60676136])"
178,"array([-11.9838444,   8.3642465])"
179,"array([-11.74217428,   8.54293008])"
180,"array([-11.84280036,   8.47076114])"
181,"array([-11.53938707,   8.74546784])"
182,"array([-11.49831425,   8.6081736 ])"
183,"array([-11.70877159,   8.95572511])"
184,"array([-12.24243936,   8.31868997])"
185,"array([-12.28116241,   8.45060078])"
186,"array([-12.14431707,   8.40410042])"
187,"array([-11.61294727,   8.68214318])"
188,"array([-12.10007221,   8.59915081])"
189,"array([-11.92230319,   8.71818606])"
190,"array([-11.92041214,   8.65812844])"
191,"array([-11.5485982 ,   8.65452267])"
192,"array([-12.14136791,   8.5955874 ])"
193,"array([-11.76673055,   9.18837387])"
194,"array([-12.22868543,   9.16323661])"
195,"array([-12.25374563,   8.9120415 ])"
196,"array([-12.37758614,   8.44673082])"
197,"array([-11.77713975,   8.35100884])"
198,"array([-12.34365293,   8.58705668])"
199,"array([-11.83042549,   8.84903377])"
200,"array([-12.49355977,   8.82756104])"
201,"array([-12.46075616,   8.8481921 ])"
202,"array([-11.74477328,   8.28233028])"
203,"array([-11.60642679,   9.01038481])"
204,"array([-11.95652358,   9.0698468 ])"
205,"array([-11.87564159,   8.67170821])"
