# index, _pos
0,"array([-7.40133795,  5.79454171])"
1,"array([-2.4440663 ,  1.21366601])"
2,"array([3.39183282, 2.55020499])"
3,"array([0.55392599, 6.80243454])"
4,"array([-4.95122611, -4.27400126])"
5,"array([4.54881142, 8.72633825])"
6,"array([-15.15612229,  30.98260854])"
7,"array([-7.54644509,  7.27623424])"
8,"array([-6.92263615, 20.08488885])"
9,"array([ 5.15710728, -1.9238529 ])"
10,"array([-0.79045851,  7.30124142])"
11,"array([1.79880448, 6.14232176])"
12,"array([ 2.03794577, -5.13316935])"
13,"array([ 0.82263141, -4.96345507])"
14,"array([-0.47282511, -3.96352272])"
15,"array([-2.69646999, -5.6127652 ])"
16,"array([-1.23727551, -5.81551534])"
17,"array([-1.0712478, -4.5405752])"
18,"array([-6.82267431, -3.51651489])"
19,"array([-2.22876626, -6.622384  ])"
20,"array([-9.62128429, -0.74046713])"
21,"array([0.0531172 , 8.43228821])"
22,"array([ 3.27291788, -3.08811716])"
23,"array([0.28770953, 9.76857726])"
24,"array([ 3.23393206, -1.7091522 ])"
25,"array([-3.05380903,  9.28400675])"
26,"array([1.15677621, 7.9869937 ])"
27,"array([12.22516526,  4.0081899 ])"
28,"array([ 6.86351706, 13.53565689])"
29,"array([-16.01492739,  -9.85267779])"
30,"array([-24.09371094,  -8.04039576])"
31,"array([25.60068974, -2.30761183])"
32,"array([-27.43038832,  34.65483694])"
33,"array([-12.83251902, -44.39794026])"
34,"array([-34.12703467,  28.9413233 ])"
35,"array([  3.75706528, -37.82461712])"
36,"array([-21.02541983,  36.61119883])"
37,"array([  7.80289774, -10.52545436])"
38,"array([-12.59395824,  -0.48137299])"
39,"array([25.34402566, -8.54864014])"
40,"array([ 20.16743573, -18.01056655])"
41,"array([ 24.50033399, -19.67125706])"
42,"array([-20.84141683,  23.12116579])"
43,"array([-47.86716009,   9.82255012])"
44,"array([ 18.1814251 , -27.18112282])"
45,"array([21.59523051, 21.2190924 ])"
46,"array([ 17.52018094, -22.89516844])"
47,"array([  9.63546228, -41.099896  ])"
48,"array([ -8.31468902, -30.93243007])"
49,"array([-12.49413015, -38.52389037])"
50,"array([ -6.61242948, -37.47578449])"
51,"array([-36.90359523,  23.93987501])"
52,"array([-5.69603514,  8.58576833])"
53,"array([-5.20986214, 13.1705285 ])"
54,"array([  3.83137852, -14.25066366])"
55,"array([ 1.24445086, -8.87887125])"
56,"array([ 29.92721958, -22.73854979])"
57,"array([ 4.67460937, -4.47420827])"
58,"array([-51.96339515,  -4.93419952])"
59,"array([-44.41641527,  23.32359217])"
60,"array([-19.60216632,  31.15147695])"
61,"array([22.37286049, 10.34683221])"
62,"array([22.05966597, 29.66515493])"
63,"array([ 21.07348747, -31.98442348])"
64,"array([-45.26358187, -25.73044957])"
65,"array([-34.368606  ,  -7.30473964])"
66,"array([-37.32868603, -10.65297019])"
67,"array([-36.99561806,   0.57421087])"
68,"array([-18.11394644, -23.48579657])"
69,"array([-19.83704978, -17.55116858])"
70,"array([-2.09022222, 33.90976341])"
71,"array([-6.083313 , 32.3981824])"
72,"array([-31.55168525,  23.39368898])"
73,"array([ 2.55854572, 33.07741704])"
74,"array([ 1.03935691, 34.8001303 ])"
75,"array([-11.43222841,  32.16844744])"
76,"array([-27.7272468 ,  -0.93766144])"
77,"array([-15.68335664,  24.51317504])"
78,"array([-27.22508036, -40.69533836])"
79,"array([ -0.16846809, -34.62977168])"
80,"array([11.1616199 , 34.61473515])"
81,"array([ 7.82885003, 30.90343896])"
82,"array([ 22.03240633, -13.12191838])"
83,"array([-31.20927025,  17.64535053])"
84,"array([33.92092212,  3.65645871])"
85,"array([ -3.66227732, -32.15601463])"
86,"array([-37.36914649, -33.06586785])"
87,"array([ 32.17948202, -17.36387977])"
88,"array([ 13.7204769 , -33.91235462])"
89,"array([ 14.78586356, -30.92640978])"
90,"array([-42.93422596,  14.62672523])"
91,"array([ 24.66559882, -26.24437311])"
92,"array([ 26.47973538, -13.66239408])"
93,"array([-31.09615666, -35.47262843])"
94,"array([-30.47012689, -15.76489183])"
95,"array([  8.95239693, -33.8564461 ])"
96,"array([ 18.36314286, -35.71723584])"
97,"array([-25.45151944,   2.2705796 ])"
98,"array([-24.32197425, -18.11641703])"
99,"array([-30.14338319,  -2.21930458])"
100,"array([-20.15999197, -35.3862873 ])"
101,"array([ 11.43142921, -26.02715634])"
102,"array([  9.48214765, -23.46395125])"
103,"array([-39.57245133,  28.03322157])"
104,"array([30.35262451, -0.83391271])"
105,"array([ -5.562428  , -43.72930787])"
106,"array([ 1.23362531, 14.27364297])"
107,"array([-28.66327102, -18.74543448])"
108,"array([-28.46764359,  27.96756711])"
109,"array([-33.05735404, -16.13994384])"
110,"array([ -1.6586298 , -28.37797899])"
111,"array([ 13.11071682, -19.8177834 ])"
112,"array([-37.34307257, -20.98025004])"
113,"array([-18.0422018 , -39.46328567])"
114,"array([-33.15885271, -12.28307544])"
115,"array([-26.20165412, -17.84601941])"
116,"array([-5.88145966, 41.85576854])"
117,"array([  2.72129795, -43.37421839])"
118,"array([35.2699024 , -2.83165991])"
119,"array([-27.63389583,  -2.25771565])"
120,"array([-26.60369964,  -0.6892236 ])"
121,"array([-28.99345292,  -0.46413725])"
122,"array([31.7806254 , -6.87460529])"
123,"array([30.89507137, -9.92941962])"
124,"array([  1.82535414, -25.63867826])"
125,"array([-26.00945447,  19.75947727])"
126,"array([-14.20337546, -33.50930175])"
127,"array([13.3685247 , 23.55547718])"
128,"array([-15.54561153, -14.76037103])"
129,"array([23.14183642,  2.50072583])"
130,"array([-40.29174554,  19.74951021])"
131,"array([16.60525944, 29.74288455])"
132,"array([-11.14409414,  27.182023  ])"
133,"array([28.50348223,  3.17560387])"
134,"array([-21.91735647, -42.95712507])"
135,"array([-35.86665004,  16.37457541])"
136,"array([-28.04809027, -16.2065939 ])"
137,"array([-4.50213074, 19.7317426 ])"
138,"array([-51.12051449,   3.78727748])"
139,"array([-19.35909239,  41.04880679])"
140,"array([  3.0285373 , -31.57967514])"
141,"array([30.27073863, 12.49059736])"
142,"array([  5.81311839, -28.06085471])"
143,"array([-15.22244586,  37.63846351])"
144,"array([-48.12494692,  17.24858509])"
145,"array([-11.56113399,  39.8897893 ])"
146,"array([-22.75362666,  27.67495566])"
147,"array([-6.43117104,  4.80751901])"
148,"array([1.34547886, 2.54125461])"
149,"array([-15.49689484,  32.44329018])"
150,"array([-5.09211828,  4.11149447])"
151,"array([-9.85575273,  9.01565345])"
152,"array([-8.64822683, 10.07512731])"
153,"array([-8.21741383, 20.9948106 ])"
154,"array([-6.81489045, 22.28216864])"
155,"array([-25.99571374,  23.64396838])"
156,"array([-0.06230701,  2.61177839])"
157,"array([1.35949705, 0.71076531])"
158,"array([0.74172111, 2.74155051])"
159,"array([-1.44357966, -3.2212405 ])"
160,"array([-3.63058374,  4.87612951])"
161,"array([-7.29763397, -0.95414333])"
162,"array([0.81190542, 5.2417276 ])"
163,"array([-1.86315835,  4.36873068])"
164,"array([-4.46436826,  1.82149894])"
165,"array([-3.33546513, -0.17305247])"
166,"array([-2.81013395,  2.4933043 ])"
167,"array([0.0609063 , 1.55895576])"
168,"array([-3.4559297 ,  5.83691796])"
169,"array([-2.63881597,  5.10818494])"
170,"array([ 18.51477967, -11.79881765])"
171,"array([ 0.63700018, -0.22094544])"
172,"array([-0.83724615,  2.96281045])"
173,"array([-0.0373464 ,  0.33377574])"
174,"array([-3.80967995,  2.37051487])"
175,"array([ -1.71911362, -40.19551671])"
176,"array([-6.4183364 ,  2.94999231])"
177,"array([-1.67202983, -1.42335556])"
