# index, _pos
0,"array([  4.72969098, -10.41313987])"
1,"array([  4.33393773, -10.23821471])"
2,"array([  3.11019931, -12.35196021])"
3,"array([  2.86706503, -13.10723134])"
4,"array([ 5.96003806, -9.57359932])"
5,"array([ 5.42070135, -9.5132014 ])"
6,"array([ 5.02345647, -9.46362582])"
7,"array([ 5.49839588, -8.96917568])"
8,"array([ 5.20109242, -9.81598777])"
9,"array([ 2.13918344, -9.76824168])"
10,"array([ 1.26801625, -9.75368116])"
11,"array([ 2.87551232, -9.57673775])"
12,"array([  3.2276625 , -10.75404839])"
13,"array([  3.02067783, -10.03123167])"
14,"array([ 4.0844715 , -8.31999663])"
15,"array([ 3.86407472, -8.51603563])"
16,"array([  2.07511359, -12.24417417])"
17,"array([  2.6660077 , -12.55317568])"
18,"array([  2.47335688, -13.27104191])"
19,"array([ 3.03988272, -9.42733782])"
20,"array([ 2.79695206, -9.5324522 ])"
21,"array([  4.33489033, -11.64769845])"
22,"array([ 2.73713119, -7.76029684])"
23,"array([ 3.66357833, -8.75908814])"
24,"array([ 4.24302401, -6.52553031])"
25,"array([ 4.42260022, -5.65228323])"
26,"array([-8.29744261, -8.66948555])"
27,"array([-8.24672767, -8.46350688])"
28,"array([  3.66903705, -11.71487221])"
29,"array([  3.49654241, -11.98203969])"
30,"array([  0.85177455, -10.9966736 ])"
31,"array([  5.2532913 , -13.08191125])"
32,"array([  4.65113241, -12.04268527])"
33,"array([ 3.0652457 , -8.83632987])"
34,"array([ 3.22852846, -8.98770407])"
35,"array([ 4.21776233, -8.36479108])"
36,"array([  3.507372  , -10.58617685])"
37,"array([ 4.28398781, -8.57159581])"
38,"array([ 4.10790463, -9.98864647])"
39,"array([  3.81277048, -10.44508432])"
40,"array([  3.93713837, -10.32582539])"
41,"array([  3.41200738, -10.33292868])"
42,"array([  3.68264996, -10.29785431])"
43,"array([  3.13092732, -11.18953224])"
44,"array([  3.39020868, -11.92438354])"
45,"array([  4.40205996, -11.58483398])"
46,"array([ 3.93027222, -8.36938291])"
47,"array([ 3.97204381, -8.61204264])"
48,"array([ 3.39111838, -9.35999974])"
49,"array([  3.65171144, -10.03216456])"
50,"array([  3.22167954, -11.8683921 ])"
51,"array([  3.26082077, -10.56911181])"
52,"array([ 3.06123496, -9.22233769])"
53,"array([ 3.50431362, -9.71747988])"
54,"array([ 3.99688936, -8.05105369])"
55,"array([ 3.65510493, -8.25910627])"
56,"array([ 3.94626807, -9.73132996])"
57,"array([ 2.96848219, -9.23380186])"
58,"array([ 3.10855729, -8.90281288])"
59,"array([ 2.65263667, -8.97799527])"
60,"array([  2.34017912, -11.03452877])"
61,"array([  2.37322578, -11.30178242])"
62,"array([ 6.46546085, -9.68034997])"
63,"array([ 7.22330656, -9.64005587])"
64,"array([  3.34220152, -11.1611367 ])"
65,"array([  3.02725779, -10.88539659])"
66,"array([ 2.09116586, -9.57319635])"
67,"array([ 2.02268848, -9.86578919])"
68,"array([  3.73780408, -10.44892352])"
69,"array([  3.92650156, -11.02104725])"
70,"array([  4.90827655, -11.23038965])"
71,"array([  4.87720158, -10.91617842])"
72,"array([  4.06146073, -11.20278024])"
73,"array([-0.34470632, -9.29465174])"
74,"array([ 0.3827106 , -9.29672189])"
75,"array([  4.46321117, -11.14969762])"
76,"array([  4.96885739, -12.00349799])"
77,"array([ 5.21028243, -9.56326799])"
78,"array([  4.74885623, -10.23025242])"
79,"array([ 2.7162664 , -8.73092455])"
80,"array([ 2.02296812, -8.14701279])"
81,"array([ 1.88869287, -9.40236865])"
82,"array([ 1.01591934, -9.01920782])"
83,"array([ 5.31798745, -9.74789842])"
84,"array([-6.89900226, -7.76503423])"
85,"array([ 3.57850161, -7.96436077])"
86,"array([ 3.98738444, -8.20426561])"
87,"array([  2.36448998, -11.40772132])"
88,"array([  2.95404864, -10.9146374 ])"
89,"array([  3.72115458, -10.63273332])"
90,"array([  3.42386856, -11.53855589])"
91,"array([ 4.36657626, -9.11916592])"
92,"array([ 5.35198297, -8.82288934])"
93,"array([  3.59947688, -10.31294131])"
94,"array([  3.49781244, -11.2251374 ])"
95,"array([ 4.23563451, -8.51553989])"
96,"array([ 3.82337242, -7.89816318])"
