# index, name, _pos
0,ASIL,"array([ 34.59030717, -18.45161448])"
1,ASIR,"array([25.9349025 , -0.19460814])"
2,ASJL,"array([ 35.78490673, -18.59694033])"
3,ASJR,"array([30.96960559, -2.09729901])"
4,AWAL,"array([ 32.79361812, -17.44918498])"
5,AWAR,"array([25.20578443, -4.50294388])"
6,ASGL,"array([ 34.65281039, -16.47461159])"
7,ASGR,"array([27.34190762, -2.60725594])"
8,AWBL,"array([ 33.80905386, -15.46342279])"
9,AWBR,"array([28.03877522, -4.92484802])"
10,ASEL,"array([ 34.03287625, -17.48376206])"
11,ASER,"array([27.42154687, -3.85690196])"
12,ADFL,"array([ 33.11636085, -14.71373926])"
13,ADFR,"array([27.57161087, -5.9400131 ])"
14,AFDL,"array([ 32.4180547 , -19.61133912])"
15,AFDR,"array([24.84082824, -3.23934537])"
16,AWCL,"array([ 35.821771  , -17.20676984])"
17,AWCR,"array([26.34633535, -3.64768439])"
18,ASKL,"array([ 36.98650988, -15.65351386])"
19,ASKR,"array([30.05603464, -0.6052258 ])"
20,ASHL,"array([ 35.69825299, -12.48782326])"
21,ASHR,"array([31.88274711, -2.77256229])"
22,ADLL,"array([ 36.44481982, -11.9677537 ])"
23,ADLR,"array([30.38824641, -4.0843049 ])"
24,BAGL,"array([27.92080457, -6.72423455])"
25,BAGR,"array([68.15392184, 31.46260992])"
26,URXL,"array([ 27.45711274, -17.49970869])"
27,URXR,"array([28.68559153, -7.45276331])"
28,ALNL,"array([33.16621362, -9.60283126])"
29,ALNR,"array([ 25.18643138, -10.07955683])"
30,PLNL,"array([ 32.45628379, -11.34794258])"
31,PLNR,"array([31.98600858, -4.30832389])"
32,SDQL,"array([39.74664341, -8.65636508])"
33,SDQR,"array([32.27039019, -7.76748216])"
34,AQR,"array([33.69363825, -8.71910597])"
35,PQR,"array([38.48519511, -5.67440133])"
36,ALML,"array([ 36.68695156, -13.41343169])"
37,ALMR,"array([31.29047067, -5.97039606])"
38,AVM,"array([34.17369057, -6.96712656])"
39,PVM,"array([ 38.57072954, -10.96996514])"
40,PLML,"array([40.26972969, -9.81921996])"
41,PLMR,"array([36.4081716 , -6.65606108])"
42,FLPL,"array([32.97106601, -8.36800733])"
43,FLPR,"array([32.86523159, -6.47999477])"
44,DVA,"array([34.72065143, -9.5622942 ])"
45,PVDL,"array([39.7034441 , -7.76455039])"
46,PVDR,"array([38.84837203, -8.37684349])"
47,ADEL,"array([ 34.07524261, -11.1492195 ])"
48,ADER,"array([ 32.89770474, -13.06757742])"
49,PDEL,"array([37.62693155, -9.70869848])"
50,PDER,"array([39.22285203, -9.3124279 ])"
51,PHAL,"array([40.18332901, -3.92089345])"
52,PHAR,"array([38.65505952, -4.9730689 ])"
53,PHBL,"array([40.21243706, -3.18517177])"
54,PHBR,"array([38.26460137, -3.99643851])"
55,PHCL,"array([40.32953079, -2.55971599])"
56,PHCR,"array([40.85650014, -2.82472031])"
57,IL2DL,"array([ 31.0776462 , -18.65172805])"
58,IL2DR,"array([ 23.93907197, -10.86362031])"
59,IL2L,"array([ 26.8178604, -14.7169084])"
60,IL2R,"array([25.99339691, -9.38422304])"
61,IL2VL,"array([ 27.20876745, -15.60704068])"
62,IL2VR,"array([23.83119557, -9.72506355])"
63,CEPDL,"array([ 30.43928674, -13.62940471])"
64,CEPDR,"array([26.38426489, -8.60439706])"
65,CEPVL,"array([ 30.97306413, -14.36001177])"
66,CEPVR,"array([27.97438949, -8.59488829])"
67,URYDL,"array([ 44.71767495, -46.98771177])"
68,URYDR,"array([24.12176009, -6.15117852])"
69,URYVL,"array([ 38.85135877, -17.64423052])"
70,URYVR,"array([ 28.87581761, -17.52591458])"
71,OLLL,"array([ 27.48652621, -14.1983497 ])"
72,OLLR,"array([26.75835999, -9.45131107])"
73,OLQDL,"array([ 29.46885503, -15.94254192])"
74,OLQDR,"array([ 26.28435513, -10.49960713])"
75,OLQVL,"array([ 29.6711239 , -14.90787021])"
76,OLQVR,"array([26.82930237, -7.64917946])"
77,IL1DL,"array([ 28.01610378, -16.58089424])"
78,IL1DR,"array([ 22.2351488 , -10.70446231])"
79,IL1L,"array([ 25.36963276, -14.41188296])"
80,IL1R,"array([ 25.4216491 , -10.98294093])"
81,IL1VL,"array([ 28.43681081, -15.23090754])"
82,IL1VR,"array([24.2096972 , -8.54520221])"
83,AINL,"array([26.55059549, -4.7805938 ])"
84,AINR,"array([ 32.94313859, -15.77601721])"
85,AIML,"array([ 35.71987183, -14.73486548])"
86,AIMR,"array([28.48963773, -2.37602269])"
87,RIH,"array([ 28.31138267, -11.25474893])"
88,URBL,"array([ 24.92335842, -15.48448292])"
89,URBR,"array([22.41080307, -7.00119844])"
90,RIR,"array([31.58266983, -9.0514525 ])"
91,AIYL,"array([ 32.05801417, -14.92631083])"
92,AIYR,"array([25.89096058, -5.93074184])"
93,AIAL,"array([ 35.72708317, -15.62612428])"
94,AIAR,"array([29.25645392, -3.2169692 ])"
95,AUAL,"array([ 33.95495805, -14.2757716 ])"
96,AUAR,"array([28.79404768, -6.13547081])"
97,AIZL,"array([ 31.98804654, -12.80728641])"
98,AIZR,"array([29.57536158, -8.24724275])"
99,RIS,"array([ 30.06360467, -10.27937751])"
100,ALA,"array([ 30.28906848, -16.65559255])"
101,PVQL,"array([ 37.72388699, -10.88610207])"
102,PVQR,"array([35.54106011, -2.8441834 ])"
103,ADAL,"array([ 34.49854487, -13.26289915])"
104,ADAR,"array([33.03209213, 44.52642412])"
105,RIFL,"array([ 35.12147028, -10.90810065])"
106,RIFR,"array([33.49673242, -4.49402872])"
107,BDUL,"array([ 39.58064366, -15.94454758])"
108,BDUR,"array([30.11419218, -2.98350919])"
109,PVR,"array([29.38638889, -4.87823319])"
110,AVFL,"array([37.2952041 , -6.20763191])"
111,AVFR,"array([36.29886235, -4.80220022])"
112,AVHL,"array([36.283411 , -9.0089873])"
113,AVHR,"array([34.31862288, -4.1938604 ])"
114,PVPL,"array([38.42002288, -7.28267255])"
115,PVPR,"array([33.87539511, -5.87105934])"
116,LUAL,"array([35.66618508, -4.15735551])"
117,LUAR,"array([35.07294211, -5.12505094])"
118,PVNL,"array([38.83655701, -3.51448698])"
119,PVNR,"array([39.41358432, -4.12164786])"
120,AVG,"array([39.20426114, -4.79372045])"
121,DVB,"array([41.16569154, -5.98310996])"
122,RIBL,"array([ 31.42667999, -13.39775781])"
123,RIBR,"array([29.82143574, -8.84980707])"
124,RIGL,"array([ 33.41032857, -12.14546611])"
125,RIGR,"array([30.94717748, -8.7199687 ])"
126,RMGL,"array([ 31.43644479, -12.3159714 ])"
127,RMGR,"array([27.85739269, -7.66659273])"
128,AIBL,"array([ 33.31935048, -11.42382542])"
129,AIBR,"array([30.50549843, -7.79932742])"
130,RICL,"array([ 30.94654582, -10.56663096])"
131,RICR,"array([ 30.61132034, -11.87178874])"
132,SAADL,"array([ 30.99630757, -15.29161534])"
133,SAADR,"array([29.6065996 , -6.58089927])"
134,SAAVL,"array([ 33.64113705, -10.25462027])"
135,SAAVR,"array([ 31.21691513, -11.34382445])"
136,AVKL,"array([35.746577  , -9.44655904])"
137,AVKR,"array([34.29164266, -8.13524352])"
138,DVC,"array([37.29663467, -7.34779941])"
139,AVJL,"array([37.94578591, -8.77289076])"
140,AVJR,"array([36.93014877,  0.60481192])"
141,PVT,"array([33.26508708, -7.64928172])"
142,AVDL,"array([35.34914221, -7.13933414])"
143,AVDR,"array([37.09699424, -8.78228693])"
144,AVL,"array([30.59850394, -9.53616629])"
145,PVWL,"array([34.15176576, -0.76428149])"
146,PVWR,"array([44.1429214 , -5.73897867])"
147,RIAL,"array([ 30.29167265, -12.60772696])"
148,RIAR,"array([ 28.92458474, -10.50853451])"
149,RIML,"array([ 32.61074033, -10.24626743])"
150,RIMR,"array([32.15324321, -9.58668215])"
151,AVEL,"array([ 31.51928928, -10.06411309])"
152,AVER,"array([ 32.0215943, -10.8018542])"
153,RMFL,"array([ 32.24266594, -13.99769265])"
154,RMFR,"array([29.64243381, -7.39406458])"
155,RID,"array([ 37.35743682, -12.75448596])"
156,AVBL,"array([35.44768499, -7.9119558 ])"
157,AVBR,"array([35.80380485, -6.21593891])"
158,AVAL,"array([36.96394189, -7.83291519])"
159,AVAR,"array([36.011305  , -8.16143072])"
160,PVCL,"array([37.70573918, -8.02627384])"
161,PVCR,"array([36.28069432, -7.44116095])"
162,RIPL,"array([ 29.57654568, -18.75501063])"
163,RIPR,"array([25.43733517, -7.78228771])"
164,URADL,"array([ 32.16064277, -22.23846605])"
165,URADR,"array([21.03670745, -9.22606939])"
166,URAVL,"array([ 25.82485502, -17.29837299])"
167,URAVR,"array([22.68685401, -9.06335305])"
168,RMEL,"array([ 23.77489732, -13.228407  ])"
169,RMER,"array([ 23.75578099, -12.00798494])"
170,RMED,"array([ 26.2905445 , -12.59387095])"
171,RMEV,"array([ 26.33237931, -13.5264189 ])"
172,RMDDL,"array([ 25.4281119 , -12.70278669])"
173,RMDDR,"array([ 27.23286994, -10.31853307])"
174,RMDL,"array([ 27.46192501, -13.31610577])"
175,RMDR,"array([ 28.68447241, -12.00783675])"
176,RMDVL,"array([ 26.52457002, -11.72382549])"
177,RMDVR,"array([ 27.54425111, -12.27566285])"
178,RIVL,"array([ 28.08039613, -10.50698874])"
179,RIVR,"array([ 29.49663725, -12.87715068])"
180,RMHL,"array([29.28392033, -9.89154507])"
181,RMHR,"array([ 28.43640986, -14.29470083])"
182,SABD,"array([-11.1342493,  19.7116783])"
183,SABVL,"array([ 33.90353768, -44.75501492])"
184,SABVR,"array([37.29405384, 29.26787088])"
185,SMDDL,"array([ 29.51349279, -11.13647774])"
186,SMDDR,"array([ 30.36084432, -10.92915798])"
187,SMDVL,"array([28.34807054, -9.71978115])"
188,SMDVR,"array([ 28.47575885, -12.91106959])"
189,SMBDL,"array([ 27.32602273, -11.22211039])"
190,SMBDR,"array([ 29.7186284 , -11.94451277])"
191,SMBVL,"array([ 32.66084135, -12.15026351])"
192,SMBVR,"array([30.70774955, -7.03364172])"
193,SIBDL,"array([ 34.84766724, -15.3668004 ])"
194,SIBDR,"array([21.76082029, -4.58065636])"
195,SIBVL,"array([ 32.07138751, -16.55345649])"
196,SIBVR,"array([31.33052985, -8.05616458])"
197,SIADL,"array([ 21.37882626, -12.99809773])"
198,SIADR,"array([ 29.34709872, -14.03426998])"
199,SIAVL,"array([ 34.30700665, -12.13927048])"
200,SIAVR,"array([28.85986799, -8.70427712])"
201,DA01,"array([ 59.13665498, -52.42777977])"
202,DA02,"array([  4.09391443, -49.90031182])"
203,DA03,"array([ 62.20778523, -32.50134573])"
204,DA04,"array([41.8565297 ,  3.67923807])"
205,DA05,"array([ 38.20533965, -11.9868488 ])"
206,DA06,"array([ 39.59584081, -10.20035582])"
207,DA07,"array([ 39.48121507, -11.25543435])"
208,DA08,"array([36.77794328, -5.66679501])"
209,DA09,"array([39.03313475, -6.35391111])"
210,PDA,"array([41.48468392, -3.18479281])"
211,DB01,"array([ 38.01559958, -54.04579539])"
212,DB02,"array([17.10813616, 33.59142612])"
213,DB03,"array([ 38.90162163, -14.46832624])"
214,DB04,"array([ 40.00355004, -12.42460833])"
215,DB05,"array([ 42.98813963, -12.48844557])"
216,DB06,"array([38.40852931, -9.63444913])"
217,DB07,"array([38.11349724, -6.25751211])"
218,AS01,"array([ -7.01416761, -16.69593812])"
219,AS02,"array([ 8.45391337, 21.67921134])"
220,AS03,"array([ 58.15346448, -41.6892445 ])"
221,AS04,"array([ -0.76648031, -45.94426684])"
222,AS05,"array([59.9867129 , 20.34405662])"
223,AS06,"array([ 35.25760796, -59.06632732])"
224,AS07,"array([43.18365747, 28.46299167])"
225,AS08,"array([33.50328015, -3.1078891 ])"
226,AS09,"array([ 38.89760638, -12.70759151])"
227,AS10,"array([ 36.85129061, -10.85909534])"
228,AS11,"array([37.97044217, -4.77953759])"
229,PDB,"array([38.90534362, -2.05821443])"
230,DD01,"array([ -1.83921516, -16.80744594])"
231,DD02,"array([ 65.70456026, -27.94919837])"
232,DD03,"array([ 44.69350115, -10.37084495])"
233,DD04,"array([44.64719636, -8.16863919])"
234,DD05,"array([42.73099579, -8.02829109])"
235,DD06,"array([40.6426265 , -4.66010184])"
236,VA01,"array([25.7211518 , 28.01571633])"
237,VA02,"array([80.00320665, 11.06365087])"
238,VA03,"array([-16.435269  , -20.52617354])"
