# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
1,0
1,1
1,2
1,163
1,5
1,6
1,8
1,9
1,10
1,12
1,164
1,15
1,165
1,166
1,23
1,167
1,30
1,168
1,169
1,34
1,35
1,36
1,170
1,38
1,46
1,171
1,172
1,173
1,51
1,52
1,54
1,174
1,60
1,66
1,175
1,176
1,177
1,70
1,178
1,71
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,87
1,186
1,187
1,188
1,189
1,190
1,191
1,103
1,192
1,193
1,194
1,195
1,196
1,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,119
1,220
1,221
1,222
1,223
1,224
1,129
1,225
1,226
1,227
1,228
1,138
1,139
1,144
1,229
1,230
1,231
1,232
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
1,154
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
1,250
1,251
2,3
2,163
2,5
2,7
2,9
2,14
2,164
2,16
2,18
2,165
2,22
2,27
2,29
2,252
2,36
2,37
2,41
2,253
2,254
2,49
2,57
2,58
2,59
2,178
2,255
2,74
2,79
2,256
2,257
2,258
2,90
2,259
2,260
2,95
2,96
2,101
2,261
2,105
2,262
2,263
2,264
2,265
2,111
2,116
2,118
2,266
2,267
2,268
2,269
2,270
2,128
2,271
2,272
2,273
2,274
2,275
2,143
2,276
2,277
2,278
2,152
2,153
2,156
2,279
2,280
2,281
2,161
2,282
2,162
2,283
2,284
3,0
3,2
3,17
3,285
3,286
3,287
3,288
4,0
4,163
4,7
4,36
4,289
4,290
4,291
4,292
4,293
4,294
4,295
4,287
5,0
5,1
5,5
5,328
5,12
5,36
5,329
5,330
5,331
5,332
5,333
5,139
5,334
6,0
6,1
6,3
6,4
6,328
6,8
6,12
6,335
6,34
6,36
6,336
6,44
6,171
6,337
6,61
6,177
6,178
6,338
6,75
6,339
6,340
6,330
6,341
6,331
6,206
6,211
6,215
6,222
6,342
6,343
6,139
6,316
6,148
7,0
7,2
7,328
7,14
7,16
7,169
7,172
7,51
7,67
7,354
7,355
7,356
7,286
7,357
7,358
7,359
8,0
8,1
8,5
8,6
8,168
8,335
8,362
8,172
8,337
8,338
8,363
8,322
8,364
8,87
8,354
8,365
9,0
9,1
9,5
9,6
9,14
9,30
9,168
9,36
9,362
9,330
9,366
9,139
9,230
9,231
9,232
10,5
10,35
11,0
11,5
11,186
11,367
12,5
12,172
12,337
13,55
13,68
14,0
14,3
14,4
14,5
14,6
14,7
14,8
14,10
14,12
14,164
14,19
14,165
14,34
14,397
14,46
14,176
14,398
14,399
14,85
14,267
14,121
14,355
14,400
14,401
15,0
15,3
15,4
15,5
15,6
15,328
15,7
15,8
15,9
15,12
15,16
15,168
15,426
15,36
15,172
15,79
15,182
15,404
15,208
15,215
15,427
15,142
15,428
15,235
15,429
16,15
16,165
16,347
16,430
16,69
16,431
16,432
16,78
16,433
16,434
16,261
16,435
16,436
16,266
16,437
16,438
16,439
16,440
16,441
16,278
16,442
17,0
17,444
17,285
17,452
18,5
18,8
18,12
18,164
18,177
18,234
19,5
19,6
19,23
19,453
19,175
20,5
20,6
20,328
20,8
20,12
20,31
20,42
20,454
20,199
20,220
20,455
20,456
20,457
21,328
21,8
21,12
21,191
21,411
23,6
23,8
23,19
23,167
23,34
23,453
23,462
23,463
24,328
24,8
24,12
24,464
24,195
24,410
25,5
25,6
25,8
25,12
25,15
25,19
25,165
25,54
25,84
25,207
25,211
25,217
25,463
25,227
25,236
26,3
26,4
26,36
26,254
27,5
27,6
27,70
30,8
30,167
30,34
30,46
30,474
31,0
31,328
31,8
31,12
31,470
31,476
31,477
31,405
31,201
31,478
31,229
32,13
32,377
34,6
34,481
34,131
35,5
35,6
35,8
35,10
35,15
35,449
35,167
35,450
35,30
35,34
36,0
36,2
36,163
36,319
36,5
36,6
36,9
36,320
36,51
36,485
36,289
36,285
36,290
36,291
36,292
36,486
36,487
36,286
36,276
36,287
36,154
36,488
36,288
36,489
36,490
37,3
37,4
37,18
37,36
37,121
38,12
38,15
38,475
38,329
40,8
40,12
40,78
40,434
40,212
41,15
41,69
42,5
42,6
42,70
43,5
43,10
44,0
44,505
45,7
45,169
45,345
45,346
45,506
46,5
46,30
47,0
47,443
48,328
48,9
48,409
48,522
49,8
49,12
49,13
49,370
49,209
50,3
50,259
51,7
51,345
51,346
52,172
52,338
52,527
52,528
53,529
53,530
54,9
54,25
55,335
55,533
56,320
56,321
57,16
57,427
60,6
60,483
60,84
65,8
65,12
65,210
66,527
66,528
67,3
67,5
67,36
67,178
67,266
69,7
69,37
70,42
70,127
70,132
71,5
71,6
71,71
77,567
79,15
79,431
80,4
80,468
80,36
80,469
80,296
81,5
81,526
81,182
81,194
82,336
82,76
82,82
82,341
82,92
89,13
89,376
92,76
92,92
94,64
94,94
100,6
100,100
102,0
102,670
104,5
104,169
112,78
112,442
114,10
114,466
115,135
127,5
127,6
127,15
127,129
129,5
129,6
129,216
130,42
130,172
130,365
130,132
131,6
131,666
134,0
134,148
135,862
139,9
139,485
139,486
139,487
139,488
143,890
144,893
144,894
151,7
151,930
157,8
157,237
161,0
161,5
161,6
161,8
161,12
161,247
163,4
163,7
163,9
163,14
163,164
163,16
163,18
163,22
163,168
163,36
163,253
163,254
163,57
163,178
163,79
163,296
163,297
163,257
163,298
163,258
163,299
163,300
163,301
163,302
163,303
163,304
163,211
163,215
163,267
163,305
163,268
163,222
163,306
163,270
163,307
163,308
163,309
163,310
163,311
163,312
163,313
163,314
163,315
163,316
163,317
163,149
163,318
164,328
164,7
164,14
164,51
164,177
164,402
164,403
