# index, _pos
0,"array([ 1.70437645, -0.6342413 ])"
1,"array([ 1.92082165, -0.58479481])"
2,"array([ 1.62580837, -0.50019361])"
3,"array([ 1.57862246, -0.50495081])"
4,"array([ 1.63455021, -0.44089215])"
5,"array([ 1.87576895, -0.62190865])"
6,"array([ 1.84326748, -0.64648226])"
7,"array([ 1.67955293, -0.39002553])"
8,"array([ 1.96812355, -0.58793752])"
9,"array([ 1.77199023, -0.61291837])"
10,"array([ 1.72474599, -0.70193452])"
11,"array([ 1.78816436, -0.7539151 ])"
12,"array([ 1.98210502, -0.54231777])"
13,"array([ 1.65588339, -0.922008  ])"
14,"array([ 1.78521972, -0.47289444])"
15,"array([ 1.82536547, -0.49779542])"
16,"array([ 1.76030513, -0.36546196])"
17,"array([ 1.48947093, -0.52128248])"
18,"array([ 1.81810559, -0.4774667 ])"
19,"array([ 1.870413 , -0.7238813])"
20,"array([ 1.95898725, -0.4857244 ])"
21,"array([ 1.93867407, -0.47211246])"
22,"array([ 1.67859509, -0.46768066])"
23,"array([ 1.89739015, -0.70358578])"
24,"array([ 1.92910449, -0.43295078])"
25,"array([ 1.88845433, -0.58654   ])"
26,"array([ 1.51176316, -0.5327298 ])"
27,"array([ 1.70008536, -0.67334824])"
28,"array([ 1.50610036, -0.81450291])"
29,"array([ 1.62586614, -0.63693665])"
30,"array([ 1.88895076, -0.64224267])"
31,"array([ 1.89936092, -0.49352623])"
32,"array([ 1.60050501, -0.88007146])"
33,"array([ 1.66944103, -0.80825026])"
34,"array([ 1.82439081, -0.63958559])"
35,"array([ 1.80405681, -0.64841643])"
36,"array([ 1.62310701, -0.54429086])"
37,"array([ 1.63958627, -0.61629043])"
38,"array([ 1.85648521, -0.69014143])"
39,"array([ 1.76701133, -0.425232  ])"
40,"array([ 1.90153307, -0.46915406])"
41,"array([ 1.65277755, -0.53412644])"
42,"array([ 1.83800065, -0.58431597])"
43,"array([ 1.74438019, -0.69020418])"
