# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
0,1,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
1,11,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
1,407,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2,3,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018,None,FBrf0235788 is part of FlyBi data
2,4,ad->db,"Screen_2,","Cen X Cen,",BioGrid;DIP;DroID;IntAct;mentha,14605208,MI:0018,None,None
2,5,ad->db,"Screen_2,Screen_4,","Cen X 2u,Cen X Cen,",None,None,None,None,None
3,224,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
3,3,fbgn1=fbgn2,"Screen_2,","Cen X Cen,",None,None,None,None,None
4,30,ad->db,"Prediction,","Cen X Cen,",None,None,None,None,None
4,677,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,10,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
4,664,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,46,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018,None,FBrf0235788 is part of FlyBi data
4,70,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
4,540,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:1112;MI:0397;MI:0018,None,FBrf0235788 is part of FlyBi data
4,53,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788;17962185,MI:1112;MI:0397;MI:0018,MI:0007;MI:0096,FBrf0235788 is part of FlyBi data
4,675,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,1266,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
4,934,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,532,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,1917,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
4,358,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,2749,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,2744,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
4,2056,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
4,1327,ad->db,"Screen_1,Screen_2,Screen_3,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:1112;MI:0397;MI:0018,None,FBrf0235788 is part of FlyBi data
4,661,ad->db,"Screen_1,Screen_2,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
4,394,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
4,541,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
4,2753,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
6,7,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
8,9,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
8,10,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
8,11,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
8,12,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
8,13,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
10,443,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
10,302,ad->db,"Screen_1,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
10,128,ad->db,"Screen_2,","Cen X Cen,",None,None,None,None,None
10,1456,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
11,2582,ad->db,"Screen_3,","Cen X 2u,",DroID;FlyBase;BioGrid,15596544;23555310;12736206;23663728;22467865,MI:0018,MI:0943;MI:0096;MI:0705;MI:0082;MI:0007;MI:0006;MI:0113;MI:0004,None
11,264,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
11,447,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
11,866,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
11,365,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
11,1733,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
11,206,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
11,1593,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
11,424,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
12,1402,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,300,both,"Screen_1,Screen_2,Screen_3,","Cen X 2u,Cen X Cen,",DroID;mentha;FlyBase;IntAct,FBrf0235788;22036573,MI:0397;MI:1112;MI:0018,MI:0007,FBrf0235788 is part of FlyBi data
13,120,both,"Screen_1,Screen_2,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018,None,FBrf0235788 is part of FlyBi data
13,264,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,878,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,404,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,10,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,866,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,214,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
13,206,both,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
13,11,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
13,94,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
13,198,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
13,701,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
13,328,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
13,263,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
13,424,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
13,365,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
13,327,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
14,15,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0227292;FBrf0235788;25242320,MI:1112;MI:0397;MI:0018,MI:0943;MI:0082;MI:0007;MI:0004;MI:0046,FBrf0235788 is part of FlyBi data
16,17,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
17,1081,both,"Screen_1,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788;30463902,MI:0018;MI:1112;MI:0397,MI:0007,FBrf0235788 is part of FlyBi data
17,2326,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
17,409,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
18,19,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
18,20,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
19,2595,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
19,2596,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
19,521,ad->db,"Screen_1,Screen_3,","Cen X 2u,Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
19,102,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
21,22,ad->db,"Prediction,","Cen X Cen,",None,None,None,None,None
21,21,fbgn1=fbgn2,"Screen_2,","Cen X Cen,",None,None,None,None,None
23,21,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
23,24,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
23,25,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
23,26,ad->db,"Screen_1,","Cen X Cen,",DroID;mentha;FlyBase;BioGrid;IntAct,FBrf0218395;22036573;FBrf0235788,MI:1112;MI:0397;MI:0018,MI:0943;MI:0004;MI:0046,FBrf0235788 is part of FlyBi data
23,27,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
23,22,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
24,21,both,"Prediction,","Cen X Cen,",FlyBase,30343899,MI:0031,None,None
24,28,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
25,24,ad->db,"Prediction,","Cen X Cen,",None,None,None,None,None
25,27,ad->db,"Prediction,","Cen X Cen,",None,None,None,None,None
25,28,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
25,21,both,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
