# index, code, name, _pos
0,FBgn0020238,14-3-3epsilon,"array([4.08813833, 3.30728606])"
1,FBgn0033925,CG8617,"array([5.54859926, 6.59850372])"
2,FBgn0004907,14-3-3zeta,"array([ 2.47571544, 11.19270574])"
3,FBgn0016036,mei-P22,"array([ 5.3935319 , 11.85438882])"
4,FBgn0259794,sinah,"array([ 5.49319998, 12.17694353])"
5,FBgn0265298,SC35,"array([-0.24407471,  9.47478539])"
6,FBgn0010340,140up,"array([ 4.63331166, 25.21260581])"
7,FBgn0085296,CG34267,"array([ 6.82674   , 22.59163266])"
8,FBgn0000022,ac,"array([6.13246391, 9.59555528])"
9,FBgn0036441,CG13476,"array([4.20966906, 9.98070197])"
10,FBgn0033739,Dyb,"array([6.69197043, 9.27177555])"
11,FBgn0020249,stck,"array([6.69354149, 9.67730367])"
12,FBgn0037345,PolZ2,"array([ 7.17867237, 10.22775643])"
13,FBgn0050324,CG30324,"array([7.4445001 , 9.71909226])"
14,FBgn0033749,achi,"array([0.15002014, 6.36665649])"
15,FBgn0031161,CG15445,"array([2.60000321, 8.03908049])"
16,FBgn0023415,Acp32CD,"array([0.99806358, 7.38243718])"
17,FBgn0034224,insb,"array([3.41993142, 9.07417221])"
18,FBgn0015584,Acp53Ea,"array([ 3.80504728, 22.69847216])"
19,FBgn0032407,Pex19,"array([ 4.8980657 , 20.80484782])"
20,FBgn0023530,CG3740,"array([ 6.56869326, 22.05067156])"
21,FBgn0000043,Act42A,"array([3.36138153, 5.54907769])"
22,FBgn0051559,CG31559,"array([2.94848399, 5.90443185])"
23,FBgn0000044,Act57B,"array([3.40623322, 6.2009296 ])"
24,FBgn0000045,Act79B,"array([2.98583528, 5.62246679])"
25,FBgn0000047,Act88F,"array([4.71655168, 8.48820934])"
26,FBgn0261458,capt,"array([3.38200036, 5.89433996])"
27,FBgn0029662,CG12206,"array([5.09398722, 7.34875646])"
28,FBgn0260049,flr,"array([2.49182532, 5.9464626 ])"
29,FBgn0000046,Act87E,"array([3.68011192, 5.86322636])"
30,FBgn0035251,Vta1,"array([ 8.1321545 , 10.61541181])"
31,FBgn0027619,eIF3j,"array([-0.31916528, 14.62029165])"
32,FBgn0020513,Paics,"array([10.26109157, 11.12883902])"
33,FBgn0028515,EndoGI,"array([10.76918938,  7.58090724])"
34,FBgn0284249,Adf1,"array([15.062303  , 11.22183417])"
35,FBgn0038491,CG5292,"array([13.04105824, 10.28024078])"
36,FBgn0004552,Akh,"array([4.07202308, 6.43671254])"
37,FBgn0031270,CG13689,"array([2.54896991, 5.53678682])"
38,FBgn0037573,CG7483,"array([ 3.96944828, 10.27489588])"
39,FBgn0038385,Fbxl7,"array([6.93043326, 5.49124958])"
40,FBgn0010548,Aldh-III,"array([10.20072075, 20.76888907])"
41,FBgn0261238,Alh,"array([ 6.56369895, 27.87584081])"
42,FBgn0038947,Sar1,"array([ 7.41822449, 25.14607386])"
43,FBgn0029105,alpha-Catr,"array([ 27.93455598, -18.63589952])"
44,FBgn0033985,CG10257,"array([ 28.41923292, -18.0974631 ])"
45,FBgn0000075,amd,"array([11.49741565, 12.58409918])"
46,FBgn0039343,CG5111,"array([ 8.68052751, 11.23822554])"
47,FBgn0025686,Amnionless,"array([ 7.1413085, 23.0916012])"
48,FBgn0029854,CG3566,"array([ 8.08378102, 22.30542676])"
49,FBgn0085360,CG34331,"array([ 7.51710655, 21.26465104])"
50,FBgn0040571,CG17193,"array([ 9.62584305, 21.59355955])"
51,FBgn0260855,Sec22,"array([ 8.68854884, 21.88302218])"
52,FBgn0261788,Ank2,"array([ 6.81426883, 10.21976812])"
53,FBgn0003870,ttk,"array([6.39115493, 9.8289566 ])"
54,FBgn0030963,CG7101,"array([6.45116215, 9.52591543])"
55,FBgn0039013,CG4813,"array([6.22561021, 8.79412006])"
56,FBgn0038359,CG5614,"array([ 3.61665845, 10.51441773])"
57,FBgn0000083,AnxB9,"array([11.620661  , 15.16467494])"
58,FBgn0001150,gt,"array([10.27501677, 12.90296714])"
59,FBgn0024833,AP-1mu,"array([ 5.78245327, 10.09727803])"
