# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
1,0
1,2
1,4
1,5
1,8
1,11
1,14
1,16
1,280
1,17
1,18
1,26
1,281
1,282
1,38
1,39
1,283
1,55
1,284
1,62
1,63
1,285
1,68
1,200
1,286
1,287
1,288
1,205
1,289
1,290
1,291
1,292
1,293
1,91
1,294
1,295
1,94
1,296
1,297
1,109
1,298
1,299
1,300
1,301
1,115
1,302
1,117
1,125
1,303
1,304
1,305
1,306
1,307
1,308
1,144
1,309
1,310
1,311
1,312
1,313
1,314
1,315
1,316
1,151
1,317
1,318
1,319
1,168
1,169
1,172
1,320
1,173
1,321
1,175
1,177
1,179
2,0
2,1
2,322
2,323
2,324
3,0
3,2
3,4
3,6
3,8
3,10
3,38
3,325
3,326
3,327
3,328
3,329
3,330
3,145
3,331
4,3
4,8
4,11
4,16
4,280
4,17
4,18
4,26
4,38
4,43
4,283
4,332
4,284
4,63
4,333
4,200
4,334
4,205
4,289
4,335
4,291
4,293
4,336
4,337
4,338
4,105
4,301
4,339
4,340
4,240
4,244
4,302
4,116
4,125
4,252
4,341
4,305
4,306
4,342
4,343
4,144
4,344
4,345
4,346
4,347
4,348
4,349
4,350
4,351
4,151
4,352
4,353
4,354
5,180
5,5
5,362
5,363
6,0
6,180
6,2
6,3
6,5
6,7
6,8
6,12
6,364
6,22
6,184
6,365
6,36
6,38
6,49
6,50
6,199
6,200
6,366
6,367
6,235
6,240
6,244
6,252
6,368
6,351
6,150
7,0
7,2
7,3
7,5
7,6
7,8
7,10
7,14
7,280
7,23
7,182
7,369
7,38
7,190
7,370
7,371
7,194
7,372
7,373
7,292
7,209
7,374
7,375
7,376
7,377
7,378
8,5
8,6
8,16
8,187
8,192
8,224
8,379
8,380
8,381
8,382
8,383
8,384
9,9
9,60
9,385
10,0
10,180
10,5
10,6
10,186
10,365
10,47
10,386
10,192
10,59
10,387
10,73
10,388
10,357
10,389
10,87
10,379
10,390
11,0
11,5
11,6
11,16
11,32
11,186
11,386
11,391
11,269
11,270
11,271
12,0
12,5
12,37
12,392
14,5
14,192
14,59
15,59
15,120
16,0
16,2
16,3
16,5
16,6
16,8
16,12
16,14
16,280
16,22
16,25
16,36
16,422
16,49
16,371
16,197
16,423
16,202
16,424
16,425
16,302
16,121
16,380
16,426
16,427
16,353
17,0
17,2
17,3
17,5
17,6
17,7
17,8
17,10
17,11
17,14
17,18
17,186
17,437
17,38
17,192
17,438
17,439
17,205
17,428
17,211
17,237
17,244
17,249
17,440
17,272
17,273
17,274
17,277
18,8
18,17
18,23
18,371
18,64
18,441
18,79
18,442
18,443
18,444
18,445
18,297
18,446
18,447
18,448
18,449
18,127
18,450
18,451
18,452
18,453
18,454
19,0
19,355
19,455
19,456
20,0
20,457
20,322
21,5
21,199
22,5
22,183
22,196
23,0
23,8
23,28
23,36
23,461
24,2
24,5
24,6
24,7
24,8
24,10
24,11
24,14
24,29
24,33
24,38
24,45
24,284
24,462
24,463
24,229
24,250
24,464
24,465
24,147
25,5
25,6
25,7
25,8
25,10
25,14
25,467
25,216
25,468
25,220
25,116
26,5
26,6
26,20
26,190
26,44
26,393
26,469
26,394
27,7
27,10
27,14
27,225
27,431
28,5
28,6
28,8
28,10
28,11
28,14
28,17
28,19
28,22
28,23
28,477
28,393
28,85
28,236
28,240
28,246
28,474
28,261
28,360
28,275
29,0
29,17
29,456
29,108
29,478
29,479
29,480
30,5
30,6
30,70
30,133
32,6
32,10
32,11
32,184
32,482
32,36
32,37
32,49
32,486
32,487
32,253
32,488
33,0
33,7
33,10
33,11
33,14
33,16
33,482
33,491
33,492
33,429
33,493
33,231
33,494
33,268
34,10
34,15
34,407
34,408
34,409
34,495
34,412
36,6
36,16
36,498
36,499
36,306
36,131
37,5
37,6
37,10
37,12
37,17
37,458
37,470
37,184
37,32
37,36
37,500
38,0
38,1
38,4
38,355
38,6
38,10
38,19
38,21
38,43
38,44
38,325
38,334
38,322
38,326
38,327
38,328
38,329
38,315
38,503
38,421
38,324
38,331
38,504
39,0
39,507
39,121
40,17
40,508
40,509
40,489
44,5
44,6
44,10
44,14
44,26
44,482
44,49
44,79
44,211
44,443
44,518
44,241
44,253
45,2
45,3
45,5
45,6
45,8
45,11
45,38
45,284
45,70
45,205
45,291
45,519
45,277
46,5
46,12
46,47
46,192
47,0
47,522
48,187
48,523
49,5
49,32
50,0
50,14
50,192
50,333
50,522
50,525
50,526
52,0
52,356
53,0
53,455
54,539
54,540
55,10
55,14
55,15
55,402
55,238
57,542
57,460
58,5
58,22
58,192
58,387
60,2
60,3
60,10
60,14
60,20
60,38
60,233
60,125
61,365
61,553
62,2
62,281
62,38
65,6
65,501
65,85
68,16
68,52
69,10
69,11
69,14
69,48
69,239
70,5
70,6
70,45
70,581
70,126
70,133
70,272
72,5
72,6
72,72
74,5
74,185
75,2
75,16
75,38
77,599
79,0
79,8
79,604
80,3
80,21
80,369
80,38
80,43
80,44
80,334
82,0
82,3
82,8
82,38
82,333
82,613
83,46
83,615
83,616
83,617
84,5
84,544
84,205
84,223
86,10
86,84
90,0
90,392
91,10
91,14
91,17
91,192
91,58
91,389
92,670
97,6
97,97
99,0
99,358
100,0
100,701
101,7
101,8
101,468
102,0
102,713
103,10
103,487
104,10
104,22
107,11
107,105
108,24
108,44
111,135
118,8
118,121
120,51
120,61
125,2
125,3
125,17
125,38
126,5
126,6
126,17
126,129
129,5
129,6
129,245
130,5
130,6
130,45
130,192
130,390
130,133
131,6
131,696
134,12
134,876
135,885
137,508
137,509
146,916
146,917
151,0
151,2
151,17
151,316
151,453
