# index, _pos
0,"array([ 9.74681651, -8.40644091])"
1,"array([ 9.57880188, -8.87817202])"
2,"array([ 9.56407427, -8.96029566])"
3,"array([ 9.89479795, -8.97204877])"
4,"array([ 9.84838254, -9.01461788])"
5,"array([10.53108783, -8.60432003])"
6,"array([10.31939927, -8.58408243])"
7,"array([10.39619867, -9.0448672 ])"
8,"array([ 9.58944445, -8.76481332])"
9,"array([ 9.26060504, -8.43704603])"
10,"array([10.43647792, -8.10196365])"
11,"array([ 9.9827969 , -8.24574896])"
12,"array([10.44161499, -8.63312811])"
13,"array([ 9.23334931, -8.05947631])"
14,"array([10.45433962, -8.16549505])"
15,"array([ 9.49138942, -7.38731323])"
16,"array([10.01681909, -8.96038141])"
17,"array([10.17584569, -8.68269926])"
18,"array([ 9.93515187, -9.19163425])"
19,"array([ 9.25173346, -8.13814766])"
20,"array([ 9.66678542, -8.616642  ])"
21,"array([10.34007003, -9.03995219])"
22,"array([10.30457738, -8.43771372])"
23,"array([ 9.88794974, -8.68155359])"
24,"array([10.20117001, -8.55656593])"
25,"array([10.23363723, -8.40731862])"
26,"array([10.13972339, -8.87190533])"
27,"array([10.56002675, -8.67161013])"
28,"array([10.03897116, -8.23733187])"
29,"array([ 9.53995735, -8.36454665])"
30,"array([10.23343517, -8.02255719])"
31,"array([ 9.60019099, -7.73272776])"
32,"array([10.4610774 , -8.57700882])"
33,"array([10.39894825, -8.57598156])"
34,"array([ 9.90658702, -7.51041833])"
35,"array([ 9.92044847, -7.79290832])"
36,"array([10.42171613, -8.80842608])"
37,"array([10.61430027, -8.44534392])"
38,"array([ 9.66685208, -8.75937252])"
39,"array([ 9.28921955, -8.27301116])"
40,"array([10.24848362, -9.15745392])"
41,"array([ 9.67675306, -7.69925335])"
42,"array([ 9.26937832, -8.36501824])"
43,"array([10.00448937, -9.03918111])"
44,"array([10.27251583, -8.77197539])"
45,"array([ 9.99417282, -8.53084607])"
46,"array([10.53495441, -8.45670786])"
47,"array([10.23558835, -8.10156558])"
48,"array([10.0807718 , -8.88642633])"
49,"array([10.40538479, -8.67880028])"
50,"array([10.5371063 , -8.73416211])"
51,"array([ 9.38832549, -7.84654414])"
52,"array([ 9.39590739, -8.4018357 ])"
53,"array([ 9.22643934, -7.97787827])"
54,"array([ 9.82375023, -7.40373108])"
55,"array([ 9.83432844, -8.05473931])"
56,"array([10.25610606, -7.93739297])"
57,"array([10.39034941, -9.47960753])"
58,"array([10.38440345, -8.15874001])"
59,"array([ 9.99480318, -7.70485916])"
60,"array([ 9.91293536, -8.45518907])"
61,"array([ 9.92983599, -7.95813145])"
62,"array([ 9.47425243, -8.78658713])"
63,"array([ 9.53029959, -8.7356911 ])"
64,"array([ 9.85484031, -8.55117411])"
65,"array([10.15819588, -8.29279343])"
66,"array([ 9.75556183, -7.73167779])"
67,"array([ 9.30651853, -7.99657023])"
68,"array([ 9.41971263, -8.7513712 ])"
69,"array([10.33561544, -8.36775472])"
70,"array([10.19626006, -8.25422185])"
71,"array([ 9.15905608, -8.05060547])"
72,"array([10.25707828, -8.47184487])"
73,"array([10.17187823, -7.89983929])"
74,"array([10.49091589, -8.50535241])"
75,"array([ 9.48333399, -8.85023001])"
76,"array([ 9.32033588, -8.08128034])"
77,"array([10.08769691, -8.36197538])"
78,"array([ 9.32731493, -8.18667411])"
79,"array([ 9.50796564, -9.08203392])"
80,"array([10.22512447, -8.8703763 ])"
81,"array([10.13662605, -8.80153804])"
82,"array([10.06689411, -8.8152977 ])"
83,"array([10.77989617, -8.40400798])"
84,"array([10.18251999, -8.42152939])"
85,"array([ 9.68239511, -8.01010705])"
86,"array([10.30889659, -8.19567781])"
87,"array([10.17946045, -7.98187676])"
88,"array([ 9.9178476 , -7.69324457])"
89,"array([ 9.45560704, -8.08958606])"
90,"array([10.20194618, -8.63227617])"
91,"array([10.09113171, -8.28512133])"
92,"array([ 9.92406638, -8.76703885])"
93,"array([ 9.39677102, -8.14737007])"
94,"array([ 9.20883515, -8.82409019])"
95,"array([10.20464827, -7.84313386])"
96,"array([ 9.77783843, -7.88813395])"
97,"array([ 9.86948533, -8.2098284 ])"
98,"array([ 9.75082721, -8.62345245])"
99,"array([ 9.35206399, -8.32013534])"
100,"array([ 9.45406396, -8.1862763 ])"
101,"array([ 9.96084643, -8.32195725])"
102,"array([ 9.08219609, -8.07367164])"
103,"array([10.35681455, -8.63656146])"
104,"array([10.3215679 , -8.12357085])"
105,"array([ 9.92192254, -8.60578829])"
106,"array([ 9.00163032, -8.21868901])"
107,"array([ 9.93927892, -8.19030927])"
108,"array([ 9.64465291, -8.41933189])"
109,"array([ 9.27208508, -8.62923981])"
110,"array([ 9.81902595, -7.65746776])"
111,"array([ 9.79307306, -7.80368971])"
112,"array([ 9.17341755, -8.20392443])"
113,"array([ 8.95130797, -7.91005616])"
114,"array([ 9.73918571, -7.55626096])"
115,"array([ 9.23106263, -8.57941143])"
116,"array([ 9.97923112, -8.8016209 ])"
117,"array([ 9.76031598, -8.81380422])"
118,"array([ 9.45176152, -8.34739015])"
119,"array([ 9.61897059, -7.54532151])"
120,"array([ 9.59534121, -7.80918892])"
121,"array([ 9.52597323, -8.52544839])"
122,"array([ 9.69034681, -7.78405415])"
123,"array([ 9.82594277, -8.92610377])"
124,"array([ 9.92186157, -9.04290805])"
125,"array([ 9.78721977, -8.75055071])"
126,"array([10.09778452, -8.42793414])"
127,"array([ 9.99575743, -9.10187136])"
128,"array([ 9.19796553, -7.78809725])"
129,"array([10.27527682, -8.35448135])"
130,"array([10.07971315, -8.09603863])"
131,"array([10.00293282, -8.73899621])"
132,"array([ 9.11545035, -7.96023864])"
133,"array([10.08208727, -8.16692271])"
134,"array([10.34266091, -8.79665238])"
135,"array([ 9.39203201, -7.65892818])"
136,"array([ 9.65960032, -7.90793535])"
137,"array([10.33949325, -8.93629293])"
138,"array([ 9.17142424, -8.34826461])"
139,"array([ 9.00714041, -8.43876154])"
140,"array([ 9.07581339, -8.39022027])"
141,"array([ 9.03639666, -7.908604  ])"
142,"array([ 9.51538743, -7.73385099])"
143,"array([ 8.81457793, -8.50110118])"
144,"array([ 9.50100044, -8.92192091])"
145,"array([ 9.83210264, -9.08275143])"
146,"array([10.48286874, -7.68020845])"
147,"array([ 9.95976477, -7.88124123])"
148,"array([ 9.64804685, -9.34737096])"
149,"array([ 9.71206694, -7.84628005])"
150,"array([ 9.8901359 , -8.11408554])"
151,"array([ 9.69565156, -8.89518903])"
152,"array([ 9.0042977 , -8.60339169])"
