# index, _pos
0,"array([  2.24422315, -25.00723797])"
1,"array([  2.55123672, -24.79723794])"
2,"array([  2.53753277, -24.63797084])"
3,"array([  2.48096074, -24.53630647])"
4,"array([  2.16382863, -24.36060707])"
5,"array([  2.38841124, -25.62744416])"
6,"array([  2.45647677, -25.6148827 ])"
7,"array([  2.63531432, -25.42327468])"
8,"array([  2.21851946, -25.10985656])"
9,"array([  1.88426855, -25.72958403])"
10,"array([  2.13905075, -25.71363441])"
11,"array([  1.72866192, -25.07796579])"
12,"array([  3.11389672, -25.33205898])"
13,"array([  2.77482748, -25.76821626])"
14,"array([  2.16723757, -25.18741043])"
15,"array([  2.21961398, -25.72691103])"
16,"array([  1.50716487, -25.14779731])"
17,"array([  2.23207783, -25.23825038])"
18,"array([  1.95099623, -25.29829911])"
19,"array([  1.93265071, -25.07208939])"
20,"array([  1.67542822, -24.75407287])"
21,"array([  2.3508918 , -24.39734315])"
22,"array([  2.72715007, -25.48571719])"
23,"array([  1.87540822, -25.26741871])"
24,"array([  2.40610361, -25.8811945 ])"
25,"array([  2.05796301, -25.26373091])"
26,"array([  2.05334693, -24.98345734])"
27,"array([  2.224653  , -25.14600652])"
28,"array([  2.03951512, -25.64147638])"
29,"array([  1.76875625, -24.86538387])"
30,"array([  1.98727223, -25.65651465])"
31,"array([  1.72372116, -24.4053962 ])"
32,"array([  1.71618932, -25.62072588])"
33,"array([  3.0763142 , -25.60175469])"
34,"array([  2.44599114, -25.10888154])"
35,"array([  1.77758728, -24.98400553])"
36,"array([  1.82444418, -24.98489746])"
37,"array([  2.69549562, -25.25750055])"
38,"array([  1.9993293 , -25.01301238])"
39,"array([  1.82605271, -25.35360571])"
40,"array([  1.9071002 , -24.75945086])"
41,"array([  2.33113123, -25.64009367])"
42,"array([  1.74928845, -25.54084383])"
43,"array([  1.83982703, -25.15809132])"
44,"array([  2.4418967 , -24.58028109])"
45,"array([  2.0581089 , -24.83443934])"
46,"array([  2.67405929, -25.69195663])"
47,"array([  1.5099109 , -24.94392554])"
48,"array([  2.68320109, -25.46580732])"
49,"array([  1.95511428, -25.24375378])"
50,"array([  2.15929823, -25.12408479])"
51,"array([  2.08025769, -25.22015844])"
52,"array([  2.83904702, -25.38735487])"
53,"array([  3.04814567, -25.42930415])"
54,"array([  1.70704132, -25.13052292])"
55,"array([  1.95313619, -25.01787281])"
56,"array([  2.61162098, -25.62310619])"
57,"array([  2.01577796, -25.15961145])"
58,"array([  2.57304183, -25.14997149])"
59,"array([  2.63918694, -25.86500355])"
60,"array([  1.64132756, -25.60982748])"
61,"array([  2.91351191, -25.03173651])"
62,"array([  2.3290167 , -25.19790089])"
63,"array([  1.81255357, -24.9127299 ])"
64,"array([  1.38384005, -24.9222886 ])"
65,"array([  2.6467009 , -25.51878427])"
66,"array([  2.18255975, -25.49188048])"
67,"array([  1.74233699, -25.70564096])"
68,"array([  2.23190228, -25.19252932])"
69,"array([  1.537586  , -24.82734812])"
70,"array([  1.91363781, -25.504976  ])"
71,"array([  2.40510372, -25.18742903])"
72,"array([  1.79477087, -25.2586895 ])"
73,"array([  2.55270747, -25.61474454])"
74,"array([  1.90041976, -24.64634386])"
75,"array([  1.97312221, -24.87513372])"
76,"array([  1.87473039, -25.10759429])"
77,"array([  3.25305808, -24.97772609])"
78,"array([  2.09309856, -25.37789806])"
79,"array([  2.38644107, -24.83426897])"
80,"array([  1.35241022, -24.83847813])"
81,"array([  2.75136025, -24.6424726 ])"
82,"array([  2.41539485, -25.46685582])"
83,"array([  2.34026349, -24.55864683])"
84,"array([  2.16391053, -25.677637  ])"
85,"array([  2.65344983, -24.88838965])"
86,"array([  2.61047128, -25.11877835])"
87,"array([  2.54405118, -25.19371573])"
88,"array([  1.88004636, -25.45451758])"
89,"array([  1.9850729 , -24.95045998])"
90,"array([  2.12979267, -25.41428266])"
91,"array([  2.48839096, -25.69183304])"
92,"array([  1.4092924 , -24.87254467])"
93,"array([  1.75603845, -24.75554423])"
94,"array([  2.08837376, -24.20789116])"
95,"array([  2.76811657, -25.04562329])"
