# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
1,1
1,2
1,5
1,6
1,7
1,193
1,8
1,9
1,11
1,194
1,195
1,13
1,196
1,16
1,21
1,197
1,198
1,24
1,199
1,200
1,201
1,29
1,202
1,203
1,34
1,204
1,205
1,38
1,206
1,41
1,42
1,47
1,207
1,49
1,51
1,208
1,209
1,210
1,55
1,211
1,62
1,67
1,212
1,213
1,214
1,215
1,69
1,216
1,71
1,217
1,218
1,219
1,220
1,221
1,222
1,84
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
1,232
1,100
1,233
1,234
1,235
1,104
1,236
1,237
1,238
1,239
1,240
1,241
1,242
1,243
1,111
1,244
1,245
1,246
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,266
1,267
1,268
1,269
1,270
1,271
1,272
1,273
1,274
1,275
1,276
1,277
1,278
1,279
1,280
1,281
1,282
1,141
1,283
1,284
1,144
1,285
1,286
1,287
1,288
1,289
1,290
1,291
1,150
1,292
1,158
1,293
1,294
1,295
1,296
1,297
1,298
1,299
1,300
1,301
1,302
1,303
1,304
2,0
2,3
2,5
2,6
2,8
2,10
2,13
2,15
2,196
2,16
2,17
2,20
2,28
2,201
2,305
2,36
2,37
2,38
2,40
2,44
2,45
2,48
2,207
2,53
2,306
2,307
2,59
2,60
2,216
2,308
2,72
2,309
2,310
2,79
2,311
2,223
2,312
2,313
2,314
2,315
2,316
2,95
2,98
2,317
2,318
2,101
2,319
2,102
2,103
2,106
2,320
2,321
2,113
2,322
2,323
2,324
2,325
2,122
2,326
2,126
2,127
2,327
2,328
2,329
2,330
2,331
2,332
2,333
2,140
2,334
2,335
2,336
2,337
2,338
2,339
2,340
2,150
2,341
2,342
2,343
2,344
2,345
2,156
2,346
2,347
2,348
2,349
2,350
2,351
2,352
2,353
2,164
2,354
2,355
2,170
2,172
2,175
2,356
2,357
2,358
2,359
2,183
2,187
2,360
2,361
3,0
3,2
3,18
3,36
3,362
3,363
3,364
3,365
4,5
4,36
4,362
4,366
4,367
4,368
4,369
4,370
4,157
4,364
5,4
5,8
5,10
5,15
5,196
5,16
5,17
5,20
5,201
5,202
5,36
5,40
5,43
5,207
5,55
5,59
5,212
5,216
5,79
5,371
5,372
5,223
5,312
5,373
5,314
5,316
5,374
5,101
5,319
5,107
5,375
5,114
5,376
5,377
5,378
5,263
5,328
5,130
5,379
5,330
5,277
5,380
5,333
5,334
5,381
5,382
5,383
5,384
5,385
5,386
5,387
5,388
5,164
5,389
5,167
5,390
6,1
6,6
6,397
6,398
6,399
7,0
7,1
7,3
7,4
7,6
7,193
7,8
7,11
7,392
7,21
7,199
7,400
7,36
7,401
7,49
7,51
7,56
7,402
7,215
7,216
7,403
7,404
7,405
7,406
7,407
7,408
7,409
7,410
7,411
7,258
7,263
7,277
7,412
7,163
8,0
8,2
8,6
8,7
8,193
8,15
8,17
8,422
8,423
8,62
8,247
8,363
9,0
9,1
9,7
9,202
9,400
9,401
9,426
9,208
9,56
9,403
9,404
9,405
9,393
9,407
9,427
10,0
10,4
10,6
10,7
10,15
10,29
10,202
10,36
10,426
10,55
10,62
10,428
10,294
10,295
10,296
11,6
11,34
12,0
12,6
12,230
12,431
13,6
13,208
13,56
14,56
14,133
15,0
15,3
15,4
15,6
15,7
15,8
15,11
15,196
15,392
15,21
15,197
15,203
15,37
15,454
15,49
15,214
15,215
15,455
15,220
15,456
15,457
15,328
15,458
15,171
15,459
15,460
16,0
16,3
16,4
16,6
16,7
16,193
16,9
16,10
16,13
16,17
16,202
16,35
16,36
16,208
16,473
16,223
16,461
16,260
16,273
16,474
16,154
16,475
16,476
16,297
16,298
16,301
16,303
16,477
17,8
17,15
17,16
17,415
17,478
17,473
17,479
17,480
17,481
17,77
17,482
17,483
17,484
17,485
17,321
17,486
17,487
17,488
17,489
17,490
17,471
17,161
17,491
17,492
19,6
19,41
19,499
19,100
20,6
20,9
20,13
20,196
20,215
20,300
21,6
21,24
21,213
22,3
22,6
22,7
22,193
22,8
22,9
22,10
22,13
22,15
22,36
22,506
22,237
22,507
22,244
22,130
23,6
23,7
23,18
23,206
23,508
23,429
23,509
23,116
24,7
24,9
24,13
24,21
24,199
24,200
24,27
24,203
24,47
24,115
24,514
24,282
25,193
25,9
25,13
25,248
25,464
26,6
26,7
26,8
26,9
26,13
26,21
26,45
26,85
26,259
26,263
26,270
26,514
26,287
26,302
27,3
27,6
27,7
27,193
27,8
27,15
27,36
27,69
27,144
29,7
29,9
29,199
29,200
29,203
29,49
29,522
29,219
29,225
29,523
29,274
29,280
29,524
30,0
30,193
30,9
30,10
30,13
30,15
30,526
30,527
30,462
30,528
30,253
30,293
31,9
31,14
31,441
31,442
31,529
31,444
32,530
34,6
34,7
34,9
34,11
34,16
34,497
34,510
34,199
34,200
34,29
34,203
34,47
34,219
34,225
34,274
35,7
35,10
35,16
35,535
35,536
35,78
35,484
36,0
36,2
36,5
36,391
36,392
36,20
36,43
36,508
36,371
36,366
36,367
36,368
36,363
36,352
36,364
36,365
36,538
37,0
37,3
37,4
37,196
37,20
37,36
37,541
37,458
37,531
38,6
38,11
38,16
38,454
38,49
38,542
38,543
38,83
38,219
39,8
39,10
40,18
40,546
40,362
41,4
41,36
41,38
41,375
42,3
42,4
42,9
42,18
42,200
42,36
42,207
42,523
42,116
42,549
44,6
44,38
44,499
44,550
44,150
