# index, _pos
0,"array([ 1.97372291, -0.39708497])"
1,"array([ 1.95960146, -0.10150535])"
2,"array([ 2.1850459 , -0.45744273])"
3,"array([ 2.16833496, -0.50842413])"
4,"array([ 2.0809479 , -0.46460875])"
5,"array([ 2.10895823, -0.45159242])"
6,"array([ 1.89223811, -0.17483901])"
7,"array([ 1.90046704, -0.18678678])"
8,"array([ 2.20068146, -0.24716473])"
9,"array([ 2.0163963 , -0.01107307])"
10,"array([ 1.96467792, -0.27355399])"
11,"array([ 1.79463189, -0.20987997])"
12,"array([ 1.74904308, -0.30006423])"
13,"array([ 2.0687421 , -0.02559778])"
14,"array([2.24616211, 0.05916536])"
15,"array([ 1.95074139, -0.36219615])"
16,"array([ 2.12727299, -0.21333242])"
17,"array([ 2.29857499, -0.26402315])"
18,"array([ 1.99326883, -0.48057393])"
19,"array([ 1.73277897, -0.49308856])"
20,"array([ 2.0077782 , -0.33330364])"
21,"array([ 1.87820955, -0.1985521 ])"
22,"array([ 2.05715527, -0.20826557])"
23,"array([ 1.9656861 , -0.24863641])"
24,"array([ 1.90804502, -0.15936139])"
25,"array([ 2.15189164, -0.12399579])"
26,"array([ 1.98790789, -0.12656531])"
27,"array([ 2.05859258, -0.33338211])"
28,"array([ 1.84430274, -0.49511711])"
29,"array([ 1.84573349, -0.15538154])"
30,"array([ 2.07169917, -0.14309498])"
31,"array([2.21528602, 0.02221042])"
32,"array([ 1.95501845, -0.59210418])"
33,"array([ 1.61031003, -0.44648917])"
34,"array([ 1.86330739, -0.17958692])"
35,"array([ 2.13051092, -0.25134903])"
36,"array([ 2.12251842, -0.44592914])"
37,"array([ 2.15427997, -0.26743017])"
38,"array([ 1.89453937, -0.37020101])"
39,"array([ 2.07114555, -0.22822363])"
40,"array([ 2.0723281 , -0.62969594])"
41,"array([ 1.84456741, -0.46293204])"
42,"array([ 1.83213081, -0.33545082])"
43,"array([ 1.94245378, -0.39932318])"
44,"array([ 1.88534375, -0.53595976])"
45,"array([ 2.09422327, -0.21538733])"
46,"array([ 2.07312385, -0.2629651 ])"
47,"array([ 1.83528838, -0.17302276])"
48,"array([ 2.20111594, -0.28974103])"
49,"array([ 1.84030811, -0.2094584 ])"
50,"array([ 1.82901517, -0.54261715])"
51,"array([ 1.80692415, -0.18443872])"
52,"array([ 1.91334712, -0.24068732])"
53,"array([ 2.16790615, -0.15937635])"
54,"array([ 1.6580594 , -0.29153828])"
55,"array([ 1.93979648, -0.18889664])"
56,"array([1.93057234, 0.01207368])"
57,"array([ 2.07936858, -0.06414517])"
58,"array([ 1.67740705, -0.4264705 ])"
59,"array([ 2.33003012, -0.40541206])"
60,"array([ 1.9075842, -0.4934418])"
61,"array([ 1.6942772 , -0.51270549])"
62,"array([ 1.99477288, -0.18183164])"
63,"array([ 1.6576301 , -0.49938613])"
64,"array([ 1.85970906, -0.3301549 ])"
65,"array([ 2.08458304, -0.1611379 ])"
66,"array([ 1.66766581, -0.46837266])"
67,"array([ 2.01636141, -0.36351034])"
68,"array([ 1.77078013, -0.44885863])"
69,"array([ 1.98297822, -0.20650792])"
70,"array([ 1.85424676, -0.40960119])"
71,"array([ 1.89720678, -0.26193409])"
72,"array([ 2.01105614, -0.38816976])"
