# index, _pos
0,"array([-3.25940535e-04,  5.18316056e+00])"
1,"array([0.19402018, 5.01209128])"
2,"array([-0.13460846,  5.03212633])"
3,"array([-0.1698054 ,  5.06276244])"
4,"array([-0.13347153,  5.14549253])"
5,"array([-0.10220308,  5.13810769])"
6,"array([-0.21531216,  5.15971356])"
7,"array([0.19673532, 5.07375897])"
8,"array([0.1724175 , 5.08272048])"
9,"array([0.02195947, 4.89559734])"
10,"array([-0.04242227,  5.00872169])"
11,"array([0.22715582, 5.02452299])"
12,"array([0.09096253, 5.11826967])"
13,"array([0.19820856, 5.22043994])"
14,"array([0.18731763, 5.33359086])"
15,"array([0.01607106, 5.10973028])"
16,"array([0.19541722, 4.9700516 ])"
17,"array([-0.04199484,  5.41117102])"
18,"array([0.04588784, 5.06800099])"
19,"array([0.05845085, 4.96927032])"
20,"array([-0.04545071,  4.87893883])"
21,"array([-0.09276167,  5.20070675])"
22,"array([-0.11825231,  5.14646422])"
23,"array([0.11552994, 5.31712235])"
24,"array([0.09601151, 4.99063102])"
25,"array([0.22669725, 5.14460384])"
26,"array([-4.63040875e-03,  5.02980422e+00])"
27,"array([0.04598698, 4.95428305])"
28,"array([0.10082445, 5.02881935])"
29,"array([-3.26129829e-03,  4.97453094e+00])"
30,"array([0.20277546, 5.11971151])"
31,"array([0.12521923, 4.89996093])"
32,"array([-0.0568959 ,  4.99808398])"
33,"array([0.10296518, 5.04186556])"
34,"array([-0.04776831,  4.78940834])"
35,"array([0.29306149, 5.1868572 ])"
36,"array([0.04204074, 5.10557027])"
37,"array([0.10300082, 5.37499301])"
38,"array([0.20907779, 5.14586647])"
39,"array([0.14681227, 4.98262865])"
40,"array([0.17094714, 5.36835155])"
41,"array([-0.0868591 ,  5.25802379])"
42,"array([0.21050084, 5.38089228])"
43,"array([0.16111747, 5.14674127])"
44,"array([0.21470706, 5.12589323])"
45,"array([0.02146593, 4.98129259])"
46,"array([-0.13028564,  5.09820637])"
47,"array([-0.03130804,  5.12784015])"
48,"array([0.10780683, 5.13271006])"
49,"array([0.00641884, 4.95135084])"
50,"array([-0.09676391,  5.17125288])"
51,"array([0.15312501, 5.36047072])"
52,"array([0.07683498, 5.22829702])"
53,"array([0.03136957, 5.13834267])"
54,"array([0.120614  , 5.07603461])"
55,"array([0.15063004, 5.2538496 ])"
56,"array([0.10396684, 5.01574163])"
57,"array([0.14290984, 5.05940523])"
58,"array([0.03203409, 5.04633168])"
59,"array([0.23475865, 5.15773657])"
60,"array([0.19289936, 5.18808641])"
61,"array([-0.02105435,  4.96988469])"
62,"array([0.18050829, 5.11891063])"
63,"array([-0.02259837,  5.40264765])"
64,"array([-0.06659117,  5.2483294 ])"
65,"array([0.23590251, 5.082541  ])"
66,"array([0.15811086, 5.23048568])"
67,"array([0.23376403, 5.37491079])"
68,"array([-0.03308999,  5.16419281])"
69,"array([-0.09933806,  5.39164971])"
70,"array([0.08418582, 5.01178518])"
71,"array([0.05685771, 5.18535895])"
72,"array([0.29079097, 5.31813736])"
73,"array([0.17500499, 5.41951472])"
74,"array([0.18835922, 5.10681448])"
75,"array([0.1560936 , 5.19395218])"
76,"array([0.16211122, 5.04998888])"
77,"array([0.12022198, 5.15846885])"
78,"array([0.1896161 , 5.38933251])"
79,"array([0.17085844, 5.34526144])"
80,"array([-0.11426695,  4.99527654])"
81,"array([0.08046451, 5.40331289])"
82,"array([0.0398828 , 4.97011571])"
83,"array([-0.03889772,  5.18243912])"
84,"array([0.11051632, 5.05636355])"
85,"array([0.21405262, 5.10483208])"
86,"array([0.13709901, 5.42039513])"
87,"array([0.20305409, 5.33421179])"
88,"array([0.02309283, 5.3533274 ])"
89,"array([-0.05625916,  5.048224  ])"
90,"array([0.04153444, 5.02276266])"
91,"array([0.01451705, 5.2459046 ])"
92,"array([0.23115878, 5.10431671])"
93,"array([0.33449274, 5.3163194 ])"
94,"array([0.0107812 , 5.05385256])"
95,"array([0.11546494, 5.27096884])"
96,"array([0.13486173, 5.07507879])"
97,"array([0.08370477, 5.28905083])"
98,"array([-0.01410954,  5.15162845])"
99,"array([0.14411181, 5.13632789])"
100,"array([0.31881588, 5.10275217])"
101,"array([0.16321929, 5.16857786])"
102,"array([-0.07588567,  5.01472397])"
103,"array([0.20841506, 5.31535776])"
104,"array([0.17340868, 5.28414394])"
105,"array([0.20886838, 5.18131789])"
106,"array([0.0254435 , 5.09575361])"
107,"array([-0.12646788,  5.29871688])"
108,"array([0.10383518, 5.39959163])"
109,"array([0.23161946, 5.12998966])"
110,"array([0.25707806, 5.15913026])"
111,"array([-0.08020273,  4.88786285])"
112,"array([0.13390039, 5.16802794])"
113,"array([0.09077636, 4.94348495])"
114,"array([0.11629601, 5.00240156])"
115,"array([0.27314167, 5.21493899])"
116,"array([1.35518525e-03, 5.09775938e+00])"
117,"array([0.14551421, 5.15754839])"
118,"array([0.31719868, 5.3363912 ])"
119,"array([0.02016317, 5.12510146])"
120,"array([0.32256182, 5.24833011])"
121,"array([0.11427863, 5.19217767])"
122,"array([0.14364192, 5.115686  ])"
123,"array([0.16658453, 5.29993662])"
124,"array([0.22834727, 5.05913911])"
125,"array([0.05654545, 5.16143449])"
126,"array([-0.03040546,  5.2311968 ])"
127,"array([0.19616469, 5.133301  ])"
128,"array([-0.13174169,  5.41525631])"
129,"array([-0.0609556 ,  5.34655357])"
130,"array([0.1941218 , 5.41291883])"
131,"array([-0.25523768,  5.42928437])"
132,"array([0.20630432, 5.20477365])"
133,"array([0.02403221, 5.42852996])"
134,"array([0.16554356, 5.11262625])"
135,"array([-0.01985631,  5.3782758 ])"
136,"array([0.22769794, 5.20150034])"
137,"array([-0.08546052,  5.44589176])"
138,"array([-0.03528946,  5.21444284])"
139,"array([0.12663879, 5.22280864])"
140,"array([0.11731922, 5.03820357])"
141,"array([0.02730854, 4.95034341])"
142,"array([0.01927858, 5.37846625])"
143,"array([-0.16741542,  5.18090825])"
144,"array([0.08935834, 5.35843632])"
145,"array([0.13284906, 5.18875485])"
146,"array([0.08470124, 5.31223769])"
147,"array([0.19381103, 5.43584922])"
148,"array([-0.17615882,  5.0936151 ])"
149,"array([-0.01073677,  4.95435676])"
150,"array([-0.0403089 ,  5.07566198])"
151,"array([0.16065013, 5.12757039])"
152,"array([-0.08280902,  5.27485359])"
153,"array([0.08870711, 5.13920126])"
154,"array([-0.03898636,  5.0572499 ])"
155,"array([-0.0821265 ,  5.41444144])"
156,"array([-0.20049166,  5.08327225])"
157,"array([-0.03749331,  4.98736851])"
158,"array([-0.03388578,  5.31172012])"
159,"array([-0.07204243,  5.04997018])"
160,"array([0.13490409, 5.32585808])"
161,"array([0.04055485, 5.44214377])"
162,"array([0.15163574, 5.0815418 ])"
163,"array([0.05697338, 5.24646403])"
164,"array([0.23626935, 5.21701974])"
165,"array([0.1951753, 5.1670529])"
166,"array([0.03226273, 5.33720152])"
167,"array([0.01061734, 5.27040692])"
168,"array([0.12709662, 5.43799673])"
169,"array([0.11064946, 5.24404079])"
170,"array([0.12273159, 5.40422639])"
171,"array([-0.04773   ,  5.49397592])"
172,"array([-0.07429944,  5.49416585])"
173,"array([-0.00757849,  4.9247777 ])"
174,"array([0.02848518, 5.46143053])"
175,"array([-0.16548545,  5.04671754])"
176,"array([0.14092371, 5.28061028])"
177,"array([-5.98838588e-04,  5.36308604e+00])"
178,"array([-0.34276317,  5.3154571 ])"
179,"array([0.06328923, 5.41570767])"
180,"array([0.13773611, 5.24140747])"
181,"array([0.12478748, 5.37990884])"
182,"array([0.1348175 , 4.99941567])"
183,"array([-0.10344455,  4.92217557])"
184,"array([-0.20172827,  5.40350771])"
185,"array([0.05176126, 5.35125249])"
186,"array([-0.10218165,  5.10335151])"
187,"array([-0.0243996,  5.047436 ])"
188,"array([-0.09944057,  5.03684301])"
189,"array([-0.12860638,  5.44086864])"
190,"array([-0.12278688,  5.2438639 ])"
191,"array([0.10134486, 5.44889355])"
192,"array([0.06364993, 5.30618611])"
193,"array([-0.02313215,  5.20046919])"
194,"array([0.09575107, 5.33356902])"
195,"array([-0.01552739,  5.11165945])"
196,"array([1.37670071e-03, 5.47062392e+00])"
197,"array([0.12754644, 5.29476722])"
198,"array([0.15738849, 5.27402491])"
199,"array([0.1753245, 5.4611553])"
200,"array([0.14720062, 5.30118448])"
201,"array([-0.07249291,  5.08138805])"
202,"array([-0.02271252,  4.99139219])"
203,"array([0.04196781, 5.41507212])"
204,"array([0.10196528, 5.07383167])"
205,"array([-0.05218292,  4.93334696])"
206,"array([-0.15635311,  5.39384626])"
207,"array([0.1828423, 5.0639942])"
208,"array([0.17165594, 5.00579788])"
209,"array([0.07106706, 5.21099318])"
210,"array([-0.03926552,  5.44677249])"
211,"array([0.12296032, 5.10588876])"
212,"array([0.23602638, 5.28670041])"
213,"array([0.13769262, 5.20409923])"
214,"array([0.11037929, 4.87488223])"
215,"array([-0.21193144,  5.37456659])"
216,"array([0.21730947, 5.01162214])"
217,"array([0.20890199, 5.35770289])"
218,"array([0.08245805, 5.15783039])"
219,"array([0.17203936, 5.39715491])"
