# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
1,2
1,190
1,4
1,280
1,8
1,11
1,13
1,281
1,15
1,282
1,27
1,28
1,35
1,42
1,283
1,49
1,53
1,202
1,284
1,285
1,207
1,286
1,287
1,288
1,289
1,92
1,94
1,290
1,291
1,292
1,293
1,294
1,295
1,296
1,297
1,298
1,299
1,300
1,301
1,302
1,303
1,304
1,305
1,306
1,307
1,308
1,170
1,309
1,310
1,311
1,184
1,312
1,313
2,0
2,1
2,314
2,315
2,316
3,0
3,190
3,317
3,318
3,319
3,148
3,315
4,189
4,346
5,0
5,189
5,2
5,3
5,4
5,6
5,7
5,9
5,11
5,18
5,192
5,347
5,196
5,27
5,348
5,36
5,39
5,46
5,349
5,200
5,202
5,350
5,66
5,351
5,352
5,353
5,354
5,355
5,356
5,357
5,229
5,235
5,240
5,244
5,252
5,358
5,338
5,162
6,0
6,2
6,3
6,280
6,281
6,359
6,360
6,361
6,27
6,362
6,363
6,364
6,365
6,366
6,367
6,368
6,369
6,127
6,370
6,371
6,372
7,0
7,189
7,5
7,195
7,347
7,348
7,378
7,198
7,46
7,350
7,351
7,344
7,353
7,375
7,379
8,0
8,4
8,5
8,13
8,23
8,195
8,378
8,380
8,269
8,270
8,271
10,0
10,4
10,212
10,384
11,4
11,5
11,198
11,46
11,60
12,46
12,47
12,60
12,132
13,0
13,2
13,3
13,4
13,280
13,7
13,9
13,11
13,281
13,18
13,196
13,408
13,36
13,199
13,409
13,204
13,410
13,298
13,411
13,412
13,413
13,340
14,0
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,11
14,15
14,195
14,421
14,27
14,198
14,207
14,414
14,237
14,244
14,249
14,422
14,152
14,423
14,272
14,273
14,274
14,278
14,424
15,14
15,359
15,365
15,425
15,426
15,427
15,428
15,292
15,293
15,429
15,430
15,431
15,432
15,433
15,434
15,435
15,436
16,4
16,30
16,32
17,4
17,200
18,5
18,441
19,438
19,449
19,382
19,450
19,383
20,6
20,7
20,11
20,224
20,416
21,4
21,5
21,63
21,142
23,5
23,7
23,192
23,193
23,196
23,36
23,460
23,203
23,210
23,250
23,253
23,461
24,0
24,6
24,7
24,8
24,11
24,13
24,462
24,463
24,415
24,230
24,268
25,7
25,12
25,394
25,395
25,396
25,464
25,398
27,0
27,1
27,190
27,343
27,17
27,472
27,449
27,317
27,47
27,57
27,321
27,473
27,318
27,314
27,157
27,315
27,316
28,0
28,478
28,411
29,16
29,32
29,69
29,121
30,3
30,27
30,197
30,324
31,438
31,193
31,381
31,383
31,482
32,4
32,197
32,266
33,2
33,3
33,4
33,5
33,280
33,8
33,27
33,283
33,63
33,207
33,288
33,484
33,278
34,4
34,5
34,9
34,348
34,198
34,72
35,280
35,373
35,363
35,364
35,488
38,2
38,3
38,4
38,27
38,31
38,53
38,289
39,0
39,11
39,198
39,320
39,487
39,490
39,491
40,4
40,209
42,7
42,11
42,12
42,389
42,238
45,4
45,5
45,18
45,198
45,350
45,81
47,347
47,33
47,513
49,15
49,422
50,5
50,470
50,82
52,524
54,62
55,7
55,8
55,11
55,442
55,28
55,35
55,239
57,291
59,2
59,4
59,27
59,202
59,297
60,46
60,355
61,4
61,206
62,4
62,110
63,4
63,5
63,33
63,541
63,136
63,142
63,272
64,40
64,69
65,4
65,5
65,65
67,4
67,194
68,548
69,4
69,32
69,62
69,96
70,533
71,351
71,355
72,4
72,9
72,18
72,408
72,34
72,199
72,204
72,205
72,215
72,223
74,350
74,357
75,3
75,17
75,27
75,472
75,449
75,47
75,321
76,3
76,280
76,27
76,320
77,34
77,573
77,574
77,575
79,4
79,191
79,33
79,206
79,223
80,80
80,97
81,350
81,355
83,83
83,167
84,4
84,8
84,9
84,18
84,193
84,408
84,199
84,72
84,204
84,205
84,352
84,355
84,215
84,223
85,29
85,32
85,40
85,149
86,4
86,348
86,79
86,357
89,46
89,357
91,12
91,393
94,5
94,7
94,11
94,14
94,198
94,45
94,353
94,119
95,617
96,110
96,266
98,54
98,62
98,98
100,2
100,27
100,42
100,294
103,8
103,86
104,5
104,104
105,190
105,148
108,640
109,0
109,654
110,3
110,27
110,324
110,266
114,105
114,111
115,8
115,113
119,353
119,355
121,4
121,266
122,122
122,178
124,146
128,349
128,355
136,4
136,5
136,14
136,138
138,4
138,5
138,245
139,4
139,5
139,33
139,198
139,379
139,142
140,5
140,638
144,0
144,162
145,109
145,141
146,798
149,16
149,40
150,40
150,149
151,2
151,305
154,826
154,827
158,40
158,158
161,66
161,355
163,52
163,68
163,163
168,109
168,114
174,2
174,27
174,309
189,1
189,190
189,4
189,5
189,6
189,7
189,9
189,191
189,11
189,14
189,18
189,192
189,193
189,194
189,23
189,195
189,196
189,197
189,30
189,31
189,34
189,36
189,39
189,198
189,45
189,50
189,58
189,199
189,200
189,201
189,63
189,202
189,65
189,76
189,203
189,204
189,205
189,206
189,79
189,207
189,208
189,209
189,210
189,211
189,212
189,96
189,213
189,214
189,215
189,216
189,101
189,217
189,218
189,219
189,220
189,221
189,110
189,222
189,223
189,224
189,225
189,226
189,227
189,228
189,229
189,230
189,231
189,232
189,233
189,234
189,235
189,236
189,237
189,238
189,239
189,240
189,241
189,242
189,243
189,244
189,245
189,246
189,247
189,248
189,249
189,250
189,251
189,252
189,253
189,254
189,255
189,256
189,138
189,257
189,258
189,142
189,259
189,260
189,261
189,262
189,263
189,264
189,265
189,266
189,267
189,154
189,268
189,269
189,270
189,271
189,272
189,273
189,274
189,275
189,276
189,277
189,278
189,279
190,3
