# index, _pos
0,"array([-2.02807185, -1.05668973])"
1,"array([-1.82401314, -0.56939288])"
2,"array([-1.75203569, -0.55874299])"
3,"array([-1.88340331, -0.47979806])"
4,"array([-2.42223807, -0.93261988])"
5,"array([-2.40233916, -0.90162192])"
6,"array([-2.12789031, -0.14896571])"
7,"array([-2.69077049, -0.59962006])"
8,"array([-2.17245027, -0.71415914])"
9,"array([-2.49260504, -0.93970371])"
10,"array([-2.28166808, -1.35575301])"
11,"array([-2.70451176, -0.56417676])"
12,"array([-2.89353668, -1.21256897])"
13,"array([-2.02985671, -0.5649947 ])"
14,"array([-2.34923425, -0.50626134])"
15,"array([-2.23693406, -0.11201579])"
16,"array([-1.90839608, -1.25163788])"
17,"array([-2.35674716, -0.33070257])"
18,"array([-2.3632666 , -0.90772821])"
19,"array([-2.49350391, -0.44107438])"
20,"array([-2.39350267, -0.40968465])"
21,"array([-2.25362012, -1.28586129])"
22,"array([-1.75142194, -1.53813664])"
23,"array([-2.58345785, -0.80015581])"
24,"array([-2.31781708, -0.54826285])"
25,"array([-2.87765072, -1.13649323])"
26,"array([-1.60791236, -1.52292653])"
27,"array([-1.92400686, -0.53615072])"
28,"array([-2.32614802, -1.04222794])"
29,"array([-1.96184642, -1.40100525])"
30,"array([-2.01228762, -0.90220707])"
31,"array([-2.46962758, -1.20718095])"
32,"array([-2.0900097 , -1.32903828])"
33,"array([-2.208749 , -0.6371884])"
34,"array([-2.59764885, -0.94218435])"
35,"array([-2.01600114, -0.45964827])"
36,"array([-2.47490266, -0.78359245])"
37,"array([-2.21391748, -1.61421203])"
38,"array([-1.95502086, -0.89159684])"
39,"array([-2.43042116, -1.13409526])"
40,"array([-1.94172331, -1.46311205])"
41,"array([-2.19787713, -1.70823602])"
42,"array([-2.45192365, -0.83172667])"
43,"array([-2.01951754, -1.47964273])"
44,"array([-1.77713357, -1.74653631])"
45,"array([-2.422992  , -1.03958512])"
46,"array([-2.67079572, -1.02832796])"
47,"array([-2.50845918, -0.52196295])"
48,"array([-1.7195986 , -1.59000209])"
49,"array([-1.94843285, -0.48149102])"
50,"array([-2.39680973, -0.6975491 ])"
51,"array([-1.88180792, -1.62722775])"
52,"array([-2.02187738, -1.54404443])"
53,"array([-1.88999868, -1.01037572])"
54,"array([-1.76214647, -1.28512847])"
55,"array([-2.37354238, -0.64530951])"
56,"array([-2.1514829 , -1.62033964])"
57,"array([-1.46312143, -1.03412314])"
58,"array([-2.51669215, -1.10334939])"
59,"array([-1.8900385 , -0.84536771])"
60,"array([-2.61425138, -1.20308292])"
61,"array([-2.17203338, -1.12250759])"
62,"array([-1.88224609, -1.17023775])"
63,"array([-2.30626293, -0.87986761])"
64,"array([-2.09012778, -1.54159316])"
65,"array([-2.27876611, -1.01850582])"
66,"array([-2.21300613, -1.23813476])"
67,"array([-2.394261  , -1.26208485])"
68,"array([-1.74497607, -1.66811053])"
69,"array([-2.13690709, -1.44777907])"
70,"array([-2.04204198, -1.75663024])"
71,"array([-2.33911074, -1.24225453])"
72,"array([-2.43828194, -0.9896626 ])"
73,"array([-1.56218324, -1.58265313])"
74,"array([-2.46010469, -1.3923211 ])"
75,"array([-2.24771951, -0.61502256])"
76,"array([-2.065925  , -0.72987808])"
77,"array([-2.66327447, -1.25613972])"
78,"array([-2.09410529, -0.79435908])"
79,"array([-2.31657447, -0.98044811])"
80,"array([-1.78379603, -1.37694802])"
81,"array([-2.41927142, -1.34373742])"
82,"array([-2.19025995, -0.452593  ])"
83,"array([-1.55164454, -1.17330771])"
84,"array([-2.5441817, -0.9746917])"
85,"array([-1.88725984, -1.47461303])"
86,"array([-2.27193301, -1.21377451])"
87,"array([-1.48176014, -1.17637831])"
88,"array([-1.83812782, -1.22825105])"
89,"array([-2.45451995, -1.29223912])"
90,"array([-1.94477087, -1.59703222])"
91,"array([-2.58341806, -1.5354219 ])"
92,"array([-1.70781626, -0.93185844])"
93,"array([-1.94973336, -1.02676948])"
94,"array([-2.3313196 , -0.78036942])"
95,"array([-2.3345193 , -0.59004052])"
96,"array([-2.17442318, -1.19713971])"
97,"array([-1.71725248, -1.35400199])"
98,"array([-1.73010267, -1.23210357])"
99,"array([-1.80221566, -1.59908343])"
100,"array([-2.01804621, -0.75214155])"
101,"array([-2.63792738, -1.14990393])"
102,"array([-2.15445992, -1.52878844])"
103,"array([-2.00118125, -1.10879108])"
104,"array([-2.11406942, -1.15896411])"
105,"array([-1.66779477, -0.88623037])"
106,"array([-1.85818605, -0.69283795])"
107,"array([-1.75153424, -1.47259499])"
108,"array([-1.5773021 , -1.67179223])"
109,"array([-1.61471059, -1.30087035])"
110,"array([-1.82024802, -0.95049888])"
111,"array([-1.68534291, -1.29931583])"
112,"array([-2.02203763, -1.30039287])"
113,"array([-1.86940892, -0.90057048])"
114,"array([-1.61507847, -1.19107093])"
115,"array([-2.12581625, -0.95850501])"
116,"array([-1.9607288 , -1.66898436])"
117,"array([-1.36423335, -1.28148382])"
118,"array([-2.30281934, -1.6079617 ])"
119,"array([-2.39102316, -1.16471086])"
120,"array([-1.47365193, -1.10849195])"
121,"array([-2.17141882, -1.32628885])"
122,"array([-1.72753296, -1.42009448])"
123,"array([-1.4521499 , -1.35916704])"
124,"array([-2.1966667 , -1.40698616])"
125,"array([-1.31901437, -1.21125211])"
126,"array([-2.61594895, -1.41257639])"
127,"array([-2.04628606, -0.39700566])"
128,"array([-2.16277862, -1.25968928])"
129,"array([-1.99908445, -0.51865815])"
130,"array([-1.63452568, -1.11464615])"
131,"array([-2.43248258, -1.58847065])"
132,"array([-2.49789663, -1.34742838])"
133,"array([-1.89331494, -1.31623511])"
134,"array([-1.43591373, -1.2834525 ])"
135,"array([-1.8696567 , -0.75110802])"
136,"array([-2.19756877, -0.78997378])"
137,"array([-1.99410912, -0.36778563])"
138,"array([-2.24876752, -0.92191619])"
139,"array([-2.37652933, -0.96328003])"
140,"array([-2.1168862 , -1.02912101])"
141,"array([-1.51012742, -1.24746968])"
142,"array([-2.23700881, -1.04998861])"
143,"array([-1.7738006 , -0.89631505])"
144,"array([-1.96465978, -1.24574657])"
145,"array([-1.41955595, -1.21456186])"
146,"array([-2.07946429, -1.61593687])"
147,"array([-1.95691675, -1.52217264])"
148,"array([-1.60861886, -0.91118815])"
149,"array([-1.86549284, -1.39509696])"
150,"array([-1.82553881, -1.51574892])"
151,"array([-1.43746699, -0.89703914])"
152,"array([-2.06864055, -0.89701457])"
