# source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
1,0
1,2
1,103
1,5
1,8
1,13
1,189
1,15
1,30
1,190
1,40
1,119
1,191
1,123
1,192
1,193
1,194
1,195
1,58
1,59
1,196
1,197
1,198
1,199
1,75
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,92
1,213
1,97
1,214
1,215
1,216
1,217
1,218
1,101
2,0
2,1
2,17
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
2,227
2,228
2,229
2,230
2,231
2,232
2,233
2,234
2,235
2,236
2,237
2,238
2,239
2,240
2,241
2,242
2,243
2,244
2,245
2,246
2,247
3,0
3,103
3,8
3,30
3,248
3,249
3,222
3,250
3,251
3,252
3,253
3,254
3,255
3,256
3,257
3,227
3,258
3,228
3,259
3,260
3,261
3,262
3,263
3,264
3,265
3,266
3,267
3,268
3,269
3,270
3,271
3,231
3,272
3,273
3,274
3,275
3,276
4,0
4,1
4,103
4,8
4,10
4,12
4,16
4,30
4,44
4,50
4,291
4,219
4,249
4,220
4,292
4,221
4,222
4,250
4,252
4,293
4,223
4,224
4,225
4,226
4,254
4,256
4,257
4,227
4,258
4,228
4,260
4,261
4,262
4,264
4,265
4,266
4,267
4,268
4,294
4,269
4,270
4,271
4,230
4,232
4,233
4,234
4,235
4,236
4,237
4,238
4,239
4,272
4,240
4,241
4,242
4,273
4,274
4,243
4,244
4,245
4,246
4,275
4,276
4,247
5,102
5,5
6,0
6,102
6,2
6,3
6,5
6,7
6,11
6,19
6,106
6,295
6,110
6,30
6,35
6,296
6,118
6,119
6,297
6,149
6,154
6,298
6,91
7,2
7,3
7,5
7,6
7,8
7,189
7,299
7,300
7,30
7,113
7,301
7,302
7,303
7,195
7,126
7,304
7,305
7,306
7,307
8,0
8,1
8,5
8,6
8,308
8,109
8,114
8,138
8,309
8,310
8,311
8,229
8,312
8,313
8,314
9,0
9,102
9,6
9,108
9,295
9,114
9,291
9,309
10,0
10,5
10,6
10,25
10,108
10,317
10,180
10,181
10,182
11,0
11,5
11,29
11,318
13,5
14,38
14,72
15,0
15,5
15,6
15,9
15,13
15,108
15,114
15,349
15,123
15,127
15,151
15,163
15,183
15,184
15,185
15,187
17,361
17,20
17,364
18,5
18,118
19,5
19,105
19,116
20,5
20,6
20,7
20,8
20,9
20,13
20,370
20,132
20,371
20,135
20,70
21,5
21,6
21,17
21,113
21,320
21,250
22,7
22,9
22,13
22,139
22,344
24,5
24,6
24,43
24,166
25,6
25,9
25,10
25,106
25,381
25,110
25,29
25,35
25,383
25,384
25,165
25,385
26,0
26,9
26,13
26,365
26,381
26,145
26,387
26,388
26,179
27,9
27,14
27,389
27,331
29,5
29,6
29,9
29,11
29,15
29,362
29,372
29,106
29,25
29,110
30,0
30,1
30,103
30,4
30,16
30,248
30,219
30,249
30,221
30,250
30,251
30,252
30,223
30,224
30,253
30,225
30,226
30,254
30,256
30,257
30,227
30,258
30,228
30,260
30,264
30,229
30,271
30,230
30,231
30,234
30,235
30,237
30,238
30,240
30,241
30,242
30,273
30,274
30,243
30,244
30,245
30,246
30,275
30,276
30,247
32,15
32,395
32,396
32,386
33,2
33,3
33,5
33,6
33,30
33,43
33,123
33,194
33,187
34,5
34,11
35,5
35,25
37,5
37,19
39,9
39,13
39,159
41,6
41,55
43,5
43,6
43,24
43,33
43,455
43,80
43,183
45,5
45,6
45,45
46,5
46,107
51,3
51,30
51,278
52,381
52,461
53,34
53,469
53,470
53,471
54,5
54,432
54,123
54,137
56,9
56,54
59,9
59,13
59,15
59,37
60,512
