# index, _pos
0,"array([-0.01921962,  0.87141048])"
1,"array([-0.13642219,  0.69635766])"
2,"array([-0.10015726,  0.63906867])"
3,"array([0.0270593 , 0.69616608])"
4,"array([0.09071294, 0.65057375])"
5,"array([-0.28023544,  1.03451946])"
6,"array([-0.24372309,  0.95724467])"
7,"array([-0.37400141,  0.82581614])"
8,"array([-0.01757478,  0.9147044 ])"
9,"array([-0.11462118,  1.17651701])"
10,"array([-0.07301348,  0.94576859])"
11,"array([-0.26190505,  0.87006897])"
12,"array([0.23479746, 0.72135639])"
13,"array([-0.13989073,  1.18378538])"
14,"array([0.27230825, 0.95757958])"
15,"array([-0.21376522,  0.9606534 ])"
16,"array([0.19789738, 0.75145156])"
17,"array([-0.05472044,  0.83445066])"
18,"array([-0.30536828,  0.88666861])"
19,"array([-0.20795598,  1.12495455])"
20,"array([-0.10181855,  1.01963822])"
21,"array([-0.21980929,  0.8610539 ])"
22,"array([-0.2636923,  1.0236049])"
23,"array([-0.05671743,  1.11258469])"
24,"array([-0.18050137,  0.9024689 ])"
25,"array([-0.24071108,  1.05867238])"
26,"array([-0.15128602,  1.11167599])"
27,"array([0.17487876, 1.1140865 ])"
28,"array([0.05142302, 1.07472022])"
29,"array([-0.2152693 ,  0.98036301])"
30,"array([-0.02280173,  0.69195757])"
31,"array([0.22187369, 0.95757427])"
32,"array([-0.32875397,  0.80239979])"
33,"array([-0.12178787,  0.89479157])"
34,"array([-0.3042278 ,  0.95350315])"
35,"array([-0.23905184,  1.03470072])"
36,"array([-0.30376239,  0.82234615])"
37,"array([-0.16946186,  1.02120073])"
38,"array([0.29697601, 0.87316761])"
39,"array([-0.10280953,  1.12399999])"
40,"array([-0.10364152,  0.76796234])"
41,"array([-0.15952807,  0.96055884])"
42,"array([0.22993603, 0.8563726 ])"
43,"array([-0.10328022,  0.9955535 ])"
44,"array([0.22468415, 0.74927108])"
45,"array([-0.17262615,  0.97979062])"
46,"array([-0.27014888,  0.89682537])"
47,"array([0.16420075, 1.08639524])"
48,"array([0.22596641, 0.82001422])"
49,"array([-0.19654964,  0.78279962])"
50,"array([0.1658382 , 0.79413068])"
51,"array([-0.11503563,  0.9321141 ])"
52,"array([-0.2974558 ,  1.12382626])"
53,"array([-0.37801872,  0.93682398])"
54,"array([-0.13076825,  0.99020461])"
55,"array([0.03021281, 1.00319828])"
56,"array([-0.07757461,  1.0497041 ])"
57,"array([-0.17764114,  0.73949789])"
58,"array([-0.15240684,  0.71863062])"
59,"array([-0.1315254 ,  0.96316816])"
60,"array([-0.29302899,  0.85231361])"
61,"array([-0.12201603,  1.10314276])"
62,"array([0.08805207, 0.7078555 ])"
63,"array([-0.06096234,  0.86003262])"
64,"array([0.08886885, 0.90117235])"
65,"array([-0.03169246,  0.81297863])"
66,"array([0.01485766, 0.93478273])"
67,"array([-0.009153  ,  1.08604671])"
68,"array([0.14242216, 1.02122611])"
69,"array([0.29932419, 0.83411794])"
70,"array([-0.14735893,  0.84945114])"
71,"array([0.24046984, 1.01531951])"
72,"array([0.19144969, 0.95228307])"
73,"array([0.25996845, 0.87175624])"
74,"array([0.02518312, 0.96738732])"
75,"array([-0.08320829,  0.79101441])"
76,"array([-0.25717286,  0.77591216])"
77,"array([-0.17607604,  1.04748134])"
78,"array([0.04558413, 1.03709599])"
79,"array([-0.23920426,  0.88768646])"
80,"array([0.00241154, 0.99949573])"
81,"array([-0.27258625,  0.8340653 ])"
82,"array([0.01249782, 1.05685271])"
83,"array([-0.3293166 ,  0.74398737])"
84,"array([0.16468654, 0.96535202])"
85,"array([0.17511497, 1.0293786 ])"
86,"array([0.20543673, 1.02464642])"
87,"array([-0.27051349,  0.79845729])"
88,"array([0.11608295, 1.05770767])"
89,"array([-0.01032425,  0.97453558])"
90,"array([0.10857868, 0.98457769])"
91,"array([-0.00944799,  1.0317413 ])"
92,"array([-0.17285293,  0.76561169])"
93,"array([0.25745839, 0.83138366])"
94,"array([0.11211488, 0.6915401 ])"
95,"array([-0.27331595,  0.71260316])"
96,"array([0.11306752, 1.02167612])"
97,"array([-0.10743216,  0.73412932])"
98,"array([0.0823858 , 1.01116947])"
99,"array([-0.15625819,  0.79451053])"
100,"array([0.25481275, 0.98210894])"
101,"array([-0.07762383,  0.62952901])"
102,"array([-0.22028698,  1.09792521])"
103,"array([-0.02261683,  0.72715814])"
104,"array([-0.09157915,  0.87632707])"
105,"array([-0.11819691,  1.04101684])"
106,"array([-0.212732  ,  1.07815199])"
107,"array([-0.21657089,  1.01023259])"
108,"array([-0.19700775,  1.02623617])"
109,"array([-0.30335672,  0.91299141])"
110,"array([-0.27955057,  1.00524793])"
111,"array([-0.38054783,  1.13875539])"
112,"array([-0.33321546,  0.90075102])"
113,"array([-0.45021538,  0.87481183])"
114,"array([-0.15071538,  1.04465055])"
115,"array([-0.24897577,  1.18128943])"
116,"array([-0.20713703,  1.23930298])"
117,"array([-0.27949706,  1.08910302])"
118,"array([-0.34563882,  0.93965509])"
119,"array([-0.24090236,  0.80599332])"
120,"array([-0.21884926,  1.17738778])"
121,"array([-0.25330251,  1.08579109])"
122,"array([-0.28073972,  1.22852564])"
123,"array([-0.1041859 ,  0.84876867])"
124,"array([-0.1330607 ,  1.14930369])"
125,"array([-0.21485194,  1.27838898])"
126,"array([-0.4045856 ,  0.99734659])"
127,"array([-0.2390947 ,  1.11699455])"
128,"array([-0.33568652,  1.08458848])"
129,"array([-0.26580086,  1.12390364])"
130,"array([-0.13197159,  1.0178865 ])"
131,"array([-0.3831676 ,  1.05715018])"
132,"array([-0.05255389,  1.21791778])"
133,"array([-0.37031039,  1.10771733])"
134,"array([-0.27934173,  1.19459926])"
135,"array([-0.24389784,  0.99371716])"
136,"array([-0.39126817,  1.33034251])"
137,"array([-0.19321072,  0.99266893])"
138,"array([-0.02380627,  1.18658825])"
139,"array([-0.31357914,  1.23507038])"
140,"array([-0.25724867,  1.38564264])"
141,"array([-0.29335489,  1.3835367 ])"
142,"array([-0.24278036,  1.24079175])"
143,"array([-0.32213203,  1.27330103])"
144,"array([-0.04605464,  1.14422827])"
