# index, _pos
0,"array([ 3.12334217, -0.65076909])"
1,"array([ 3.25702408, -0.48355304])"
2,"array([ 3.31665262, -0.48556843])"
3,"array([ 3.25019792, -0.61830225])"
4,"array([ 3.18614842, -0.63362171])"
5,"array([ 3.3521564 , -0.57049329])"
6,"array([ 2.79418523, -0.51336635])"
7,"array([ 2.86767534, -0.52773501])"
8,"array([ 3.07094205, -0.26505216])"
9,"array([ 3.00020025, -0.60909338])"
10,"array([ 2.77451182, -0.65289013])"
11,"array([ 2.8412715 , -0.30241723])"
12,"array([ 2.98666914, -0.52498706])"
13,"array([ 2.82382592, -0.66596779])"
14,"array([ 2.95643274, -0.30622585])"
15,"array([ 3.0565083 , -0.55953541])"
16,"array([ 2.87297505, -0.29338493])"
17,"array([ 3.31791241, -0.21403781])"
18,"array([ 2.98187905, -0.63861335])"
19,"array([ 3.02799169, -0.49965623])"
20,"array([ 3.24044406, -0.69932375])"
21,"array([ 3.14518897, -0.45559247])"
22,"array([ 2.96155706, -0.82843186])"
23,"array([ 2.9834207 , -0.46744903])"
24,"array([ 2.73509458, -0.50495173])"
25,"array([ 2.9923142 , -0.41292809])"
26,"array([ 3.09782333, -0.44950475])"
27,"array([ 2.93300591, -0.31128034])"
28,"array([ 2.89371553, -0.43503551])"
29,"array([ 3.44837511, -0.80912795])"
30,"array([ 2.84304616, -0.68062058])"
31,"array([ 3.22984974, -0.78716592])"
32,"array([ 2.77291259, -0.54405824])"
33,"array([ 2.86386199, -0.4405305 ])"
34,"array([ 3.0738386 , -0.16222241])"
35,"array([ 3.07847715, -1.00624408])"
36,"array([ 2.82981501, -0.60830347])"
37,"array([ 2.81755951, -0.52498336])"
38,"array([ 2.93027583, -0.39188674])"
39,"array([ 3.27870849, -0.5223885 ])"
40,"array([ 3.19420866, -0.44691791])"
41,"array([ 2.81189184, -0.64661416])"
42,"array([ 2.99482676, -0.35490159])"
43,"array([ 2.98672558, -0.69494269])"
44,"array([ 2.95654945, -0.51650747])"
45,"array([ 3.01227126, -0.67059253])"
46,"array([ 2.81480827, -0.76314157])"
47,"array([ 2.92656921, -0.53286092])"
48,"array([ 3.03433164, -0.37074935])"
49,"array([ 3.04396612, -0.45712749])"
50,"array([ 2.73523752, -0.59196457])"
51,"array([ 2.90866751, -0.53791087])"
52,"array([ 2.95476013, -0.53674802])"
53,"array([ 2.80632271, -0.57318734])"
