# source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
0,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
1,1
1,2
1,5
1,7
1,8
1,9
1,10
1,12
1,14
1,281
1,15
1,16
1,282
1,19
1,25
1,283
1,30
1,284
1,33
1,285
1,34
1,286
1,37
1,287
1,288
1,41
1,42
1,289
1,290
1,291
1,49
1,50
1,56
1,292
1,58
1,61
1,293
1,294
1,295
1,68
1,71
1,296
1,79
1,297
1,87
1,89
1,298
1,299
1,300
1,301
1,302
1,303
1,92
1,304
1,95
1,305
1,306
1,307
1,308
1,309
1,310
1,114
1,311
1,312
1,116
1,313
1,314
1,315
1,316
1,119
1,317
1,318
1,125
1,319
1,320
1,321
1,322
1,323
1,324
1,325
1,326
1,327
1,328
1,140
1,329
1,330
1,331
1,332
1,333
1,334
1,152
1,153
1,335
1,336
1,337
1,338
1,339
1,340
1,341
1,342
1,343
1,344
1,345
1,346
1,347
1,348
1,349
1,350
1,351
1,352
1,353
1,354
1,355
1,356
1,357
1,358
1,359
1,360
1,361
1,362
1,363
1,364
1,365
1,366
1,367
1,368
1,369
1,370
1,371
1,372
1,373
1,374
1,375
1,376
1,194
1,377
1,378
1,379
1,380
1,198
1,381
1,382
1,202
1,383
1,384
1,385
1,386
1,387
1,388
1,389
1,209
1,390
1,391
1,392
1,393
1,221
1,394
1,395
1,396
1,397
1,398
1,399
1,400
1,401
1,402
1,403
1,404
1,405
1,406
1,407
1,408
1,409
1,410
1,411
2,0
2,3
2,5
2,7
2,10
2,13
2,16
2,18
2,282
2,19
2,20
2,26
2,29
2,286
2,412
2,44
2,45
2,46
2,47
2,52
2,413
2,292
2,414
2,65
2,415
2,416
2,75
2,78
2,304
2,417
2,418
2,419
2,420
2,421
2,312
2,422
2,423
2,424
2,425
2,426
2,427
2,128
2,130
2,428
2,137
2,429
2,146
2,430
2,431
2,432
2,433
2,434
2,166
2,435
2,436
2,437
2,438
2,439
2,177
2,440
2,441
2,442
2,179
2,443
2,444
2,191
2,445
2,192
2,446
2,447
2,448
2,449
2,450
2,451
2,452
2,453
2,454
2,211
2,455
2,456
2,457
2,458
2,459
2,219
2,460
2,461
2,233
2,462
2,463
2,249
2,464
2,465
2,466
2,467
