# index, _pos
0,"array([ 3.43834846, -3.78269477])"
1,"array([ 3.11745665, -3.95525544])"
2,"array([ 3.34444367, -3.55142006])"
3,"array([ 3.40758582, -3.5273949 ])"
4,"array([ 3.3936612 , -3.62232825])"
5,"array([ 3.34617651, -3.65837728])"
6,"array([ 3.47762609, -3.54848251])"
7,"array([ 3.20803137, -3.98579791])"
8,"array([ 3.23043918, -3.95596501])"
9,"array([ 3.05725659, -3.61094741])"
10,"array([ 3.05565368, -3.68878512])"
11,"array([ 2.96570576, -3.64602755])"
12,"array([ 3.02694197, -3.94949959])"
13,"array([ 3.26478191, -3.8629318 ])"
14,"array([ 3.3272396 , -4.00077699])"
15,"array([ 3.34487903, -3.80957693])"
16,"array([ 3.01523278, -3.89643223])"
17,"array([ 3.53725038, -4.00961589])"
18,"array([ 3.19566813, -3.76541563])"
19,"array([ 3.17637276, -3.71499665])"
20,"array([ 3.08664578, -3.54192492])"
21,"array([ 3.41990169, -3.68185814])"
22,"array([ 3.46048378, -3.65433732])"
23,"array([ 3.60433876, -4.00783803])"
24,"array([ 3.1479014 , -3.78446387])"
25,"array([ 3.24997704, -4.08202875])"
26,"array([ 3.23657112, -3.71911835])"
27,"array([ 3.17072364, -3.67278579])"
28,"array([ 3.21085103, -3.8511816 ])"
29,"array([ 3.22712115, -3.66035065])"
30,"array([ 3.25108439, -3.96802708])"
31,"array([ 3.13388615, -3.74296316])"
32,"array([ 3.15521008, -3.83276916])"
33,"array([ 3.61289944, -3.39713693])"
34,"array([ 3.16604982, -4.13911049])"
35,"array([ 3.27040265, -3.75913513])"
36,"array([ 3.50930549, -4.03001088])"
37,"array([ 3.19948865, -4.01516172])"
38,"array([ 3.07841655, -3.82616674])"
39,"array([ 3.35424777, -4.16683505])"
40,"array([ 3.56459262, -4.09021376])"
41,"array([ 3.27506456, -3.96154295])"
42,"array([ 3.18927144, -3.99021063])"
43,"array([ 3.13451406, -3.83457874])"
44,"array([ 3.40796689, -3.59198778])"
45,"array([ 3.39409231, -3.76494559])"
46,"array([ 3.36502885, -3.90294431])"
47,"array([ 3.46265066, -3.61596022])"
48,"array([ 3.67346537, -4.00126443])"
49,"array([ 3.51422947, -3.89705491])"
50,"array([ 3.32392126, -3.8139665 ])"
51,"array([ 3.15574055, -3.66144342])"
52,"array([ 3.56402091, -3.87181382])"
53,"array([ 3.16662286, -3.80095294])"
54,"array([ 3.1376046 , -3.80792396])"
55,"array([ 3.24792367, -3.77386304])"
56,"array([ 3.20211761, -4.05727133])"
57,"array([ 3.30091093, -4.02455253])"
58,"array([ 3.22924905, -3.97695682])"
59,"array([ 3.6960643 , -3.89567902])"
60,"array([ 3.45342909, -3.7651247 ])"
61,"array([ 3.21650873, -4.03923303])"
62,"array([ 3.38699122, -4.05058194])"
63,"array([ 3.66455561, -4.04382088])"
64,"array([ 3.73825461, -3.82473216])"
